frac_reached,metric,n_paired,n_reached,n_reference_reached,n_seeds,p_cheaper_egda_mol,p_cheaper_energy_kJ,p_cheaper_nmr_acquisitions,p_cheaper_time_s,ratio_acid_mol_ci_hi,ratio_acid_mol_ci_lo,ratio_acid_mol_median,ratio_acid_mol_q25,ratio_acid_mol_q75,ratio_capillary_travel_m_ci_hi,ratio_capillary_travel_m_ci_lo,ratio_capillary_travel_m_median,ratio_capillary_travel_m_q25,ratio_capillary_travel_m_q75,ratio_egda_mol_ci_hi,ratio_egda_mol_ci_lo,ratio_egda_mol_median,ratio_egda_mol_q25,ratio_egda_mol_q75,ratio_energy_kJ_ci_hi,ratio_energy_kJ_ci_lo,ratio_energy_kJ_median,ratio_energy_kJ_q25,ratio_energy_kJ_q75,ratio_nmr_acquisitions_ci_hi,ratio_nmr_acquisitions_ci_lo,ratio_nmr_acquisitions_median,ratio_nmr_acquisitions_q25,ratio_nmr_acquisitions_q75,ratio_reactor_conditions_ci_hi,ratio_reactor_conditions_ci_lo,ratio_reactor_conditions_median,ratio_reactor_conditions_q25,ratio_reactor_conditions_q75,ratio_spatial_samples_ci_hi,ratio_spatial_samples_ci_lo,ratio_spatial_samples_median,ratio_spatial_samples_q25,ratio_spatial_samples_q75,ratio_time_s_ci_hi,ratio_time_s_ci_lo,ratio_time_s_median,ratio_time_s_q25,ratio_time_s_q75,ratio_waste_mL_ci_hi,ratio_waste_mL_ci_lo,ratio_waste_mL_median,ratio_waste_mL_q25,ratio_waste_mL_q75,reference_strategy,scenario,strategy,target
1.0,blind_rmse_M,39,40,39,40,0.15384615384615385,0.2564102564102564,0.0,0.6923076923076923,3.9796195470490066,1.3499512761705708,1.9647070988646858,1.121433983173351,5.943443637807028,nan,nan,nan,nan,nan,4.638638009760633,1.273008178301195,1.9656365809401262,1.0860337771233113,4.910506538051015,2.29849201776865,1.0566272628679085,1.368612645379818,0.9867123587110795,2.5954970335693845,4.285714285714286,3.75,4.285714285714286,3.75,4.285714285714286,0.42857142857142855,0.375,0.42857142857142855,0.375,0.42857142857142855,4.285714285714286,3.75,4.285714285714286,3.75,4.285714285714286,0.9756985963655116,0.8507445980440834,0.9469495729754519,0.7989043705187312,1.0328027924355725,2.4433746978501416,0.8135632290888262,1.1671038013429935,0.7383833389898956,2.575895754195286,A,S1_ideal,D,0.01
1.0,param_err_pct,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,D,5.0
1.0,param_err_pct,1,40,1,40,1.0,1.0,0.0,1.0,0.8765094106756179,0.8765094106756179,0.8765094106756179,0.8765094106756179,0.8765094106756179,nan,nan,nan,nan,nan,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.7612789202591762,0.7612789202591762,0.7612789202591762,0.7612789202591762,0.7612789202591762,3.75,3.75,3.75,3.75,3.75,0.375,0.375,0.375,0.375,0.375,3.75,3.75,3.75,3.75,3.75,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.9469495729754519,0.6438782485318595,0.6438782485318595,0.6438782485318595,0.6438782485318595,0.6438782485318595,A,S1_ideal,D,10.0
1.0,param_err_pct,2,40,2,40,0.5,0.5,0.0,0.5,6.518402954481488,0.8765094106756179,3.697456182578553,2.2869827966270853,5.10792956853002,nan,nan,nan,nan,nan,3.3628817049317123,0.9469495729754519,2.154915638953582,1.550932605964517,2.758898671942647,2.634513630121369,0.7612789202591762,1.6978962751902726,1.2295875977247244,2.166204952655821,7.142857142857143,3.75,5.446428571428571,4.598214285714286,6.294642857142858,0.7142857142857143,0.375,0.5446428571428572,0.4598214285714286,0.6294642857142857,7.142857142857143,3.75,5.446428571428571,4.598214285714286,6.294642857142858,1.729093009395853,0.9469495729754519,1.3380212911856524,1.1424854320805522,1.5335571502907528,1.9201109851604672,0.6438782485318595,1.2819946168461633,0.9629364326890114,1.6010528010033154,A,S1_ideal,D,20.0
1.0,param_err_pct,4,40,4,40,0.25,0.25,0.0,0.5,5.574087632455277,0.8765094106756179,3.141287866335782,1.9463444918858226,4.378236568400574,nan,nan,nan,nan,nan,2.8907240439186066,0.9469495729754519,1.6766101240751188,1.1914935269697593,2.2828400633664336,2.056373339349385,0.7612789202591762,1.1982080001079805,1.0574933892745335,1.4442316757895777,5.714285714285714,3.75,4.375,3.75,5.178571428571429,0.5714285714285714,0.375,0.4375,0.375,0.5178571428571428,5.714285714285714,3.75,4.375,3.75,5.178571428571429,1.2730081783011948,0.6556564619490693,1.1019424606790995,0.8741262952188562,1.260953555862359,1.6539869152754758,0.6438782485318595,1.030842215495293,0.8100215280874519,1.3107080861073217,A,S1_ideal,D,30.0
1.0,param_err_pct,32,40,32,40,0.21875,0.28125,0.0,0.8125,4.271874928596617,1.0610399890365074,1.6668492943846882,0.9938421439377827,5.740136727245785,nan,nan,nan,nan,nan,4.638638009760633,1.1961265211224772,2.014868081153754,1.0328027924355725,5.132294021656326,2.29849201776865,1.0222072483023479,1.379245382913365,0.9245397825242806,2.833957747420493,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.9637574143415986,0.8221268582240432,0.8981154140567618,0.7863546834489931,0.9756985963655116,2.4433746978501416,0.7496451161279973,1.1816928055304652,0.6857270031671684,2.6840050370031676,A,S1_ideal,D,50.0
1.0,blind_rmse_M,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,E,0.001
1.0,blind_rmse_M,4,40,4,40,0.25,0.25,0.0,0.75,3.9810683201273944,0.8634575749871929,2.320289110372127,1.3974684690797685,3.294096670257068,nan,nan,nan,nan,nan,2.079428659221468,0.9381818129380869,1.566357012840014,1.2051872599843754,1.8987508773155342,1.3059142336572183,0.7589167568568105,1.1344964637429897,0.9604271465259249,1.257525296717067,5.0,3.75,4.017857142857142,3.75,4.464285714285714,0.5,0.375,0.4017857142857143,0.375,0.4464285714285714,5.0,3.75,4.017857142857142,3.75,4.464285714285714,1.2941890756664705,0.6531989135420239,0.9283854426182963,0.8522415326093847,1.0271836286201832,1.1944300023253245,0.6381345069581636,0.9732593871031892,0.7918250013317495,1.126205206643906,A,S1_ideal,E,0.002
1.0,blind_rmse_M,33,40,33,40,0.06060606060606061,0.24242424242424243,0.0,0.6363636363636364,4.249803718200164,1.7175052624515885,3.042890445606075,1.0832152737360805,4.941240992767342,nan,nan,nan,nan,nan,4.619331767034541,1.1720289001214652,1.9185655783688755,1.0832152737360805,5.102900025643669,2.2916654859948746,1.054425582026025,1.2568218259458201,1.0182647396857327,2.9959690480454664,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,4.285714285714286,3.75,3.75,3.75,4.285714285714286,1.0187765227062757,0.8430285399451053,0.9185890722985051,0.798845469055215,1.075321927940973,2.4324940216449606,0.7786118756578978,1.1780358007739342,0.7353239065859768,2.6682071321283374,A,S1_ideal,E,0.005
1.0,blind_rmse_M,39,40,39,40,0.10256410256410256,0.2564102564102564,0.0,0.6923076923076923,4.249803718200164,1.7175052624515885,2.907363914887179,1.2897199116394706,4.831446454580675,nan,nan,nan,nan,nan,4.585677305006174,1.5088052360797781,2.0668082359608304,1.0838183596136974,4.929629053002215,2.2776518224082767,1.1861802503718726,1.3059142336572183,0.9781509182799126,2.7643141453391484,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.9608183754259428,0.7571753204849847,0.8683862337748569,0.7449768103130101,1.0502043311387836,2.4160893098279193,0.916282254641744,1.1882782353939343,0.7356178520522356,2.5680537151452194,A,S1_ideal,E,0.01
1.0,param_err_pct,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,E,5.0
1.0,param_err_pct,1,40,1,40,1.0,1.0,0.0,1.0,0.8634575749871929,0.8634575749871929,0.8634575749871929,0.8634575749871929,0.8634575749871929,nan,nan,nan,nan,nan,0.9381818129380869,0.9381818129380869,0.9381818129380869,0.9381818129380869,0.9381818129380869,0.7589167568568105,0.7589167568568105,0.7589167568568105,0.7589167568568105,0.7589167568568105,3.75,3.75,3.75,3.75,3.75,0.375,0.375,0.375,0.375,0.375,3.75,3.75,3.75,3.75,3.75,0.9381818129380876,0.9381818129380876,0.9381818129380876,0.9381818129380876,0.9381818129380876,0.6381345069581636,0.6381345069581636,0.6381345069581636,0.6381345069581636,0.6381345069581636,A,S1_ideal,E,10.0
1.0,param_err_pct,2,40,2,40,0.5,1.0,0.0,0.5,0.9949828748746482,0.8634575749871929,0.9292202249309205,0.8963388999590567,0.9621015499027844,nan,nan,nan,nan,nan,1.0771844149599112,0.9381818129380869,1.007683113948999,0.972932463443543,1.0424337644544552,0.9360691259118271,0.7589167568568105,0.8474929413843189,0.8032048491205647,0.8917810336480729,4.285714285714286,3.75,4.017857142857142,3.883928571428571,4.151785714285714,0.42857142857142855,0.375,0.4017857142857143,0.38839285714285715,0.4151785714285714,4.285714285714286,3.75,4.017857142857142,3.883928571428571,4.151785714285714,1.0771844149599121,0.9381818129380876,1.007683113949,0.9729324634435437,1.042433764454456,0.732384451923388,0.6381345069581636,0.6852594794407758,0.6616969931994697,0.7088219656820819,A,S1_ideal,E,20.0
1.0,param_err_pct,4,40,4,40,0.25,0.5,0.0,0.5,3.9726547046203033,0.8634575749871929,1.1323436544555383,0.9621015499027844,1.945442001682397,nan,nan,nan,nan,nan,2.0752218514679224,0.9381818129380869,1.1734444244981699,1.0424337644544552,1.4710837883943018,1.239948587982603,0.7589167568568105,1.06112468814185,0.8917810336480729,1.1996223347745552,5.0,3.75,4.017857142857142,3.75,4.464285714285714,0.5,0.375,0.4017857142857143,0.375,0.4464285714285714,5.0,3.75,4.017857142857142,3.75,4.464285714285714,1.269704434036429,0.6521472116036373,1.007683113949,0.866673162604475,1.1253144197290412,1.1923794133481944,0.6381345069581636,0.7971006732693445,0.7088219656820819,0.9444575242985245,A,S1_ideal,E,30.0
1.0,param_err_pct,32,40,32,40,0.125,0.25,0.0,0.6875,3.9768615123738487,1.1223119449271606,2.9540931414788973,0.9951034920501716,4.930198122414284,nan,nan,nan,nan,nan,3.4942178412716256,1.2935979113974616,1.9832215897193748,1.078390586715145,5.075292849761024,1.9551718112578844,1.1234421734577915,1.2820370960224627,0.9978508232868326,2.838826513217524,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,4.285714285714286,3.75,3.75,3.75,4.285714285714286,0.9381818129380876,0.7956903632400556,0.8435543909142985,0.7551660363237369,1.0368567562838993,1.8972732600861544,0.7803755484554512,1.1785431928853916,0.7329723428559057,2.6547501419659216,A,S1_ideal,E,50.0
1.0,blind_rmse_M,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,F,0.001
1.0,blind_rmse_M,4,40,4,40,0.0,0.0,0.0,1.0,11.432831270074228,2.260202346596792,2.906266998805129,2.2633574524119515,5.519301449963496,nan,nan,nan,nan,nan,5.818366606283079,1.8629569207877306,1.8692671324180488,1.8669008030566794,2.8573307773380963,3.645024717945637,1.4757620811768355,1.4760572058855201,1.4758906032273915,2.018391905381507,4.285714285714286,3.75,3.75,3.75,3.883928571428571,0.42857142857142855,0.375,0.375,0.375,0.38839285714285715,4.285714285714286,3.75,3.75,3.75,3.883928571428571,0.9328220623044601,0.8859721779373273,0.8954374953828057,0.8922823895676463,0.9055724135670091,3.043247732877249,1.0889118549086128,1.0919877383743075,1.090834282074672,1.580187222433255,A,S1_ideal,F,0.002
1.0,blind_rmse_M,33,40,33,40,0.030303030303030304,0.030303030303030304,0.0,0.9696969696969697,10.156318689454945,1.822965172428187,9.265514834472473,1.6930511139180129,10.160525497208493,nan,nan,nan,nan,nan,5.1670538438852445,1.8299105857305389,4.7216519163940065,1.6930511139180129,5.169157247762017,3.0453215154591375,1.3706212031404401,2.6866365882191174,1.3565356983665955,3.0458927245727216,3.75,2.857142857142857,2.857142857142857,2.5,3.75,0.375,0.2857142857142857,0.2857142857142857,0.25,0.375,3.75,2.857142857142857,2.857142857142857,2.5,3.75,0.8367183283147865,0.5296049120905041,0.5761892353484506,0.5023988773272896,0.8461836457602647,2.699478614029573,1.0728035717702384,2.450982939100777,0.996565997975739,2.7005039085181375,A,S1_ideal,F,0.005
1.0,blind_rmse_M,39,40,39,40,0.02564102564102564,0.02564102564102564,0.0,0.9743589743589743,9.40013268258594,1.6930511139180129,3.191849659385968,1.6930511139180129,10.626396969646311,nan,nan,nan,nan,nan,4.788960840450741,1.6930511139180129,2.501294130082593,1.5867432180170458,5.41514945606912,2.7195382331615647,1.3565356983665955,2.239217234617317,1.2294076984508808,3.3125260017558524,2.857142857142857,2.5,2.857142857142857,2.5,3.0952380952380953,0.2857142857142857,0.25,0.2857142857142857,0.25,0.30952380952380953,2.857142857142857,2.5,2.857142857142857,2.5,3.0952380952380953,0.5761892353484506,0.5023988773272896,0.5320172556009719,0.5023988773272896,0.6207830719091415,2.4837923627348593,0.996565997975739,1.4620253520359294,0.9338164516648497,2.810725429080792,A,S1_ideal,F,0.01
1.0,param_err_pct,0,40,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,F,5.0
1.0,param_err_pct,1,40,1,40,0.0,0.0,0.0,1.0,3.5481248432599193,3.5481248432599193,3.5481248432599193,3.5481248432599193,3.5481248432599193,nan,nan,nan,nan,nan,1.8629569207877306,1.8629569207877306,1.8629569207877306,1.8629569207877306,1.8629569207877306,1.4759334439109102,1.4759334439109102,1.4759334439109102,1.4759334439109102,1.4759334439109102,3.75,3.75,3.75,3.75,3.75,0.375,0.375,0.375,0.375,0.375,3.75,3.75,3.75,3.75,3.75,0.8859721779373273,0.8859721779373273,0.8859721779373273,0.8859721779373273,0.8859721779373273,1.0889118549086128,1.0889118549086128,1.0889118549086128,1.0889118549086128,1.0889118549086128,A,S1_ideal,F,10.0
1.0,param_err_pct,2,40,2,40,0.0,0.0,0.0,1.0,2.7830816459166154,2.5018977578563923,2.642489701886504,2.572193729871448,2.7127856739015597,nan,nan,nan,nan,nan,2.0974744358872033,1.4804353221160786,1.788954879001641,1.6346951005588597,1.9432146574444222,1.6894804587036758,1.1022796985351666,1.3958800786194212,1.249079888577294,1.5426802686615484,4.285714285714286,2.5,3.392857142857143,2.946428571428571,3.8392857142857144,0.42857142857142855,0.25,0.3392857142857143,0.29464285714285715,0.3839285714285714,4.285714285714286,2.5,3.392857142857143,2.946428571428571,3.8392857142857144,0.9806125573176404,0.503450579265676,0.7420315682916583,0.6227410737786672,0.8613220628046493,1.2296761927047153,0.8710669053539605,1.050371549029338,0.9607192271916491,1.1400238708670265,A,S1_ideal,F,20.0
1.0,param_err_pct,4,40,4,40,0.0,0.0,0.0,1.0,12.591592748898062,1.4762285143625324,2.2380663799173144,1.6388454640291428,5.235209421661978,nan,nan,nan,nan,nan,6.4152994902044504,1.4762285143625324,1.5867432180170458,1.4793836201776922,2.873613207989622,4.249666179082283,1.1002233457262636,1.229407698450881,1.101765610332941,2.0798183185455175,3.3333333333333335,2.5,2.678571428571429,2.5,2.9761904761904763,0.3333333333333333,0.25,0.26785714285714285,0.25,0.2976190476190476,3.3333333333333335,2.5,2.678571428571429,2.5,2.9761904761904763,0.6250245601791908,0.5023988773272896,0.5398199073070633,0.5031876537810794,0.5883980665561356,3.3273092948687837,0.8690163163768303,0.9338164516648497,0.8705542581096779,1.5792518221990002,A,S1_ideal,F,30.0
1.0,param_err_pct,32,40,32,40,0.375,0.375,0.0,0.9375,9.299169296500839,0.2039019424919293,2.6643306298359004,0.2039019424919293,9.40013268258594,nan,nan,nan,nan,nan,4.738479147408191,0.2039019424919293,2.0995849655107706,0.2039019424919293,4.788960840450741,2.694861999454729,0.023811552021006408,1.7991441709105858,0.023811552021006408,2.7195382331615647,2.678571428571429,1.9642857142857144,2.5,1.4285714285714286,2.857142857142857,0.26785714285714285,0.14285714285714285,0.25,0.14285714285714285,0.2857142857142857,2.678571428571429,1.9642857142857144,2.5,1.4285714285714286,2.857142857142857,0.5160018947088969,0.20390194249192928,0.4638838345722188,0.20390194249192928,0.5764907782872589,2.4591852950092976,0.3847767780937355,1.2304714568708697,0.234757889043244,2.4837923627348593,A,S1_ideal,F,50.0
0.0,blind_rmse_M,0,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,B,0.001
0.0,blind_rmse_M,0,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,B,0.002
0.1,blind_rmse_M,4,4,4,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,S2_nmr,B,0.005
0.675,blind_rmse_M,27,27,27,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,S2_nmr,B,0.01
0.0,param_err_pct,0,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,B,5.0
0.0,param_err_pct,0,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,B,10.0
0.15,param_err_pct,6,6,6,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,S2_nmr,B,20.0
0.275,param_err_pct,11,11,11,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,S2_nmr,B,30.0
0.5,param_err_pct,20,20,20,40,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,S2_nmr,B,50.0
0.0,blind_rmse_M,0,0,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,D,0.001
0.275,blind_rmse_M,0,11,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,D,0.002
0.925,blind_rmse_M,4,37,4,40,0.25,0.25,1.0,1.0,5.62497442222952,0.8142799954209065,3.1778894358557563,1.0793915909505045,5.297256167245736,0.538461538461539,0.3333333333333337,0.40000000000000047,0.3333333333333337,0.4846153846153851,2.8640466131579325,0.8142799954209065,2.0460888598358893,1.2885274562325026,2.700187485666041,1.8130700201595789,0.7165397314142563,1.5414765845837652,1.2752726762319502,1.6693446385371566,0.5714285714285714,0.375,0.4375,0.375,0.5178571428571428,0.5714285714285714,0.375,0.4375,0.375,0.5178571428571428,0.5714285714285714,0.375,0.4375,0.375,0.5178571428571428,0.8121947405354577,0.43624270301928686,0.5558654987850917,0.45181776917610245,0.6940898398902213,1.3576050380004399,0.447979146824244,1.0008386114481285,0.6784924553739518,1.2741615080044122,B,S2_nmr,D,0.005
1.0,blind_rmse_M,27,40,27,40,0.25925925925925924,0.3333333333333333,1.0,1.0,3.5844541861029917,1.8619328030673246,3.125192820798741,1.0370963460062894,4.404955644769011,0.38461538461538497,0.3333333333333337,0.3333333333333337,0.3333333333333337,0.38461538461538497,2.9230356221204365,1.0462632250789667,2.645567776502077,1.016442810204875,2.939357260097987,2.1022815134258503,0.9654669408147083,1.621436177996349,0.9216844055979525,2.1022815134258503,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,0.42857142857142855,0.375,0.375,0.375,0.42857142857142855,0.5428892632549946,0.46888597897438794,0.5003505615998172,0.46888597897438794,0.556511093375648,1.3673118239423259,0.5625208880160351,1.2463469980057362,0.5428228152344736,1.374427401938596,B,S2_nmr,D,0.01
0.2,param_err_pct,0,8,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,D,5.0
0.425,param_err_pct,0,17,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,D,10.0
0.7,param_err_pct,5,28,6,40,0.0,0.2,0.8,0.6,7.875973789671564,1.8908147652092766,5.950419516347804,4.3536487579944945,6.97550130739635,1.0,0.38461538461538497,0.4666666666666672,0.4545454545454549,0.8666666666666668,3.989546296878954,1.0817237460094136,3.034346049943375,2.5366894046336346,3.5570743844736676,3.0194093293791573,0.8478709668065431,2.3459238216273777,2.026540619512652,2.61574751016218,1.0,0.42857142857142855,0.5,0.5,0.875,1.0,0.42857142857142855,0.5,0.5,0.875,1.0,0.42857142857142855,0.5,0.5,0.875,1.415912878123387,0.5003505615998172,0.6265233806182449,0.5865462068694955,1.2760559440723442,1.8963078042771264,0.5805839208077574,1.428847257712584,1.2789306574537833,1.6739624479240345,B,S2_nmr,D,20.0
0.8,param_err_pct,9,32,11,40,0.2222222222222222,0.3333333333333333,1.0,0.8888888888888888,5.950419516347804,1.7213008424860727,2.2697078785317713,1.7213008424860727,5.62497442222952,0.4666666666666672,0.38461538461538497,0.38461538461538497,0.38461538461538497,0.4666666666666672,3.034346049943375,0.9901026933031362,2.0377095070072317,1.1864133413090587,2.8640466131579325,2.026540619512652,0.8748692301459781,1.8130700201595789,0.911758846343803,1.8855000796030428,0.5,0.375,0.42857142857142855,0.42857142857142855,0.5,0.5,0.375,0.42857142857142855,0.42857142857142855,0.5,0.5,0.375,0.42857142857142855,0.42857142857142855,0.5,0.6547215396751425,0.42889498841011553,0.5241690859963843,0.45700945789504094,0.6547215396751425,1.428847257712584,0.5380483916969234,1.0293753810785502,0.6102143251391997,1.3576050380004399,B,S2_nmr,D,30.0
1.0,param_err_pct,20,40,20,40,0.15,0.2,1.0,1.0,3.1415144587762915,1.4818609755459562,2.864222321653516,1.1456193375996162,3.1578360967538424,0.38461538461538497,0.3333333333333337,0.35897435897435936,0.3333333333333337,0.38461538461538497,2.9230356221204365,1.360762203023619,2.8935411176391845,1.3358870932083315,2.9271160316148244,2.1022815134258503,1.1314048246147212,1.9560203495578474,1.093449162978143,2.1022815134258503,0.42857142857142855,0.375,0.4017857142857143,0.375,0.42857142857142855,0.42857142857142855,0.375,0.4017857142857143,0.375,0.42857142857142855,0.42857142857142855,0.375,0.4017857142857143,0.375,0.42857142857142855,0.5309800010567111,0.46888597897438794,0.4852076169519385,0.46888597897438794,0.5499797388051522,1.3673118239423259,0.6995668674030598,1.3624584309713828,0.6893889702439767,1.3690907184413934,B,S2_nmr,D,50.0
0.7,blind_rmse_M,0,28,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,F,0.001
0.975,blind_rmse_M,0,39,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,B,S2_nmr,F,0.002
