x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
1.50000000e-01,1.28058034e-02,6.55999160e-02,1.21292959e-01,2.74386349e-02,1.04904021e-02
1.53000000e-01,1.30517218e-02,6.65770346e-02,1.20900852e-01,2.64133138e-02,1.04501523e-02
1.56000000e-01,1.32972487e-02,6.75428020e-02,1.20467571e-01,2.54484696e-02,1.04155122e-02
1.59000000e-01,1.35423846e-02,6.84973115e-02,1.19995360e-01,2.45409126e-02,1.03857016e-02
1.62000000e-01,1.37871300e-02,6.94406555e-02,1.19486375e-01,2.36875728e-02,1.03600488e-02
1.65000000e-01,1.40314855e-02,7.03729258e-02,1.18942689e-01,2.28855021e-02,1.03379750e-02
1.68000000e-01,1.42754514e-02,7.12942134e-02,1.18366293e-01,2.21318759e-02,1.03189817e-02
1.71000000e-01,1.45190283e-02,7.22046088e-02,1.17759099e-01,2.14239929e-02,1.03026397e-02
1.74000000e-01,1.47622166e-02,7.31042019e-02,1.17122944e-01,2.07592741e-02,1.02885793e-02
1.77000000e-01,1.50050168e-02,7.39930817e-02,1.16459591e-01,2.01352614e-02,1.02764824e-02
1.80000000e-01,1.52474294e-02,7.48713367e-02,1.15770734e-01,1.95496147e-02,1.02660752e-02
1.83000000e-01,1.54894549e-02,7.57390548e-02,1.15057997e-01,1.90001098e-02,1.02571217e-02
1.86000000e-01,1.57310937e-02,7.65963232e-02,1.14322940e-01,1.84846346e-02,1.02494192e-02
1.89000000e-01,1.59723464e-02,7.74432284e-02,1.13567058e-01,1.80011861e-02,1.02427930e-02
1.92000000e-01,1.62132133e-02,7.82798564e-02,1.12791786e-01,1.75478662e-02,1.02370927e-02
1.95000000e-01,1.64536950e-02,7.91062925e-02,1.11998499e-01,1.71228782e-02,1.02321892e-02
1.98000000e-01,1.66937920e-02,7.99226213e-02,1.11188517e-01,1.67245227e-02,1.02279710e-02
2.01000000e-01,1.69335047e-02,8.07289270e-02,1.10363103e-01,1.63511934e-02,1.02243425e-02
2.04000000e-01,1.71728335e-02,8.15252929e-02,1.09523469e-01,1.60013736e-02,1.02212212e-02
2.07000000e-01,1.74117790e-02,8.23118020e-02,1.08670773e-01,1.56736316e-02,1.02185363e-02
2.10000000e-01,1.76503417e-02,8.30885363e-02,1.07806128e-01,1.53666170e-02,1.02162267e-02
2.13000000e-01,1.78885220e-02,8.38555777e-02,1.06930596e-01,1.50790569e-02,1.02142401e-02
2.16000000e-01,1.81263203e-02,8.46130070e-02,1.06045194e-01,1.48097520e-02,1.02125312e-02
2.19000000e-01,1.83637372e-02,8.53609048e-02,1.05150897e-01,1.45575731e-02,1.02110613e-02
2.22000000e-01,1.86007731e-02,8.60993509e-02,1.04248636e-01,1.43214569e-02,1.02097970e-02
2.25000000e-01,1.88374285e-02,8.68284245e-02,1.03339300e-01,1.41004035e-02,1.02087094e-02
2.28000000e-01,1.90737039e-02,8.75482044e-02,1.02423741e-01,1.38934721e-02,1.02077740e-02
2.31000000e-01,1.93095997e-02,8.82587686e-02,1.01502770e-01,1.36997786e-02,1.02069693e-02
2.34000000e-01,1.95451163e-02,8.89601946e-02,1.00577165e-01,1.35184918e-02,1.02062772e-02
2.37000000e-01,1.97802544e-02,8.96525594e-02,9.96476660e-02,1.33488310e-02,1.02056819e-02
2.40000000e-01,2.00150143e-02,9.03359395e-02,9.87149801e-02,1.31900631e-02,1.02051699e-02
2.43000000e-01,2.02493964e-02,9.10104106e-02,9.77797815e-02,1.30414994e-02,1.02047294e-02
2.46000000e-01,2.04834014e-02,9.16760479e-02,9.68427130e-02,1.29024938e-02,1.02043506e-02
2.49000000e-01,2.07170295e-02,9.23329263e-02,9.59043871e-02,1.27724398e-02,1.02040247e-02
2.52000000e-01,2.09502814e-02,9.29811199e-02,9.49653872e-02,1.26507684e-02,1.02037444e-02
2.55000000e-01,2.11831574e-02,9.36207022e-02,9.40262683e-02,1.25369461e-02,1.02035034e-02
2.58000000e-01,2.14156580e-02,9.42517465e-02,9.30875588e-02,1.24304722e-02,1.02032960e-02
2.61000000e-01,2.16477838e-02,9.48743251e-02,9.21497608e-02,1.23308776e-02,1.02031176e-02
2.64000000e-01,2.18795350e-02,9.54885101e-02,9.12133516e-02,1.22377223e-02,1.02029642e-02
2.67000000e-01,2.21109123e-02,9.60943729e-02,9.02787842e-02,1.21505941e-02,1.02028323e-02
2.70000000e-01,2.23419161e-02,9.66919846e-02,8.93464887e-02,1.20691065e-02,1.02027188e-02
2.73000000e-01,2.25725467e-02,9.72814154e-02,8.84168727e-02,1.19928976e-02,1.02026212e-02
2.76000000e-01,2.28028048e-02,9.78627354e-02,8.74903228e-02,1.19216282e-02,1.02025372e-02
2.79000000e-01,2.30326907e-02,9.84360138e-02,8.65672045e-02,1.18549805e-02,1.02024650e-02
2.82000000e-01,2.32622050e-02,9.90013195e-02,8.56478640e-02,1.17926572e-02,1.02024029e-02
2.85000000e-01,2.34913480e-02,9.95587209e-02,8.47326281e-02,1.17343794e-02,1.02023494e-02
2.88000000e-01,2.37201203e-02,1.00108286e-01,8.38218058e-02,1.16798863e-02,1.02023035e-02
2.91000000e-01,2.39485222e-02,1.00650082e-01,8.29156881e-02,1.16289336e-02,1.02022639e-02
2.94000000e-01,2.41765543e-02,1.01184175e-01,8.20145493e-02,1.15812927e-02,1.02022299e-02
2.97000000e-01,2.44042170e-02,1.01710632e-01,8.11186478e-02,1.15367494e-02,1.02022007e-02
3.00000000e-01,2.46315108e-02,1.02229520e-01,8.02282261e-02,1.14951034e-02,1.02021755e-02
3.03000000e-01,2.48584361e-02,1.02740902e-01,7.93435120e-02,1.14561671e-02,1.02021539e-02
3.06000000e-01,2.50849933e-02,1.03244845e-01,7.84647189e-02,1.14197651e-02,1.02021353e-02
3.09000000e-01,2.53111830e-02,1.03741412e-01,7.75920465e-02,1.13857331e-02,1.02021193e-02
3.12000000e-01,2.55370056e-02,1.04230667e-01,7.67256813e-02,1.13539175e-02,1.02021055e-02
3.15000000e-01,2.57624615e-02,1.04712674e-01,7.58657972e-02,1.13241744e-02,1.02020937e-02
3.18000000e-01,2.59875512e-02,1.05187496e-01,7.50125560e-02,1.12963694e-02,1.02020835e-02
3.21000000e-01,2.62122752e-02,1.05655195e-01,7.41661079e-02,1.12703765e-02,1.02020747e-02
3.24000000e-01,2.64366338e-02,1.06115834e-01,7.33265918e-02,1.12460782e-02,1.02020672e-02
3.27000000e-01,2.66606276e-02,1.06569473e-01,7.24941362e-02,1.12233643e-02,1.02020607e-02
3.30000000e-01,2.68842570e-02,1.07016174e-01,7.16688592e-02,1.12021317e-02,1.02020551e-02
3.33000000e-01,2.71075225e-02,1.07455998e-01,7.08508692e-02,1.11822841e-02,1.02020503e-02
3.36000000e-01,2.73304245e-02,1.07889004e-01,7.00402652e-02,1.11637315e-02,1.02020462e-02
3.39000000e-01,2.75529634e-02,1.08315253e-01,6.92371373e-02,1.11463895e-02,1.02020427e-02
3.42000000e-01,2.77751397e-02,1.08734803e-01,6.84415669e-02,1.11301793e-02,1.02020396e-02
3.45000000e-01,2.79969539e-02,1.09147714e-01,6.76536274e-02,1.11150272e-02,1.02020370e-02
3.48000000e-01,2.82184064e-02,1.09554044e-01,6.68733841e-02,1.11008644e-02,1.02020347e-02
3.51000000e-01,2.84394976e-02,1.09953851e-01,6.61008950e-02,1.10876263e-02,1.02020328e-02
3.54000000e-01,2.86602281e-02,1.10347192e-01,6.53362109e-02,1.10752526e-02,1.02020311e-02
3.57000000e-01,2.88805982e-02,1.10734125e-01,6.45793758e-02,1.10636871e-02,1.02020297e-02
3.60000000e-01,2.91006084e-02,1.11114706e-01,6.38304270e-02,1.10528771e-02,1.02020285e-02
3.63000000e-01,2.93202591e-02,1.11488992e-01,6.30893958e-02,1.10427732e-02,1.02020274e-02
3.66000000e-01,2.95395508e-02,1.11857037e-01,6.23563073e-02,1.10333294e-02,1.02020265e-02
3.69000000e-01,2.97584839e-02,1.12218899e-01,6.16311813e-02,1.10245027e-02,1.02020257e-02
3.72000000e-01,2.99770589e-02,1.12574631e-01,6.09140318e-02,1.10162528e-02,1.02020250e-02
3.75000000e-01,3.01952763e-02,1.12924288e-01,6.02048679e-02,1.10085420e-02,1.02020244e-02
3.78000000e-01,3.04131364e-02,1.13267924e-01,5.95036937e-02,1.10013352e-02,1.02020239e-02
3.81000000e-01,3.06306397e-02,1.13605593e-01,5.88105087e-02,1.09945994e-02,1.02020235e-02
3.84000000e-01,3.08477866e-02,1.13937349e-01,5.81253081e-02,1.09883039e-02,1.02020231e-02
3.87000000e-01,3.10645777e-02,1.14263244e-01,5.74480825e-02,1.09824200e-02,1.02020228e-02
3.90000000e-01,3.12810133e-02,1.14583331e-01,5.67788188e-02,1.09769207e-02,1.02020225e-02
3.93000000e-01,3.14970938e-02,1.14897662e-01,5.61175001e-02,1.09717810e-02,1.02020223e-02
3.96000000e-01,3.17128198e-02,1.15206288e-01,5.54641059e-02,1.09669774e-02,1.02020221e-02
3.99000000e-01,3.19281916e-02,1.15509262e-01,5.48186120e-02,1.09624878e-02,1.02020219e-02
4.02000000e-01,3.21432098e-02,1.15806633e-01,5.41809914e-02,1.09582919e-02,1.02020218e-02
4.05000000e-01,3.23578746e-02,1.16098453e-01,5.35512138e-02,1.09543703e-02,1.02020216e-02
4.08000000e-01,3.25721867e-02,1.16384772e-01,5.29292459e-02,1.09507052e-02,1.02020215e-02
4.11000000e-01,3.27861463e-02,1.16665639e-01,5.23150519e-02,1.09472798e-02,1.02020214e-02
4.14000000e-01,3.29997540e-02,1.16941104e-01,5.17085933e-02,1.09440784e-02,1.02020214e-02
4.17000000e-01,3.32130102e-02,1.17211216e-01,5.11098293e-02,1.09410865e-02,1.02020213e-02
4.20000000e-01,3.34259153e-02,1.17476024e-01,5.05187165e-02,1.09382902e-02,1.02020212e-02
4.23000000e-01,3.36384698e-02,1.17735576e-01,4.99352097e-02,1.09356768e-02,1.02020212e-02
4.26000000e-01,3.38506741e-02,1.17989919e-01,4.93592614e-02,1.09332344e-02,1.02020211e-02
4.29000000e-01,3.40625286e-02,1.18239102e-01,4.87908225e-02,1.09309518e-02,1.02020211e-02
4.32000000e-01,3.42740338e-02,1.18483172e-01,4.82298418e-02,1.09288185e-02,1.02020211e-02
4.35000000e-01,3.44851901e-02,1.18722175e-01,4.76762666e-02,1.09268248e-02,1.02020210e-02
4.38000000e-01,3.46959979e-02,1.18956158e-01,4.71300427e-02,1.09249615e-02,1.02020210e-02
4.41000000e-01,3.49064577e-02,1.19185168e-01,4.65911144e-02,1.09232201e-02,1.02020210e-02
4.44000000e-01,3.51165699e-02,1.19409249e-01,4.60594247e-02,1.09215926e-02,1.02020210e-02
4.47000000e-01,3.53263349e-02,1.19628447e-01,4.55349152e-02,1.09200717e-02,1.02020210e-02
4.50000000e-01,3.55357532e-02,1.19842808e-01,4.50175265e-02,1.09186502e-02,1.02020209e-02
4.53000000e-01,3.57448252e-02,1.20052377e-01,4.45071981e-02,1.09173217e-02,1.02020209e-02
4.56000000e-01,3.59535513e-02,1.20257196e-01,4.40038685e-02,1.09160802e-02,1.02020209e-02
4.59000000e-01,3.61619320e-02,1.20457311e-01,4.35074754e-02,1.09149199e-02,1.02020209e-02
4.62000000e-01,3.63699677e-02,1.20652766e-01,4.30179555e-02,1.09138356e-02,1.02020209e-02
4.65000000e-01,3.65776588e-02,1.20843603e-01,4.25352451e-02,1.09128221e-02,1.02020209e-02
4.68000000e-01,3.67850058e-02,1.21029866e-01,4.20592793e-02,1.09118750e-02,1.02020209e-02
4.71000000e-01,3.69920090e-02,1.21211597e-01,4.15899931e-02,1.09109899e-02,1.02020209e-02
4.74000000e-01,3.71986689e-02,1.21388840e-01,4.11273208e-02,1.09101627e-02,1.02020209e-02
4.77000000e-01,3.74049860e-02,1.21561635e-01,4.06711961e-02,1.09093897e-02,1.02020209e-02
4.80000000e-01,3.76109607e-02,1.21730024e-01,4.02215525e-02,1.09086672e-02,1.02020209e-02
4.83000000e-01,3.78165933e-02,1.21894050e-01,3.97783229e-02,1.09079920e-02,1.02020209e-02
4.86000000e-01,3.80218843e-02,1.22053752e-01,3.93414402e-02,1.09073610e-02,1.02020209e-02
4.89000000e-01,3.82268342e-02,1.22209173e-01,3.89108369e-02,1.09067713e-02,1.02020209e-02
