T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,1.91782642e-01,1.82295979e-01,9.48666342e-03
4.50000000e+01,2.56708862e-01,2.38809114e-01,1.78997474e-02
5.00000000e+01,3.35725534e-01,3.03108351e-01,3.26171826e-02
5.50000000e+01,4.27875507e-01,3.70639243e-01,5.72362635e-02
6.00000000e+01,5.29933088e-01,4.33558979e-01,9.63741094e-02
6.50000000e+01,6.36083877e-01,4.81038434e-01,1.55045443e-01
7.00000000e+01,7.38370956e-01,5.01178576e-01,2.37192380e-01
7.50000000e+01,8.28214552e-01,4.84834214e-01,3.43380338e-01
8.00000000e+01,8.98806423e-01,4.30406580e-01,4.68399843e-01
8.50000000e+01,9.47402632e-01,3.47015780e-01,6.00386852e-01
9.00000000e+01,9.76105378e-01,2.52928060e-01,7.23177317e-01
9.50000000e+01,9.90404266e-01,1.68460084e-01,8.21944181e-01
1.00000000e+02,9.96381173e-01,1.07128436e-01,8.89252737e-01
1.05000000e+02,9.98514572e-01,7.11862432e-02,9.27328329e-01
1.10000000e+02,9.99193032e-01,5.42728677e-02,9.44920164e-01
1.15000000e+02,9.99395169e-01,4.77755469e-02,9.51619622e-01
1.20000000e+02,9.99457321e-01,4.54722945e-02,9.53985026e-01
1.25000000e+02,9.99483907e-01,4.43990938e-02,9.55084813e-01
1.30000000e+02,9.99502918e-01,4.35961550e-02,9.55906763e-01
1.35000000e+02,9.99520062e-01,4.28550800e-02,9.56664982e-01
1.40000000e+02,9.99536173e-01,4.21456286e-02,9.57390545e-01
1.45000000e+02,9.99551385e-01,4.14638260e-02,9.58087559e-01
1.50000000e+02,9.99565766e-01,4.08080834e-02,9.58757683e-01
