z_over_L,info_gain_nats,C_EGDA_M,C_EGMA_M,C_EG_M,C_AcOH_M
0.02,12.439964937410183,0.4538309869245556,0.043230261189006455,0.0029387518864378115,0.049107764961882135
0.0298,13.194157051124325,0.43280467271928774,0.061036387021272946,0.0061589402594391125,0.07335426754015124
0.039599999999999996,13.429730393885531,0.41270456262309335,0.07697519660579012,0.01032024077111636,0.09761567814802292
0.0494,13.37768765331866,0.39349304157153275,0.09118103936297836,0.015325919065488795,0.12183287749395602
0.059199999999999996,13.136272820318435,0.37514062846190566,0.10376905641844093,0.02109031511965328,0.14594968665774763
0.06899999999999999,12.757439709581341,0.35780602479285856,0.11453019622660317,0.027663778980538085,0.16985775418767948
0.0788,12.27308959491064,0.3412919892093906,0.12389125517626699,0.034816755614342255,0.19352476640495167
0.0886,11.705244756123221,0.32550468875353195,0.132063359131158,0.04243195211530985,0.21692726336177787
0.09839999999999999,11.070848916762053,0.3104144289055038,0.13913961112986956,0.05044595996462637,0.2400315310591225
0.10819999999999999,10.38450143323696,0.2960019528424428,0.14519468780076913,0.05880335935678779,0.2628014065143449
0.118,9.660395144433297,0.28233174546237794,0.15019055436907244,0.06747770016854941,0.2851459547061715
0.1278,8.914050511406767,0.2693503744660251,0.15426118777925332,0.07638843775472134,0.3070380632886962
0.1376,8.164059179880702,0.25694649243334144,0.15759766476687664,0.08545584279978162,0.32850935036644013
0.14739999999999998,7.4335072460114064,0.24508877116594394,0.160273365110676,0.0946378637233798,0.3495490925574359
0.15719999999999998,6.7498243802248865,0.23376420170029158,0.1623372290417031,0.10389856925800502,0.3701343675577134
0.16699999999999998,6.141118490237302,0.22301137511165747,0.16378714327017502,0.11320148161816723,0.39019010650650976
0.1768,5.628712669808416,0.21276949653305316,0.16472577885038467,0.12250472461656191,0.40973522808350876
0.18660000000000002,5.2202287162908165,0.20301773205005916,0.1652073944186226,0.13177487353131795,0.4287571414812588
0.19639999999999996,4.909130157970759,0.1936937587447519,0.16531620438064162,0.14099003687460623,0.44729627812985434
0.2062,4.680478987330392,0.18478827426639313,0.16508437022472097,0.15012735550888556,0.46533908124249246
0.216,4.517275842802969,0.17632468489206798,0.16452220509961735,0.15915311000831434,0.48282842511624635
0.22580000000000003,4.40394467484682,0.16825384938047752,0.1636916192918167,0.16805453132770545,0.4998006819472278
0.23559999999999998,4.327435659018429,0.16056517423976915,0.1626234583902884,0.17681136736994207,0.5162461931301728
0.24539999999999998,4.277323691123699,0.1532272945267621,0.16135671373363572,0.1854159917396018,0.5321886972128396
0.2552,4.245596433488541,0.1462174163079006,0.1599219762705496,0.19386060742154942,0.5476431911136488
