species,true_M,estimated_M,sigma_M
EGDA,0.35770454453700146,0.3641440636357673,0.014452343784635245
EGDA,0.02778837358014863,0.027349891413572303,0.0037192390076142587
EGDA,0.48539242266002025,0.4969418146257254,0.018631549152767032
EGDA,0.21690036051320144,0.22225855507495687,0.009396333948369789
EGDA,0.06339846068768873,0.06241275256602288,0.004045903588788685
EGDA,0.39863118637655576,0.40308669206376396,0.016081086557435773
EGDA,0.09252473802806394,0.09325048901790943,0.0057711571549397345
EGDA,0.21339509790095174,0.21731801433288686,0.009164806118155008
EGDA,0.16357935470884027,0.16552491768562355,0.007564421803602952
EGDA,0.0409547557538415,0.04587742194149712,0.0049418244571637895
EGDA,0.4277744924755914,0.4348583178503686,0.016953309756106257
EGDA,0.3437251566054876,0.3456596983666696,0.013612656992951708
EGDA,0.3918322802537804,0.3958864470405311,0.01523533391638873
EGDA,0.2724161852586762,0.2787629560044869,0.011675918007051346
EGDA,0.4537183382229471,0.46568466950349985,0.017511372147858133
EGDA,0.1619121408510812,0.16714339310168694,0.00820310274379959
EGDA,0.0012221218131278633,0.0,0.003951297281382006
EGDA,0.1613874244107978,0.1678112385686037,0.007533934253828579
EGDA,0.050769197754097994,0.05384080794674021,0.004231481975416266
EGDA,0.12327149289549466,0.12228250289081208,0.006329697379636458
EGDA,0.07035103894415429,0.07343700436637869,0.004526576387619696
EGDA,0.09368905433442537,0.0931509159881421,0.005564056706300653
EGDA,0.14922863994692026,0.14893255129050423,0.007461127952231362
EGDA,0.43908331000571904,0.4387977766995981,0.01643553847036122
EGDA,0.045967158187322776,0.045568387355818724,0.003382345654128618
EGDA,0.4427631219135164,0.44367700027882995,0.01647604728434883
EGDA,0.4196331238982234,0.40712247460478324,0.01596313358322271
EGDA,0.11148518792825607,0.11469255058304842,0.006883744966186032
EGDA,0.3185677627022173,0.3201495776045827,0.013234180625793622
EGDA,0.3825040402222399,0.38626616490113785,0.014592089201098538
EGDA,0.16828560445945423,0.1754887159366505,0.008409571920423988
EGDA,0.22689899645370015,0.23028698412058612,0.009561952248102778
EGDA,0.12557973327203786,0.12397624660717602,0.00612740602275459
EGDA,0.47328163164463477,0.4792098090856808,0.018038021497995767
EGDA,0.16528666956213472,0.16266947029858486,0.00796008997147314
EGDA,0.3039529503137025,0.3030517758974117,0.012407448154434885
EGDA,0.0017861944392753015,0.0014455753572037713,0.002306122077746453
EGDA,0.12712451201252062,0.13037849275680782,0.006126221082341431
EGDA,0.41753510387984166,0.42891997002757837,0.016426275817332275
EGDA,0.48752699306356395,0.4908647285746624,0.01820893652795268
EGDA,0.20119621696266698,0.1984306096769873,0.008993511815784274
EGDA,0.08398794624327788,0.08730947494984648,0.004725502616160956
EGDA,0.4422597231210946,0.44673298756477453,0.016787192514992316
EGDA,0.20870047321915935,0.21319188486845567,0.00921212991937534
EGDA,0.2014540553789197,0.20390932436778378,0.008566368269999635
EGDA,0.12771506579763237,0.13173855315453334,0.007212357752219002
EGDA,0.34374502284684544,0.350030452569086,0.013623625670308092
EGDA,0.2885312020204889,0.2903933005575192,0.01163731683014107
EGDA,0.19268681003667815,0.19269828872837297,0.008421778922666916
EGDA,0.2950003399456146,0.2965114909837945,0.012008645148126405
EGDA,0.21022742948900142,0.22191528246159006,0.009758649315717268
EGDA,0.35549042540039916,0.3560922037398651,0.01402534836384816
EGDA,0.40498317392807337,0.41344301633693686,0.01565489514280822
EGDA,0.15792525120424505,0.15515627186544734,0.007247638524844508
EGDA,0.2224587556899033,0.21945956669006317,0.00923817783610241
EGDA,0.4754021115837682,0.47192073390699535,0.017812672135172573
EGDA,0.04822273064568261,0.04760918720529586,0.004633278437793162
EGDA,0.1753191388191067,0.1851956821218024,0.008700870707129764
EGDA,0.4261248479440269,0.4375036968156462,0.016819080030727566
EGDA,0.028603992743034767,0.028822588140179146,0.0029123281101338023
EGDA,0.3692687631713528,0.38669132028700165,0.015107267434949155
EGDA,0.28640164697261056,0.2899710832328497,0.01192645786150782
EGDA,0.2647643744898044,0.27170148299810537,0.011158876420594608
EGDA,0.35797116002232154,0.3587731549213072,0.013853299391933019
EGDA,0.1385725615525314,0.14098291819399814,0.007022743970854456
EGDA,0.0876722556241935,0.08721799666481382,0.006083979900103601
EGDA,0.10510893110024555,0.10442236982175682,0.005282981210192617
EGDA,0.3292708344734779,0.3283191774838154,0.012755535131332351
EGDA,0.206116488744794,0.20277358222006403,0.009118048598098633
EGDA,0.48803704058315506,0.503509851330986,0.01864983682874924
EGDA,0.1308073892092596,0.14131021496894453,0.006728063943347175
EGDA,0.36337901213238966,0.36811577422427605,0.014403381739400568
EGDA,0.09664370183098975,0.09383196881729258,0.006041606041659204
EGDA,0.37989427111173146,0.38626247778033573,0.015263600692635784
EGDA,0.24983972871292942,0.25609535001847045,0.010850528058757474
EGDA,0.044669645884851394,0.04677698212967794,0.003673959133144687
EGDA,0.45158114389007215,0.4515134219263535,0.01692852580199505
EGDA,0.38125350344198744,0.3772457944830524,0.014212080084654095
EGDA,0.25838834198322963,0.2543217452514051,0.01055912086861936
EGDA,0.09374104836464214,0.09585723884491844,0.005003235961172541
EGDA,0.3966279029186628,0.41565647147678697,0.016106812173024624
EGDA,0.36712361696064294,0.35794169514964047,0.014315348482996794
EGDA,0.4135826008209546,0.41640156503997033,0.01601409326928438
EGDA,0.22385269999737506,0.23095336182739004,0.010080040716270408
EGDA,0.008936411590730664,0.003117810583795883,0.003782208585316725
EGDA,0.07046106388833234,0.07610542014135857,0.0045183443579975896
EGDA,0.125561579929993,0.12664612762860689,0.007211467125577249
EGDA,0.08424721619608799,0.08426710983223962,0.004689277637649264
EGDA,0.4723322476013083,0.47142158718780963,0.017390178473839838
EGDA,0.28646846820660454,0.2843437792819878,0.011727337114921051
EGDA,0.30258874774735206,0.30858958991229923,0.01228792803331997
EGDA,0.3297972952406854,0.3256683362074111,0.01271198680155197
EGDA,0.04386357798187601,0.04152740854403626,0.004064502485772838
EGDA,0.14533561469707396,0.1478584284571408,0.007920664551225129
EGDA,0.16515635149001073,0.1689537357747712,0.007404937763941488
EGDA,0.22931969893479032,0.23043344827016096,0.009880849157448392
EGDA,0.18770062422859057,0.1874374502662553,0.008082266902102857
EGDA,0.12839985949411525,0.13241939718425064,0.006637360377527557
EGDA,0.08109661139635,0.07900300804648165,0.0050990834989282675
EGDA,0.08056638112809428,0.08230904039601937,0.004480372398540861
EGDA,0.1440279641477371,0.14310843219830044,0.006702651860269955
EGDA,0.18826848227353926,0.1937074041395075,0.008499014490400051
EGDA,0.48409932412641565,0.48141929038418513,0.017974937496447598
EGDA,0.025116851686249775,0.027555730405325624,0.003871673586038671
EGDA,0.038672227749627364,0.03728965867520078,0.0031420334856610845
EGDA,0.26115704372172677,0.2656886259475397,0.010662605687720447
EGDA,0.18901133119827523,0.2034059609024636,0.009117410400253123
EGDA,0.24637248358431407,0.24612935997354418,0.010750775545039833
EGDA,0.31974064330707663,0.3258916347713942,0.012824702071574328
EGDA,0.25524987249595404,0.25364468261218776,0.010741087212112
EGDA,0.45863136281322014,0.4821088754613615,0.01844631239694182
EGDA,0.10322286641059741,0.10138717008174762,0.005212850609426864
EGDA,0.49116542468806657,0.49271495432919493,0.018014869437126404
EGDA,0.3221589054755124,0.32983220396173296,0.012951353901681745
EGDA,0.08832116689717506,0.089258932665252,0.005775221551432441
EGDA,0.3220122792215256,0.32755974957019734,0.012721711244882182
EGDA,0.41705795021519704,0.41688481955660084,0.015613673161176405
EGDA,0.33500744899828655,0.3255919145198735,0.012512851564779099
EGDA,0.10461306848529917,0.1085927596583065,0.005654538630208623
EGDA,0.014737839084538962,0.018850158235434813,0.003969006949120972
EGMA,0.29439047108783006,0.2879102899408849,0.025311734520833126
EGMA,0.16902824624622553,0.18351780835206158,0.008323110331772505
EGMA,0.2182389604723168,0.19009186542537182,0.0320202074421167
EGMA,0.08107479478638409,0.0626920523864934,0.014653547559795484
EGMA,0.09280413863733897,0.08334237097521631,0.00668733703439159
EGMA,0.2961615151098325,0.2940306114492641,0.028117071225169498
EGMA,0.20628489881731915,0.21936768100440726,0.011273871379810813
EGMA,0.053700196157182245,0.03822894605547511,0.014032102237332231
EGMA,0.15656961922420637,0.15362098505329294,0.012652190033217405
EGMA,0.2513601780421532,0.26217276594052785,0.011307098525630225
EGMA,0.26910121153661454,0.28123059683297424,0.029691078203329033
EGMA,0.06240089719174971,0.05505839498534946,0.022114030401294952
EGMA,0.2148678392969129,0.18278268441113804,0.025381280895268307
EGMA,0.26129866085449643,0.2414760699625727,0.02004277980952646
EGMA,0.16491774690865485,0.12457546702303432,0.028794820621492984
EGMA,0.26622244252121524,0.2534313088984965,0.014991479072917405
EGMA,0.2471818603310454,0.2631071432856326,0.010745578343233872
EGMA,0.11973297145386443,0.1136104839130765,0.011697223479564912
EGMA,0.15696210632648303,0.16121123507472254,0.00823768801967232
