strategy,egda_mol,time_s,nmr_acquisitions,energy_kJ,blind_rmse_M
D,0.849396003293849,35427.078306327945,80.0,629.2524170266827,0.003388665683971426
F,0.8888312116271841,39348.979326090965,93.5,686.8925376308482,0.0008202638480548823
F-res-0.5x,0.20050122587835967,19119.990131753933,88.0,189.60384084216648,0.0015883208361434078
F-res-1x,0.18837012609795006,22228.26513175393,94.5,99.03236171290234,0.001407381264117981
F-res-2x,0.12958844243523143,15550.613092227786,84.5,112.96859280452028,0.002773914426316912
F-res-4x,0.10277939199605154,12333.527039526205,81.0,97.42579249183744,0.031830648604211906
