strategy,round,p_correct,model_entropy,param_err_pct,blind_rmse_M
D,1,nan,nan,335.58357321399427,0.1512534714789756
D,2,nan,nan,201.90018331161406,0.03704707728538951
D,3,nan,nan,32.23542247390869,0.006139770892567335
D,4,nan,nan,23.816018429284874,0.0038493053772317683
D,5,nan,nan,21.605087839594933,0.003625755821045948
D,6,nan,nan,20.494195226224306,0.003498993549015851
D,7,nan,nan,20.84799130681593,0.0035354881877614182
D,8,nan,nan,18.379614482290428,0.0033034752215550323
F,1,0.4990810117745864,0.6931364271389724,70.0158722480974,0.10545504297771036
F,2,0.6855763559548291,0.4171977799587319,49.76329353494807,0.019619268709312982
F,3,0.7643564626616869,0.012647699888493508,17.40185617062868,0.006859185027060269
F,4,0.9911197972397536,0.01986305973716488,19.64705391745651,0.0016849187204961574
F,5,1.0,0.0,15.652931403553026,0.0011302108067754435
F,6,1.0,0.0,14.639053008656646,0.001018041863034979
F,7,1.0,0.0,14.306293850712386,0.0009584166395123073
F,8,1.0,0.0,14.023686537640751,0.0009110131862970104
