variant,D_blind_rmse_M,F_blind_rmse_M
delay + reaction (plug),0.0028248224722227664,0.0008438745743113385
+ RTD dispersion,0.003175432433977692,0.0008366790306863999
+ carryover (full),0.003944327222611458,0.0010024426282302774
