strategy,round,p_correct,model_entropy,param_err_pct,blind_rmse_M
D,1,nan,nan,335.58357321399427,0.1512534714789756
D,2,nan,nan,201.90018331161406,0.03704707728538951
D,3,nan,nan,32.23542247390869,0.006139770892567335
D,4,nan,nan,23.816018429284874,0.0038493053772317683
D,5,nan,nan,21.605087839594933,0.003625755821045948
D,6,nan,nan,20.494195226224306,0.003498993549015851
D,7,nan,nan,20.84799130681593,0.0035354881877614182
D,8,nan,nan,18.379614482290428,0.0033034752215550323
D,9,nan,nan,17.856239220678827,0.0033185047190196744
D,10,nan,nan,18.041630726212148,0.0032264128511619292
F,1,0.3317847537253706,1.0985410036473955,76.3879236148872,0.09807904175317987
F,2,0.4941770972413499,0.7255281819737884,49.20158808451714,0.013988877598863154
F,3,0.18675525973413148,0.4001174674328958,19.393808405979236,0.002646670726460538
F,4,0.42232986423267915,0.42412889836788015,17.432050157350226,0.0014382123704719564
F,5,0.5362254746809837,0.36255479163308746,16.15779487387141,0.0011568648884982332
F,6,0.7315805698206099,0.28115524085508153,15.336920607969915,0.001067727720175806
F,7,0.8160545361238248,0.20049708597794305,15.245170096389465,0.0010033294907102243
F,8,0.8225695269348756,0.19170421695273104,15.206823485289773,0.0010060401655173387
F,9,0.8431607313557573,0.16414293848298164,15.086963454081573,0.0009567673078951481
F,10,0.8381779288375988,0.1592798138796266,14.479269076395074,0.0009307892919401804
