completed,faulted,last_valid_blind_rmse_M,last_valid_param_err_pct,nmr_acquisitions,nmr_reacquisitions,qc_rejected,rounds_completed,rounds_planned,runtime_s,scenario,seed,stop_reason,strategy
1,0,0.004316002333362245,46.87191570097624,8.0,0.0,0.0,8,8,2.8148059844970703,S1_ideal,1,budget exhausted,A
1,0,0.0069939961183578874,57.361147308449326,8.0,0.0,0.0,8,8,3.559360980987549,S1_ideal,2,budget exhausted,A
1,0,0.00553309361075291,29.08193188076107,8.0,0.0,0.0,8,8,3.5189690589904785,S1_ideal,3,budget exhausted,A
1,0,0.0041128424896568015,52.97900960033364,8.0,0.0,0.0,8,8,3.31164288520813,S1_ideal,4,budget exhausted,A
1,0,0.0018234043303855738,9.030237780391559,8.0,0.0,0.0,8,8,3.182508945465088,S1_ideal,5,budget exhausted,A
1,0,0.005519745019548994,35.191308497372866,8.0,0.0,0.0,8,8,2.721144199371338,S1_ideal,6,budget exhausted,A
1,0,0.003626762527804133,32.31822177677688,8.0,0.0,0.0,8,8,3.47879695892334,S1_ideal,7,budget exhausted,A
1,0,0.0068954336220172305,61.77628590159334,8.0,0.0,0.0,8,8,3.0063838958740234,S1_ideal,8,budget exhausted,A
1,0,0.004532646469591499,54.87557054367549,8.0,0.0,0.0,8,8,3.3472249507904053,S1_ideal,9,budget exhausted,A
1,0,0.007485954370949848,44.741855576934995,8.0,0.0,0.0,8,8,3.2619338035583496,S1_ideal,10,budget exhausted,A
1,0,0.0025845813575024177,46.575590384619005,8.0,0.0,0.0,8,8,3.1292879581451416,S1_ideal,11,budget exhausted,A
1,0,0.0028524762783073824,41.99065765417389,8.0,0.0,0.0,8,8,3.1649951934814453,S1_ideal,12,budget exhausted,A
1,0,0.003969382950024435,54.69038302460938,8.0,0.0,0.0,8,8,3.5604441165924072,S1_ideal,13,budget exhausted,A
1,0,0.002263367959810514,42.65236556939418,8.0,0.0,0.0,8,8,3.6379780769348145,S1_ideal,14,budget exhausted,A
1,0,0.0037653741329662185,35.462152910666276,8.0,0.0,0.0,8,8,3.7896409034729004,S1_ideal,15,budget exhausted,A
1,0,0.0032566827558588845,48.106777715706016,8.0,0.0,0.0,8,8,2.96747088432312,S1_ideal,16,budget exhausted,A
1,0,0.005387471521640107,48.18827859463437,8.0,0.0,0.0,8,8,2.864729166030884,S1_ideal,17,budget exhausted,A
1,0,0.0011954057478798762,40.67287782563302,8.0,0.0,0.0,8,8,3.158021926879883,S1_ideal,18,budget exhausted,A
1,0,0.008137156124929646,66.11454318721246,8.0,0.0,0.0,8,8,4.501718044281006,S1_ideal,19,budget exhausted,A
1,0,0.0025850979993401048,44.84022393444758,8.0,0.0,0.0,8,8,2.974091053009033,S1_ideal,20,budget exhausted,A
1,0,0.003178060695536004,47.13606830614747,8.0,0.0,0.0,8,8,2.879739999771118,S1_ideal,21,budget exhausted,A
1,0,0.00412002484493357,44.70762745876178,8.0,0.0,0.0,8,8,3.339024782180786,S1_ideal,22,budget exhausted,A
1,0,0.011152620301052253,53.53595021287296,8.0,0.0,0.0,8,8,3.307331085205078,S1_ideal,23,budget exhausted,A
1,0,0.014102534890010076,79.16414272546322,8.0,0.0,0.0,8,8,3.3714981079101562,S1_ideal,24,budget exhausted,A
1,0,0.0027431531227296224,43.198525102814386,8.0,0.0,0.0,8,8,4.2333879470825195,S1_ideal,25,budget exhausted,A
1,0,0.003904113167464307,50.774633079538866,8.0,0.0,0.0,8,8,3.0314009189605713,S1_ideal,26,budget exhausted,A
1,0,0.003907309727275326,45.81950077298642,8.0,0.0,0.0,8,8,2.997009038925171,S1_ideal,27,budget exhausted,A
1,0,0.004866776719135327,40.62709800702977,8.0,0.0,0.0,8,8,3.378473997116089,S1_ideal,28,budget exhausted,A
1,0,0.007783106078143858,60.858919140881376,8.0,0.0,0.0,8,8,3.0022218227386475,S1_ideal,29,budget exhausted,A
1,0,0.0036927465300261894,49.341037652790654,8.0,0.0,0.0,8,8,2.853019952774048,S1_ideal,30,budget exhausted,A
1,0,0.0034053876334959312,23.479810337219153,8.0,0.0,0.0,8,8,3.4662299156188965,S1_ideal,31,budget exhausted,A
1,0,0.004098256011489003,46.976382597826884,8.0,0.0,0.0,8,8,3.1041007041931152,S1_ideal,32,budget exhausted,A
1,0,0.008597450903338124,61.74914700127869,8.0,0.0,0.0,8,8,3.0443379878997803,S1_ideal,33,budget exhausted,A
1,0,0.001923324242487014,41.706387213981365,8.0,0.0,0.0,8,8,2.526319980621338,S1_ideal,34,budget exhausted,A
1,0,0.007043558854007974,59.423936916483754,8.0,0.0,0.0,8,8,3.312981128692627,S1_ideal,35,budget exhausted,A
1,0,0.003868918701637108,53.11207525216235,8.0,0.0,0.0,8,8,2.8089351654052734,S1_ideal,36,budget exhausted,A
1,0,0.005902162110077125,55.35890696324495,8.0,0.0,0.0,8,8,2.982881784439087,S1_ideal,37,budget exhausted,A
1,0,0.004796493051749,49.90403177295579,8.0,0.0,0.0,8,8,3.342388868331909,S1_ideal,38,budget exhausted,A
1,0,0.003270987090605321,45.93170306622119,8.0,0.0,0.0,8,8,2.9748599529266357,S1_ideal,39,budget exhausted,A
1,0,0.002361919584408511,41.794279755643224,8.0,0.0,0.0,8,8,2.473331928253174,S1_ideal,40,budget exhausted,A
1,0,0.0006337770564670352,38.38007997641246,80.0,0.0,0.0,8,8,2.7173798084259033,S1_ideal,1,budget exhausted,B
1,0,0.002784912412833648,43.88361145166544,80.0,0.0,0.0,8,8,2.865180015563965,S1_ideal,2,budget exhausted,B
1,0,0.000751780173946212,21.10085137107447,80.0,0.0,0.0,8,8,2.3975071907043457,S1_ideal,3,budget exhausted,B
1,0,0.001313369373287575,27.712400978446404,80.0,0.0,0.0,8,8,2.554774761199951,S1_ideal,4,budget exhausted,B
1,0,0.0030169590734128366,12.207481556470444,80.0,0.0,0.0,8,8,3.2525222301483154,S1_ideal,5,budget exhausted,B
1,0,0.0007951670210643706,9.126571711149944,80.0,0.0,0.0,8,8,2.893444061279297,S1_ideal,6,budget exhausted,B
1,0,0.0027629868194954214,44.50300348783642,80.0,0.0,0.0,8,8,3.090358018875122,S1_ideal,7,budget exhausted,B
1,0,0.0019478863213909286,43.15715048341331,80.0,0.0,0.0,8,8,2.438330888748169,S1_ideal,8,budget exhausted,B
1,0,0.0030397697332705635,42.68567499181983,80.0,0.0,0.0,8,8,2.5566511154174805,S1_ideal,9,budget exhausted,B
