strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2527.1680263507906,174.01427348925668,10000.0,nan,0.2042398648820838
D,6779.411338043954,146.53529373205592,7063.111815694382,nan,0.10699229188406416
D,12412.853589757378,77.12104943916702,2014.3834868623758,nan,0.0894808707337218
D,17050.291518249174,89.85155887839397,3504.8917510281562,nan,0.03403720513199547
D,21754.627570950754,159.96455588099488,9253.4841297343,nan,0.04054590409768673
D,26927.176021676023,156.44138720408083,9500.885304692236,nan,0.04046282736511767
D,30065.591845721116,153.79606202275465,9750.289917736072,nan,0.040319769903898454
D,33453.653673060064,150.91421078136509,9750.231048320748,nan,0.04007025790872952
F,2534.6492763507895,72.63511665351764,1186.4036700368968,nan,0.19161429923765763
F,7055.5132228398625,48.16043664605652,597.5497107774127,nan,0.12107533265471918
F,12972.06008635226,82.63262737421438,3.4420306144197492,nan,0.11556206430548001
F,17357.02373236616,59.05758735945835,3.168538086925614,nan,0.046036410859698916
F,20034.84197030396,72.95118348883281,3.141780997415123,nan,0.032255668962585624
F,24587.189633944392,91.01338180743338,2.9671167491748442,nan,0.028928694877033746
F,28809.192647867905,96.91056100897757,2.871664766885787,nan,0.029512272902135473
F,33583.59376268438,103.68291666078532,2.629746072010552,nan,0.029603390083317336
F-noGovernor,2534.6492763507895,72.63511665351764,1186.4036700368968,nan,0.19161429923765763
F-noGovernor,7055.5132228398625,48.16043664605652,597.5497107774127,nan,0.12107533265471918
F-noGovernor,13023.743870136044,66.46573002505583,3.50656514334947,nan,0.1163105616064974
F-noGovernor,17067.3118324622,52.62071120180394,3.293506270905357,nan,0.04690368136967551
F-noGovernor,20931.519865934817,67.00345071164034,2.641929507815042,nan,0.03725197709948995
F-noGovernor,25620.967253963612,76.89369022423885,2.3487397342986767,nan,0.0297480081008073
F-noGovernor,30120.382696758636,88.97181956698273,2.4955852129713363,nan,0.02915629104748914
F-noGovernor,34780.40474905152,93.72401124783586,2.2863714766546606,nan,0.02890724038053738
