strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
B,2527.1680263507906,335.58357321399427,10000.0,nan,0.1512534714789756
B,5667.193195558724,240.29829690652326,10000.0,nan,0.060667271036253176
B,8807.218364766657,181.03430617333282,10000.0,nan,0.05233538669425899
B,11947.24353397459,173.51555406025156,10000.0,nan,0.05022242273254425
B,15087.268703182523,149.17848029056455,10000.0,nan,0.03825409462145625
B,18227.293872390455,107.91757745186563,10000.0,nan,0.023694246996313405
B,21367.319041598388,60.69628094398426,8578.476617111291,nan,0.010828261511941875
B,24507.34421080632,45.36686473302364,6782.675532803616,nan,0.008813947129532219
D,2527.1680263507906,335.58357321399427,10000.0,nan,0.1512534714789756
D,6962.050693725844,201.90018331161406,9806.148924682686,nan,0.03704707728538951
D,11598.342537534034,32.23542247390869,3397.5286589368525,nan,0.006139770892567335
D,16820.890988259303,23.816018429284874,2897.1237806537592,nan,0.0038493053772317683
D,22097.182832067494,21.605087839594933,2803.627121401959,nan,0.003625755821045948
D,26042.749064017826,20.494195226224306,2062.1145372574783,nan,0.003498993549015851
D,31139.934708814173,20.84799130681593,2061.765318472038,nan,0.0035354881877614182
D,36026.22655262236,18.379614482290428,1549.606426186026,nan,0.0033034752215550323
F,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F,7306.497333103182,51.24548407789147,825.1926296987527,nan,0.013951248588631195
F,12979.823385804766,17.599218117720348,180.65066857339892,nan,0.0015421495550073205
F,17878.884285541873,13.99238663705979,98.041919642177,nan,0.0011133473791226116
F,23780.86387422947,14.72829252650799,84.0437506100608,nan,0.001031655333769294
F,28735.775856427437,15.252020450833522,75.55224058134037,nan,0.0009948489402083849
F,34345.0543806963,15.38669623495262,70.34267035762669,nan,0.0009638783050203138
F,39540.76707456859,14.487248356579226,55.87060194608072,nan,0.0009516509984683874
