strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2527.1680263507906,335.58357321399427,10000.0,nan,0.1512534714789756
D,6962.050693725844,201.90018331161406,9806.148924682686,nan,0.03704707728538951
D,11598.342537534034,32.23542247390869,3397.5286589368525,nan,0.006139770892567335
D,16820.890988259303,23.816018429284874,2897.1237806537592,nan,0.0038493053772317683
D,22097.182832067494,21.605087839594933,2803.627121401959,nan,0.003625755821045948
D,26042.749064017826,20.494195226224306,2062.1145372574783,nan,0.003498993549015851
D,31139.934708814173,20.84799130681593,2061.765318472038,nan,0.0035354881877614182
D,36026.22655262236,18.379614482290428,1549.606426186026,nan,0.0033034752215550323
D,40398.04939148978,17.856239220678827,1543.2489336786089,nan,0.0033185047190196744
D,45405.235036286125,18.041630726212148,1785.3634797117331,nan,0.0032264128511619292
F,2552.84052635079,76.3879236148872,1633.1701254532413,0.3317847537253706,0.09807904175317987
F,7401.55213532653,49.20158808451714,819.5486096856932,0.4941770972413499,0.013988877598863154
F,13042.480688028114,19.393808405979236,189.17455880165193,0.18675525973413148,0.002646670726460538
F,18219.557535953605,17.432050157350226,137.92991401506737,0.42232986423267915,0.0014382123704719564
F,23652.61392652502,16.15779487387141,74.35578696830568,0.5362254746809837,0.0011568648884982332
F,28135.849500120927,15.336920607969915,70.81915414949276,0.7315805698206099,0.001067727720175806
F,33673.80852515449,15.245170096389465,58.5416098621909,0.8160545361238248,0.0010033294907102243
F,38644.33699747283,15.206823485289773,53.22939432614678,0.8225695269348756,0.0010060401655173387
F,43237.20403873259,15.086963454081573,49.84199795893714,0.8431607313557573,0.0009567673078951481
F,48341.363753200814,14.479269076395074,44.96711379765125,0.8381779288375988,0.0009307892919401804
