param,round,median_rel_width_pct,median_rel_error_pct,n_bound_active
Ea1_J,1,136.06590979242299,41.250451177039615,0
Ea1_J,2,9.111135092467059,5.982233452224362,0
Ea1_J,3,2.105233617722382,1.6366255875761682,0
Ea1_J,4,1.0349532512168977,0.4647556338631287,0
Ea1_J,5,0.915676936741127,0.3629647023007998,0
Ea1_J,6,0.819797183512711,0.3455718596276913,0
Ea1_J,7,0.726179356458405,0.3371423636107984,0
Ea1_J,8,0.6977637603422417,0.3002524013564267,0
Ea2_J,1,140.12262842229234,14.546633205873283,0
Ea2_J,2,97.14728035645695,17.58459064843515,0
Ea2_J,3,4.074597997806505,1.9006376495021127,0
Ea2_J,4,1.9403727002138864,0.6244526461169908,0
Ea2_J,5,1.5662663481115393,0.4910131040997412,0
Ea2_J,6,1.3470970956740866,0.33658728066554566,0
Ea2_J,7,1.2291564393125158,0.37134045386283954,0
Ea2_J,8,1.1182323840523212,0.2888424567925707,0
K1_ref,1,849.6960993408312,31.33046987496978,0
K1_ref,2,795.5967593047856,58.28182550257335,0
K1_ref,3,172.1695776231757,118.31059838660458,3
K1_ref,4,163.10982845126102,132.09964154183683,4
K1_ref,5,73.55952018501841,78.11146361521402,5
K1_ref,6,59.00447280356447,60.675294563298266,5
K1_ref,7,45.800487334947775,62.75028707040617,5
K1_ref,8,38.86165038768403,48.70609595455417,4
K2_ref,1,849.6960911534069,120.71517910817317,0
K2_ref,2,52.12148048114239,16.793893730272167,0
K2_ref,3,9.015718798973559,1.9505892231245991,0
K2_ref,4,8.144267997898975,2.300278780071252,0
K2_ref,5,4.904208015224643,1.750071422726801,0
K2_ref,6,4.228156524312581,1.8384322686671006,0
K2_ref,7,3.6151037039471037,1.77732824761474,0
K2_ref,8,3.324052727134652,1.7510216069770768,0
k1_ref,1,207.60284157978663,6.023747649593691,0
k1_ref,2,31.770038946465778,27.434287482181155,0
k1_ref,3,5.215019736940041,3.3767393286553204,0
k1_ref,4,2.4096982171109174,1.3584965305935282,0
k1_ref,5,2.207290949108831,1.1040651400519796,0
k1_ref,6,2.011156346342524,1.1079348878987316,0
k1_ref,7,1.7696534883049897,1.1329309198889637,0
k1_ref,8,1.6669936228744353,0.9110863152643423,0
k2_ref,1,575.7926705428695,467.9205605175003,0
k2_ref,2,463.7425930369742,150.28627818605878,0
k2_ref,3,12.455528558168773,3.194089468402128,0
k2_ref,4,4.44269612556632,1.5236043399340593,0
k2_ref,5,3.9851212280471007,1.4831906227997238,0
k2_ref,6,3.816131271703566,1.3073867382978832,0
k2_ref,7,3.523974143343761,1.0234670056794737,0
k2_ref,8,3.057345973950687,1.1538912974537352,0
