scenario_id,catalyst,geometry,is_pareto_optimal,Y_EGMA,S_EGMA,STY_EGMA_mol_Lreactor_h,temp_C,C_catalyst_feed_M,tau_s,Y_EG,C_EGDA_feed_M,Q_total_mL_min
15fb80ac268e7084,H2SO4,A,True,0.000285244881456,0.999936336279,0.0136194398568,25,0.2,11.3097335529,1.81609065796e-08,0.3,4
b86895c5bf212eec,H2SO4,A,True,0.000190176356848,0.999957557493,0.0136203782502,25,0.2,7.53982236862,8.0719036348e-09,0.3,6
03dcbc6fecb56bae,H2SO4,A,True,0.000142637181368,0.99996816811,0.0136208474867,25,0.2,5.65486677646,4.5405553899e-09,0.3,8
76eb3d3407ee1634,H2SO4,A,True,0.000114112103757,0.999974534484,0.0136211290637,25,0.2,4.52389342117,2.90599753747e-09,0.3,10
87ca265516786d03,H2SO4,A,True,0.000566208921809,0.999873602455,0.0180229896881,25,0.2,22.6194671058,7.15764644812e-08,0.4,2
ecba2c16d399b855,H2SO4,A,True,0.000283162593035,0.99993680112,0.0180266905499,25,0.2,11.3097335529,1.78966899752e-08,0.4,4
d20f30018772bd6a,H2SO4,A,True,0.000188787982207,0.999957867385,0.018027924319,25,0.2,7.53982236862,7.95446621137e-09,0.4,6
a3f79bd318c3dd6e,H2SO4,A,True,0.000141595831996,0.99996840053,0.0180285412672,25,0.2,5.65486677646,4.47449465031e-09,0.4,8
24363320cf83c159,H2SO4,A,True,0.00011327899143,0.999974720416,0.0180289114457,25,0.2,4.52389342117,2.8637178252e-09,0.4,10
c1eaf8855325a1bf,H2SO4,A,True,0.000562045962858,0.999874532134,0.0223630983539,25,0.2,22.6194671058,7.05275563195e-08,0.5,2
a4c6bb268e53cd4f,H2SO4,A,True,0.000281080298875,0.999937265959,0.0223676594799,25,0.2,11.3097335529,1.76344093293e-08,0.5,4
75fa74acb99fac7c,H2SO4,A,True,0.000187399605016,0.999958177277,0.0223691801258,25,0.2,7.53982236862,7.83788929988e-09,0.5,6
c3e498dc1520fc5b,H2SO4,A,True,0.00014055448119,0.999968632949,0.0223699404567,25,0.2,5.65486677646,4.4089179752e-09,0.5,8
f4e83328ef19751a,H2SO4,A,True,0.000112445878186,0.999974906353,0.0223703966425,25,0.2,4.52389342117,2.82174792473e-09,0.5,10
50a639ff62ebb1d8,H2SO4,A,True,0.000843327488463,0.999811702458,0.00671098691802,25,0.3,22.6194671058,1.58826399275e-07,0.1,2
25424d6cd86fa47a,H2SO4,A,True,0.000421792491191,0.999905851021,0.00671303600608,25,0.3,11.3097335529,3.97150717512e-08,0.1,4
c1559e5e230d2834,H2SO4,A,True,0.000281223610952,0.999937233967,0.00671371914685,25,0.3,7.53982236862,1.76523985235e-08,0.1,6
89e9e8856d5435ba,H2SO4,A,True,0.000210928440423,0.999952925457,0.00671406077293,25,0.3,5.65486677646,9.92982732146e-09,0.1,8
5ce78ef511801776,H2SO4,A,True,0.000168747904028,0.999962340358,0.0067142657645,25,0.3,4.52389342117,6.35522510281e-09,0.1,10
30e7e51a072af984,H2SO4,A,True,0.000837232589666,0.99981306412,0.0133249705216,25,0.3,22.6194671058,1.56538073778e-07,0.2,2
18b9fd545c8f1c48,H2SO4,A,True,0.00041874326633,0.999906531848,0.0133290121341,25,0.3,11.3097335529,3.91428180863e-08,0.2,4
851d5422273ae77a,H2SO4,A,True,0.000279190399692,0.999937687849,0.0133303596671,25,0.3,7.53982236862,1.73980385818e-08,0.2,6
8304e56596292824,H2SO4,A,True,0.00020940338395,0.999953265867,0.0133310334655,25,0.3,5.65486677646,9.78674286274e-09,0.2,8
f130cacb0f5d5711,H2SO4,A,True,0.000167527787792,0.999962612684,0.0133314377827,25,0.3,4.52389342117,6.26364836949e-09,0.2,10
c3a6950560bc48c2,H2SO4,A,True,0.000831137639408,0.999814424713,0.0198419495694,25,0.3,22.6194671058,1.5426723464e-07,0.3,2
82d9873c2af552e4,H2SO4,A,True,0.00041569402916,0.999907212673,0.0198479278747,25,0.3,11.3097335529,3.85747169976e-08,0.3,4
3d086a11e9820f39,H2SO4,A,True,0.000277157182959,0.99993814173,0.0198499210357,25,0.3,7.53982236862,1.71455244149e-08,0.3,6
3128e5cb5c8ae67c,H2SO4,A,True,0.0002078783244,0.999953606276,0.0198509177594,25,0.3,5.65486677646,9.64469672437e-09,0.3,8
3d491f9710bdc9e5,H2SO4,A,True,0.000166307669587,0.999962885013,0.0198515157364,25,0.3,4.52389342117,6.17273619184e-09,0.3,10
11f8cd48021bd747,H2SO4,A,True,0.000825042644343,0.99981578739,0.0262619230427,25,0.3,22.6194671058,1.52011261182e-07,0.4,2
178c03b6f596721e,H2SO4,A,True,0.000412644779679,0.999907893498,0.0262697825594,25,0.3,11.3097335529,3.80107684443e-08,0.4,4
d4d11bd2053c47ec,H2SO4,A,True,0.000275123960755,0.999938595612,0.0262724030137,25,0.3,7.53982236862,1.68948560201e-08,0.4,6
5bec66b4dfe12293,H2SO4,A,True,0.000206353261771,0.999953946688,0.0262737133363,25,0.3,5.65486677646,9.50368890655e-09,0.4,8
70fb75c05747522e,H2SO4,A,True,0.000165087549411,0.99996315734,0.0262744995459,25,0.3,4.52389342117,6.08248857026e-09,0.4,10
3070deaff90868a5,H2SO4,A,True,0.000818947594454,0.999817147377,0.0325848895092,25,0.3,22.6194671058,1.49774102633e-07,0.5,2
64817d5fe127d457,H2SO4,A,True,0.000409595517888,0.999908574321,0.0325945755198,25,0.3,11.3097335529,3.74509723872e-08,0.5,4
02be0d29cfa75931,H2SO4,A,True,0.000273090733078,0.999939049493,0.032597805076,25,0.3,7.53982236862,1.66460333952e-08,0.5,6
3b330dbe7b8429fa,H2SO4,A,True,0.000204828196064,0.999954287097,0.032599419878,25,0.3,5.65486677646,9.36371940955e-09,0.5,8
de14b982e8a99829,H2SO4,A,True,0.000163867427265,0.999963429667,0.0326003888133,25,0.3,4.52389342117,5.99290550517e-09,0.5,10
8f0d8524f51e2eaf,H2SO4,A,True,0.00110420798209,0.999753406976,0.00878700792684,25,0.4,22.6194671058,2.72357146539e-07,0.1,2
9ff9422e16174704,H2SO4,A,True,0.000552324763148,0.999876703135,0.00879052163827,25,0.4,11.3097335529,6.81083093732e-08,0.1,4
e533a7e7ae63bf54,H2SO4,A,True,0.000368265583579,0.99991780201,0.00879169320963,25,0.4,7.53982236862,3.02731793214e-08,0.1,6
7375cc7be16076b2,H2SO4,A,True,0.000276217592758,0.999938351477,0.00879227902715,25,0.4,5.65486677646,1.70294564981e-08,0.1,8
d5a322301195f90b,H2SO4,A,True,0.000220982909158,0.999950681167,0.00879263061633,25,0.4,4.52389342117,1.0899156742e-08,0.1,10
bccb261b44a49279,H2SO4,A,True,0.00109619009444,0.999755195269,0.0174464071392,25,0.4,22.6194671058,2.68418231604e-07,0.2,2
