scenario_id,catalyst,geometry,Da1,X_EGDA,Y_EGMA,Y_EG,S_EGMA
24363320cf83c159,H2SO4,A,0.000113685827886,0.000113281855149,0.00011327899143,2.8637178252e-09,0.999974720416
c1eaf8855325a1bf,H2SO4,A,0.000568429139431,0.000562116490415,0.000562045962858,7.05275563195e-08,0.999874532134
a4c6bb268e53cd4f,H2SO4,A,0.000284214569715,0.000281097933284,0.000281080298875,1.76344093293e-08,0.999937265959
75fa74acb99fac7c,H2SO4,A,0.00018947637981,0.000187407442905,0.000187399605016,7.83788929988e-09,0.999958177277
c3e498dc1520fc5b,H2SO4,A,0.000142107284858,0.000140558890108,0.00014055448119,4.4089179752e-09,0.999968632949
f4e83328ef19751a,H2SO4,A,0.000113685827886,0.000112448699934,0.000112445878186,2.82174792473e-09,0.999974906353
50a639ff62ebb1d8,H2SO4,A,0.000832543043504,0.000843486314862,0.000843327488463,1.58826399275e-07,0.999811702458
25424d6cd86fa47a,H2SO4,A,0.000416271521752,0.000421832206263,0.000421792491191,3.97150717512e-08,0.999905851021
c1559e5e230d2834,H2SO4,A,0.000277514347835,0.000281241263351,0.000281223610952,1.76523985235e-08,0.999937233967
89e9e8856d5435ba,H2SO4,A,0.000208135760876,0.00021093837025,0.000210928440423,9.92982732146e-09,0.999952925457
5ce78ef511801776,H2SO4,A,0.000166508608701,0.000168754259253,0.000168747904028,6.35522510281e-09,0.999962340358
30e7e51a072af984,H2SO4,A,0.000832543043504,0.00083738912774,0.000837232589666,1.56538073778e-07,0.99981306412
18b9fd545c8f1c48,H2SO4,A,0.000416271521752,0.000418782409148,0.00041874326633,3.91428180863e-08,0.999906531848
851d5422273ae77a,H2SO4,A,0.000277514347835,0.00027920779773,0.000279190399692,1.73980385818e-08,0.999937687849
8304e56596292824,H2SO4,A,0.000208135760876,0.000209413170693,0.00020940338395,9.78674286274e-09,0.999953265867
f130cacb0f5d5711,H2SO4,A,0.000166508608701,0.000167534051441,0.000167527787792,6.26364836949e-09,0.999962612684
c3a6950560bc48c2,H2SO4,A,0.000832543043504,0.000831291906643,0.000831137639408,1.5426723464e-07,0.999814424713
82d9873c2af552e4,H2SO4,A,0.000416271521752,0.000415732603877,0.00041569402916,3.85747169976e-08,0.999907212673
3d086a11e9820f39,H2SO4,A,0.000277514347835,0.000277174328483,0.000277157182959,1.71455244149e-08,0.99993814173
3128e5cb5c8ae67c,H2SO4,A,0.000208135760876,0.000207887969097,0.0002078783244,9.64469672437e-09,0.999953606276
3d491f9710bdc9e5,H2SO4,A,0.000166508608701,0.000166313842323,0.000166307669587,6.17273619184e-09,0.999962885013
11f8cd48021bd747,H2SO4,A,0.000832543043504,0.000825194655604,0.000825042644343,1.52011261182e-07,0.99981578739
178c03b6f596721e,H2SO4,A,0.000416271521752,0.000412682790447,0.000412644779679,3.80107684443e-08,0.999907893498
d4d11bd2053c47ec,H2SO4,A,0.000277514347835,0.00027514085561,0.000275123960755,1.68948560201e-08,0.999938595612
5bec66b4dfe12293,H2SO4,A,0.000208135760876,0.00020636276546,0.000206353261771,9.50368890655e-09,0.999953946688
70fb75c05747522e,H2SO4,A,0.000166508608701,0.000165093631899,0.000165087549411,6.08248857026e-09,0.99996315734
3070deaff90868a5,H2SO4,A,0.000832543043504,0.000819097368556,0.000818947594454,1.49774102633e-07,0.999817147377
64817d5fe127d457,H2SO4,A,0.000416271521752,0.000409632968861,0.000409595517888,3.74509723872e-08,0.999908574321
02be0d29cfa75931,H2SO4,A,0.000277514347835,0.000273107379112,0.000273090733078,1.66460333952e-08,0.999939049493
3b330dbe7b8429fa,H2SO4,A,0.000208135760876,0.000204837559784,0.000204828196064,9.36371940955e-09,0.999954287097
de14b982e8a99829,H2SO4,A,0.000166508608701,0.00016387342017,0.000163867427265,5.99290550517e-09,0.999963429667
