scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
fadbfffd470d723f,H2SO4,A,25,0.5,0.1,6,7.53982236862,2.49463616e-05,9.97854463e-05,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
ac11cc9dc7fab065,H2SO4,A,25,0.5,0.1,8,5.65486677646,1.87101098e-05,7.48404392e-05,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
7f9f7ad9738d2f5b,H2SO4,A,25,0.5,0.1,10,4.52389342117,1.49682504e-05,5.98730015e-05,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
6ae51f725fc2ef98,H2SO4,A,25,0.1,0.2,2,22.6194671058,2.8934883e-05,0.000578697661,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
88f0530e09f45738,H2SO4,A,25,0.1,0.2,4,11.3097335529,1.44704721e-05,0.000289409441,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
6c43ae302a9aa90f,H2SO4,A,25,0.1,0.2,6,7.53982236862,9.64765492e-06,0.000192953098,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
3c5d3dfb7bdd8cd4,H2SO4,A,25,0.1,0.2,8,5.65486677646,7.23599379e-06,0.000144719876,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
b35b8fe168071242,H2SO4,A,25,0.1,0.2,10,4.52389342117,5.78891628e-06,0.000115778326,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
5fbb402b4202a12b,H2SO4,A,25,0.2,0.2,2,22.6194671058,5.74534771e-05,0.000574534771,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
eade8eff9c1c6985,H2SO4,A,25,0.2,0.2,4,11.3097335529,2.87327164e-05,0.000287327164,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
cc728dc17d5b3d22,H2SO4,A,25,0.2,0.2,6,7.53982236862,1.91564729e-05,0.000191564729,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
8a4f31fd466cbeb8,H2SO4,A,25,0.2,0.2,8,5.65486677646,1.43678529e-05,0.000143678529,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
286b4a5b719c65d3,H2SO4,A,25,0.2,0.2,10,4.52389342117,1.14945215e-05,0.000114945215,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
e02378dab38b6022,H2SO4,A,25,0.3,0.2,2,22.6194671058,8.55557787e-05,0.000570371858,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
15fb80ac268e7084,H2SO4,A,25,0.3,0.2,4,11.3097335529,4.27867322e-05,0.000285244881,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
b86895c5bf212eec,H2SO4,A,25,0.3,0.2,6,7.53982236862,2.85264535e-05,0.000190176357,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
03dcbc6fecb56bae,H2SO4,A,25,0.3,0.2,8,5.65486677646,2.13955772e-05,0.000142637181,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
76eb3d3407ee1634,H2SO4,A,25,0.3,0.2,10,4.52389342117,1.71168156e-05,0.000114112104,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
87ca265516786d03,H2SO4,A,25,0.4,0.2,2,22.6194671058,0.000113241784,0.000566208922,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
