design_select_s,measure_fit_s,round,round_total_s,scenario,seed,strategy
0.5969232500065118,0.07415733300149441,1,0.6711013330059359,S1_ideal,1,E
0.3740995410043979,0.26863962500647176,2,0.6427671660057968,S1_ideal,1,E
0.4175434999924619,0.31968224998854566,3,0.7373149169870885,S1_ideal,1,E
0.4924848750088131,0.2739034160040319,4,0.7664256660063984,S1_ideal,1,E
0.4536728340026457,0.42438529200444464,5,0.8781019169982756,S1_ideal,1,E
0.47696520799945574,0.6754792499996256,6,1.1524977499939268,S1_ideal,1,E
0.4589595410070615,0.5837358749995474,7,1.0427525419945596,S1_ideal,1,E
0.0,0.649251416005427,8,0.6493154159979895,S1_ideal,1,E
0.4906737090059323,0.09244433400454,1,0.5831394999986514,S1_ideal,2,E
0.420344500002102,0.33979862500564195,2,0.7601698750077048,S1_ideal,2,E
0.41659712500404567,0.3527449590037577,3,0.7693698750081239,S1_ideal,2,E
0.4341371250047814,0.45439250000345055,4,0.8886346250073984,S1_ideal,2,E
0.48258945799898356,0.4128147919982439,5,0.8954435839987127,S1_ideal,2,E
0.446359334004228,0.5306307089922484,6,0.977042916987557,S1_ideal,2,E
0.49495891699916683,0.662266917002853,7,1.157279874998494,S1_ideal,2,E
0.0,0.7909457499918062,8,0.7911258329986595,S1_ideal,2,E
0.5503697079984704,0.09737441600009333,1,0.6477650830056518,S1_ideal,3,E
0.418179375003092,0.24319366599956993,2,0.6614010829944164,S1_ideal,3,E
0.4747049580037128,0.37483979100943543,3,0.8495756250049453,S1_ideal,3,E
0.4318998329981696,0.327233541989699,4,0.7591699170006905,S1_ideal,3,E
0.43808608400286175,0.3820514999970328,5,0.8201830830075778,S1_ideal,3,E
0.4442341249960009,0.44749629200669006,6,0.891878499998711,S1_ideal,3,E
0.5134335409966297,0.5325535000010859,7,1.0460464999923715,S1_ideal,3,E
0.0,0.7440095839992864,8,0.7440766670042649,S1_ideal,3,E
0.6203606660128571,0.11086908300057985,1,0.7312511250056559,S1_ideal,4,E
0.41995895800937433,0.34741266700439155,2,0.7673999999969965,S1_ideal,4,E
0.42912849999265745,0.4072547910036519,3,0.8364159159973497,S1_ideal,4,E
0.4285138330014888,0.3428472910018172,4,0.7713965410075616,S1_ideal,4,E
0.4744836669997312,0.4650989159999881,5,0.9396300829976099,S1_ideal,4,E
0.4781793750007637,0.5233017909922637,6,1.0016188329900615,S1_ideal,4,E
0.4438065000140341,0.6302274170011515,7,1.0740891669993289,S1_ideal,4,E
0.0,0.9457425840082578,8,0.9458034169947496,S1_ideal,4,E
0.5883549580030376,0.07867679199262056,1,0.6670511249976698,S1_ideal,5,E
0.46914162499888334,0.3161162089963909,2,0.7852866670000367,S1_ideal,5,E
0.46518283399927896,0.35434004200214986,3,0.8196077500033425,S1_ideal,5,E
0.432421167002758,0.3907684579899069,4,0.8232276249909773,S1_ideal,5,E
0.41550712499883957,0.37890554100158624,5,0.7944549579988234,S1_ideal,5,E
0.4824125000013737,0.5302109159965767,6,1.012673541001277,S1_ideal,5,E
0.5806199590006145,0.5825480000057723,7,1.163320042003761,S1_ideal,5,E
0.0,0.6440815829992061,8,0.6442441249964759,S1_ideal,5,E
4.1062998340057675,0.1903694579959847,1,4.296692417003214,S1_ideal,6,E
0.4133980829938082,0.2970998749951832,2,0.7105272919870913,S1_ideal,6,E
0.401857166987611,0.5610557500040159,3,0.9629458330018679,S1_ideal,6,E
0.4408527499908814,0.5585104579949984,4,0.999403916997835,S1_ideal,6,E
0.5165866249881219,0.6216720410011476,5,1.1383052909950493,S1_ideal,6,E
0.5409237910062075,0.8042871249926975,6,1.3452632919943426,S1_ideal,6,E
0.5196044170006644,0.7756562910071807,7,1.2954236660007155,S1_ideal,6,E
0.0,0.8392460839968408,8,0.8393122499983292,S1_ideal,6,E
0.6217226669978118,0.08755537499382626,1,0.7093277920066612,S1_ideal,7,E
0.4164595000038389,0.28283083299174905,2,0.6993197919946397,S1_ideal,7,E
0.4051279169943882,0.386119000002509,3,0.7912833330046851,S1_ideal,7,E
0.416462875000434,0.525689833011711,4,0.9421913330006646,S1_ideal,7,E
0.4543549579975661,0.47574079199694097,5,0.9301404589932645,S1_ideal,7,E
0.4936655839992454,0.7276384169963421,6,1.2214446250000037,S1_ideal,7,E
0.5091974579991074,0.635548917009146,7,1.1448031670006458,S1_ideal,7,E
0.0,0.6704987090051873,8,0.6705664590117522,S1_ideal,7,E
0.662256666997564,0.10210729100799654,1,0.7643852500041248,S1_ideal,8,E
0.4034212499973364,0.37300733299343847,2,0.776457207990461,S1_ideal,8,E
0.4130060419993242,0.37462754199805204,3,0.7876644589996431,S1_ideal,8,E
0.38461395900230855,0.285550417000195,4,0.6702020419907058,S1_ideal,8,E
0.4180727500061039,0.3408927090058569,5,0.7590110840101261,S1_ideal,8,E
0.4441602089937078,0.5473811669944553,6,0.9915931669966085,S1_ideal,8,E
0.5261366249906132,0.5481813329970464,7,1.074377207987709,S1_ideal,8,E
