catalyst,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,scenario_id_A,scenario_id_B,Da1_A,Da1_B,absolute_log_Da1_distance,exact_Da1_match,tau_A_s,tau_B_s,X_EGDA_A,X_EGDA_B,delta_X_EGDA_B_minus_A,Y_EGMA_A,Y_EGMA_B,delta_Y_EGMA_B_minus_A,S_EGMA_A,S_EGMA_B,delta_S_EGMA_B_minus_A,matching_method
H2SO4,25,0.1,0.3,967504bb2c57b8ad,11f72ff05e70a23b,7.52892449092e-05,0.00508202403137,4.21212759788,False,5.65486677646,381.703507411,7.59452538898e-05,0.00511334642456,0.00503740117067,7.59439668181e-05,0.0051074965337,0.00503155256688,0.999983052638,0.998855956477,-0.00112709616112,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.3,0c323deb56aaad4c,c653c9a72bce4dfe,6.02313959273e-05,0.0203280961255,5.82156551031,False,4.52389342117,1526.81402964,6.07566657792e-05,0.0202966145917,0.0202358579259,6.07558420472e-05,0.020203710861,0.020142955019,0.999986442112,0.995422698189,-0.0045637439231,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.4,e650238bbfa7e917,d545511b5bb117f2,0.000301156979637,0.0101640480627,3.51898041732,False,22.6194671058,763.407014822,0.000301539660253,0.0101266908813,0.00982515122105,0.000301519367597,0.0101036867001,0.00980216733246,0.999932703195,0.997728361464,-0.00220434173063,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.4,8a2601780516a757,c4fc4cacde6aa806,0.000150578489818,0.00406561922509,3.295836866,False,11.3097335529,305.362805929,0.000150781238576,0.00406309465764,0.00391231341906,0.000150776165024,0.00405940306196,0.00390862689694,0.999966351565,0.99909143252,-0.000874919045237,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.4,515606a0f98ce2e8,42259723299096c1,0.000100385659879,0.00677603204182,4.21212759788,False,7.53982236862,508.938009882,0.000100523361106,0.00676261533906,0.00666209197795,0.000100521106136,0.00675237440779,0.00665185330166,0.999977567703,0.998485655216,-0.00149191248674,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.4,3a995ff85dc1b347,74272d6d4d249d0b,7.52892449092e-05,0.00508202403137,4.21212759788,False,5.65486677646,381.703507411,7.53934716248e-05,0.00507627680854,0.00500088333692,7.53922031878e-05,0.00507051153916,0.00499511933597,0.999983175772,0.998864272064,-0.00111890370734,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.4,fcbff6ef44af46a7,ef6fa018de225833,6.02313959273e-05,0.0203280961255,5.82156551031,False,4.52389342117,1526.81402964,6.03152336877e-05,0.0201504526935,0.0200901374598,6.03144218821e-05,0.0200588892347,0.0199985748128,0.999986540621,0.995456009837,-0.00453053078354,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.5,4ab13b33c8c93e87,8c502fed736b94bf,0.000301156979637,0.0101640480627,3.51898041732,False,22.6194671058,763.407014822,0.000299332997815,0.0100529015533,0.00975356855547,0.000299313001097,0.0100302322685,0.00973091926739,0.999933195744,0.997745000816,-0.00218819492871,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.5,597bf2e90d56f74a,7ac4178083d992af,0.000150578489818,0.00406561922509,3.295836866,False,11.3097335529,305.362805929,0.000149677751468,0.00403340971947,0.003883731968,0.000149672751907,0.00402977192403,0.00388009917212,0.999966597835,0.999098084326,-0.000868513509221,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.1,0.5,fadbfffd470d723f,f7abffc0de2e1a51,0.000100385659879,0.00677603204182,4.21212759788,False,7.53982236862,508.938009882,9.97876683868e-05,0.00671326600965,0.00661347834127,9.97854463032e-05,0.00670317425571,0.00660338880941,0.999977731882,0.998496744516,-0.00148098736567,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
