rank,utility_score,score_definition,scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,requires_pressurization,physical_valid,pfr_advisory
2,0.894537986396,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",a3a2aac1b217695a,NaOH,A,60,0.5,0.5,10,0.607402176317,0.471328345037,0.775974080131,0.13607383128,93.7677947086,False,False,radially_segregated
3,0.890392251223,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",6356d851296930ac,NaOH,A,80,0.4,0.5,10,0.620565105747,0.471603135274,0.759957546609,0.148961970473,93.82246284,False,False,radially_segregated
4,0.886103273023,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",e4c232539c9d93a6,NaOH,A,100,0.4,0.5,10,0.635695554843,0.472091733441,0.742638091213,0.163603821402,93.9196659258,False,False,radially_segregated
5,0.885843945681,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",71972e9518fc15a8,NaOH,A,100,0.5,0.5,10,0.744247382764,0.490618891858,0.659214803061,0.253628490907,97.6055272951,False,False,radially_segregated
6,0.877564633848,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",89050fef5830c2a1,NaOH,A,120,0.4,0.5,10,0.633466499891,0.466933370916,0.737108230659,0.166533128975,92.8934428105,True,False,radially_segregated
7,0.875250398017,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",4c5f068224c19a86,NaOH,A,120,0.5,0.5,10,0.742118481572,0.484240671025,0.652511267471,0.257877810548,96.3366207437,True,False,radially_segregated
8,0.869716558971,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",b2f5544d4c0b022e,NaOH,A,140,0.4,0.5,10,0.631065331684,0.462130663369,0.732302410173,0.168934668315,91.9379744124,True,False,radially_segregated
9,0.865932380384,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",701bd55b49c6a1a6,NaOH,A,140,0.5,0.5,10,0.739237549851,0.478475099727,0.647254863911,0.260762450124,95.1895966392,True,False,radially_segregated
10,0.862556316388,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",60e777e009aed680,NaOH,A,160,0.4,0.5,10,0.628876400344,0.457752800688,0.727889932645,0.171123599656,91.0670260427,True,False,radially_segregated
1,0.920789405341,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",88fe2338b6907bec,NaOH,B,25,0.5,0.5,10,0.760844659481,0.521823732722,0.685847927326,0.239020926759,1.53797826612,False,False,radially_segregated
2,0.914730074283,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",8fb785896bfbd8ed,NaOH,B,25,0.4,0.5,10,0.648958622153,0.49793965761,0.767290302666,0.151018964544,1.46758440026,False,False,radially_segregated
3,0.909136004681,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",7e9749e6f615d947,NaOH,B,40,0.5,0.5,10,0.757216454792,0.51443291033,0.679373654752,0.242783544462,1.51619520063,False,False,radially_segregated
4,0.905088271879,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",d52e8efbc9f5c035,NaOH,B,40,0.4,0.5,10,0.64594331669,0.49188663339,0.761501234985,0.1540566833,1.44974423933,False,False,radially_segregated
5,0.895169514767,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",fa41fe7e6cc26649,NaOH,B,60,0.5,0.5,10,0.752785653017,0.505571306034,0.671600613013,0.247214346983,1.49007727322,False,False,radially_segregated
6,0.893467180066,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",792887a21574925d,NaOH,B,60,0.4,0.5,10,0.642298797094,0.484597594187,0.754473768875,0.157701202906,1.42826116322,False,False,radially_segregated
7,0.883064649548,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",92af68e5b51a48f3,NaOH,B,80,0.4,0.5,10,0.639040902204,0.478081804407,0.748123950687,0.160959097796,1.40905707979,False,False,radially_segregated
8,0.882715461204,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",f31e8eb934ce3e31,NaOH,B,80,0.5,0.5,10,0.748839822117,0.497679644234,0.664600932716,0.251160177883,1.46681806331,False,False,radially_segregated
9,0.860859110844,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",c9b5fa0014938721,NaOH,B,25,0.4,0.4,10,0.760562751656,0.521816176238,0.686092206201,0.238746575419,1.23036479462,False,False,radially_segregated
10,0.860774683749,"0.40*Y_EGMA + 0.30*STY + 0.20*S_EGMA + 0.10*(low Y_EG), each min-max scaled within study",9f5dd09ef07bd44f,NaOH,B,25,0.5,0.5,8,0.760903947648,0.521825280274,0.685796521213,0.239078667374,1.23038626285,False,False,radially_segregated
