catalyst,geometry,response,n_scenarios,balanced_grid,total_variance,method,interaction_order,factor,level,effect,component_variance,contribution_fraction,reconstruction_residual
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,120.0|0.2,-0.00352880183764,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,120.0|0.3,-0.00108923047592,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,120.0|0.4,0.00242382677796,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,120.0|0.5,0.00674321814827,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,140.0|0.1,-0.0522207067416,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,140.0|0.2,-0.0243733988271,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,140.0|0.3,0.00171079586101,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,140.0|0.4,0.0260788182213,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,140.0|0.5,0.0488044914864,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,160.0|0.1,-0.120697420126,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,160.0|0.2,-0.0497390306836,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,160.0|0.3,0.00950529954494,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,160.0|0.4,0.059347534245,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_catalyst_feed_M,160.0|0.5,0.101583617019,0.00130240817938,0.0917166086191,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,25.0|0.1,-0.000847009059018,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,25.0|0.2,-0.000424378857481,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,25.0|0.3,-8.75919817345e-07,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,25.0|0.4,0.000423502933777,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,25.0|0.5,0.000848760902539,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,40.0|0.1,-0.000836792857884,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
H2SO4,A,X_EGDA,1000,True,0.014200352575,exact_balanced_functional_anova,2,temp_C*C_EGDA_feed_M,40.0|0.2,-0.000419270676211,5.90162161847e-07,4.15596837282e-05,-1.73472347598e-18
