catalyst,geometry,response,n_scenarios,balanced_grid,total_variance,method,interaction_order,factor,level,effect,component_variance,contribution_fraction,reconstruction_residual
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,0.0298317990892,0.000533934100461,0.0562293795974,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,0.000668558776746,2.24384817868e-07,2.36302927437e-05,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,0.000335619883858,2.24384817868e-07,2.36302927437e-05,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,1.34307491441e-06,2.24384817868e-07,2.36302927437e-05,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,-0.000334276802073,2.24384817868e-07,2.36302927437e-05,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,-0.000671244933446,2.24384817868e-07,2.36302927437e-05,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,0.0509827745434,0.000810014818467,0.0853038430542,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,0.00907143569299,0.000810014818467,0.0853038430542,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,-0.0103128717537,0.000810014818467,0.0853038430542,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,-0.021329190325,0.000810014818467,0.0853038430542,0
H2SO4,A,Y_EGMA,1000,True,0.00949564274556,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,-0.0284121481577,0.000810014818467,0.0853038430542,0
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,25.0,0.0225417606567,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,40.0,0.0223771079237,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,60.0,0.0217151468977,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,80.0,0.0197340051611,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,100.0,0.0144884927418,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,120.0,0.00200367581787,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,140.0,-0.0249777623675,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,temp_C,160.0,-0.0778824268314,0.00109666708222,0.504731655351,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.1,0.014852196195,0.0001077632585,0.0495971190625,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.2,0.00725740377306,0.0001077632585,0.0495971190625,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.3,-0.000175805302725,0.0001077632585,0.0495971190625,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.4,-0.00743263153566,0.0001077632585,0.0495971190625,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_catalyst_feed_M,0.5,-0.0145011631296,0.0001077632585,0.0495971190625,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.1,-0.000338632911041,5.7316634233e-08,2.63794912281e-05,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.2,-0.000169258790533,5.7316634233e-08,2.63794912281e-05,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.3,5.75014378335e-08,5.7316634233e-08,2.63794912281e-05,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.4,0.000169316290876,5.7316634233e-08,2.63794912281e-05,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,C_EGDA_feed_M,0.5,0.00033851790926,5.7316634233e-08,2.63794912281e-05,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,Q_total_mL_min,2.0,-0.0263097902152,0.000198527794403,0.0913707212762,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,Q_total_mL_min,4.0,-0.00229082196785,0.000198527794403,0.0913707212762,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,Q_total_mL_min,6.0,0.00593691780484,0.000198527794403,0.0913707212762,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,Q_total_mL_min,8.0,0.0100833418617,0.000198527794403,0.0913707212762,4.33680868994e-19
H2SO4,A,S_EGMA,1000,True,0.00217277254279,exact_balanced_functional_anova,1,Q_total_mL_min,10.0,0.0125803525165,0.000198527794403,0.0913707212762,4.33680868994e-19
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,25.0,-0.00701123331327,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,40.0,-0.00701083612242,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,60.0,-0.00700551576226,0.000185428987648,0.269864051933,0
H2SO4,A,Y_EG,1000,True,0.000687120001052,exact_balanced_functional_anova,1,temp_C,80.0,-0.00695577893751,0.000185428987648,0.269864051933,0
