scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,physical_valid,study_max_feasible_Y_EGMA,near_optimal_fraction_of_max,available_one_step_neighbors,feasible_one_step_neighbors,feasible_neighbor_fraction
fcbed000c19ccc31,NaOH,A,40,0.5,0.3,2,0.820039069207,0.506171833697,0.617253314756,0.31386723551,12.0839624152,False,0.51442334876,0.98395968013,6,4,0.666666666667
762e75c9091aeccc,NaOH,A,40,0.5,0.3,4,0.664394686964,0.498047088956,0.749625333748,0.166347598008,23.7799968161,False,0.51442334876,0.968165792157,7,5,0.714285714286
294bc14b1865fcfa,NaOH,A,40,0.5,0.4,2,0.756690368118,0.51442334876,0.679833351176,0.242267019358,16.3746037989,False,0.51442334876,1,6,6,1
2215bd10aa72ee1e,NaOH,A,40,0.5,0.5,2,0.691795835274,0.505612480448,0.730869506099,0.186183354826,20.1176813702,False,0.51442334876,0.98287233981,5,5,1
a2c00e16170a3eea,NaOH,A,60,0.2,0.2,2,0.704808778043,0.501021757616,0.710861971679,0.203787020427,7.97400893823,False,0.51442334876,0.973948322571,7,4,0.571428571429
2dffc889357a1e57,NaOH,A,60,0.3,0.1,6,0.762909573836,0.50542690276,0.662499095691,0.257482671076,12.0661784737,False,0.51442334876,0.98251159085,7,5,0.714285714286
ee1ecb4463fe64d3,NaOH,A,60,0.3,0.1,8,0.67698713564,0.494999278886,0.731179741574,0.181987856754,15.7563163841,False,0.51442334876,0.962241080386,7,5,0.714285714286
6b1e71e46987f235,NaOH,A,60,0.3,0.2,4,0.771824343837,0.504936020229,0.654211057556,0.266888323608,16.0726127056,False,0.51442334876,0.981557352416,8,5,0.625
7d3d8048ace719e5,NaOH,A,60,0.3,0.2,6,0.684687486082,0.496886738169,0.725713187796,0.187800747914,23.7245941529,False,0.51442334876,0.965910158174,8,7,0.875
cc99e3b20dbfc7d1,NaOH,A,60,0.3,0.3,2,0.734590942589,0.504808061077,0.687196141159,0.229782881512,12.0514047411,False,0.51442334876,0.981308609523,7,6,0.857142857143
04e0e8a9682a6359,NaOH,A,60,0.3,0.3,4,0.671600507251,0.493583809631,0.734936624231,0.17801669762,23.5668909257,False,0.51442334876,0.959489515437,8,7,0.875
943b356872d98576,NaOH,A,60,0.4,0.1,8,0.781839260489,0.503951831381,0.644572173397,0.277887429108,16.0412850286,False,0.51442334876,0.979644163889,7,5,0.714285714286
