scenario,strategy,resource_axis,resource,median,q25,q75
S4a_ambiguity,D,egda_mol,0.02105973355292326,344.40372718322106,266.37515680389345,382.8884893419174
S4a_ambiguity,D,egda_mol,0.028928239834606063,336.46891623640215,261.7802418400043,370.33127207833707
S4a_ambiguity,D,egda_mol,0.036796746116288866,317.4982335357354,249.3722221416636,359.0747209243041
S4a_ambiguity,D,egda_mol,0.04466525239797167,300.52152517749636,237.7694831478109,346.88866009111644
S4a_ambiguity,D,egda_mol,0.05253375867965447,280.9971454167083,238.16765043203304,345.6560590896783
S4a_ambiguity,D,egda_mol,0.06040226496133727,279.5474172265036,214.96521801426448,344.42345808824007
S4a_ambiguity,D,egda_mol,0.06827077124302008,272.3744569348554,186.97795647985194,343.1908570868019
S4a_ambiguity,D,egda_mol,0.07613927752470288,263.32303577984794,158.54189830069566,341.10802689738614
S4a_ambiguity,D,egda_mol,0.08400778380638568,257.8771365691123,137.03090994947152,334.8915986468729
S4a_ambiguity,D,egda_mol,0.09187629008806848,252.25015701834076,126.86509651846691,333.7034036957476
S4a_ambiguity,D,egda_mol,0.09974479636975128,244.4699378152874,120.69270630779808,332.39086290724924
S4a_ambiguity,D,egda_mol,0.1076133026514341,243.2689279950739,114.47098946487839,331.07832211875086
S4a_ambiguity,D,egda_mol,0.1154818089331169,244.0884415701442,110.16325550974967,329.7657813302525
S4a_ambiguity,D,egda_mol,0.1233503152147997,244.90795514521452,108.75210124312744,328.4532405417541
S4a_ambiguity,D,egda_mol,0.1312188214964825,245.72746872028483,107.3409469765052,327.25634632131477
S4a_ambiguity,D,egda_mol,0.1390873277781653,246.54698229535512,105.5962302045498,326.2111296070422
S4a_ambiguity,D,egda_mol,0.1469558340598481,246.71838360466023,98.8164766432777,325.16591289276965
S4a_ambiguity,D,egda_mol,0.15482434034153092,246.34061509342132,92.97452414549646,324.12069617849716
S4a_ambiguity,D,egda_mol,0.1626928466232137,245.96284658218235,86.56900453280205,323.0754794642246
S4a_ambiguity,D,egda_mol,0.17056135290489652,245.58507807094344,80.48593358486589,322.03026274995204
S4a_ambiguity,D,egda_mol,0.1784298591865793,234.78161981842555,74.7914868670153,319.21471031741817
S4a_ambiguity,D,egda_mol,0.18629836546826212,226.97624600937732,69.09704014916468,317.95291423376705
S4a_ambiguity,D,egda_mol,0.19416687174994493,201.32624219399375,63.402593431314074,316.64037344526866
S4a_ambiguity,D,egda_mol,0.20203537803162772,199.9059603347689,57.70814671346348,315.3278326567703
S4a_ambiguity,D,egda_mol,0.20990388431331053,198.4856784755441,47.81056584661376,314.0152918682719
S4a_ambiguity,D,egda_mol,0.21777239059499334,197.06539661631925,43.683463051276874,312.7027510797735
S4a_ambiguity,D,egda_mol,0.22564089687667613,195.6451147570944,35.45150996033024,311.23445271529806
S4a_ambiguity,D,egda_mol,0.23350940315835894,194.2248328978696,30.351969112050448,309.68797176103067
S4a_ambiguity,D,egda_mol,0.24137790944004175,192.80455103864477,23.055760640045172,308.1414908067633
S4a_ambiguity,D,egda_mol,0.24924641572172454,191.38426917941993,21.833073915958572,306.5950098524958
S4a_ambiguity,D,egda_mol,0.25711492200340735,189.9639873201951,23.15155960994635,305.04852889822837
S4a_ambiguity,D,egda_mol,0.26498342828509014,188.54370546097027,24.854735906760755,303.502047943961
S4a_ambiguity,D,egda_mol,0.2728519345667729,187.12342360174546,25.80691054157957,301.9555669896935
S4a_ambiguity,D,egda_mol,0.2807204408484557,185.70314174252061,26.407570442405756,300.40908603542607
S4a_ambiguity,D,egda_mol,0.2885889471301386,184.28285988329577,26.75139304106907,298.8626050811586
S4a_ambiguity,D,egda_mol,0.2964574534118214,182.86257802407096,25.23383772778749,297.3161241268912
S4a_ambiguity,D,egda_mol,0.3043259596935042,181.4422961648461,24.018589514387937,295.44737563915237
S4a_ambiguity,D,egda_mol,0.31219446597518696,180.02201430562127,22.184670011035664,293.5372906633234
S4a_ambiguity,D,egda_mol,0.32006297225686975,178.60173244639645,20.557412071208795,292.81336510743836
S4a_ambiguity,D,egda_mol,0.32793147853855253,177.18145058717164,19.93749952165214,291.3147420181226
S4a_ambiguity,D,egda_mol,0.3357999848202353,175.7611687279468,19.78961774848047,291.2944700242129
S4a_ambiguity,D,egda_mol,0.3436684911019182,174.34088686872195,19.83116660965265,291.819775754411
S4a_ambiguity,D,egda_mol,0.351536997383601,172.92060500949714,19.872715470824833,292.3409990211643
S4a_ambiguity,D,egda_mol,0.3594055036652838,171.50032315027232,19.91426433199701,291.71905379415443
S4a_ambiguity,D,egda_mol,0.3672740099469666,170.08004129104745,20.28857249746367,291.0971085671446
S4a_ambiguity,D,egda_mol,0.37514251622864936,168.65975943182264,20.779170458474578,290.3295280963155
S4a_ambiguity,D,egda_mol,0.38301102251033214,167.23947757259782,21.26976841948549,288.93256448712583
S4a_ambiguity,D,egda_mol,0.39087952879201504,165.81919571337298,21.760366380496407,287.53560087793613
S4a_ambiguity,D,egda_mol,0.3987480350736978,164.39891385414813,22.215372504982547,286.1386372687465
S4a_ambiguity,D,egda_mol,0.4066165413553806,162.97863199492332,21.879662195062878,284.7416736595568
S4a_ambiguity,D,egda_mol,0.4144850476370634,162.50056909071185,18.963419211840506,283.3447100503671
S4a_ambiguity,D,egda_mol,0.4223535539187462,162.09207823054334,18.698805522113453,281.9477464411775
S4a_ambiguity,D,egda_mol,0.43022206020042897,161.68358737037477,19.2741102090395,280.5507828319878
S4a_ambiguity,D,egda_mol,0.43809056648211187,161.2750965102062,19.766099952974205,279.0860976130153
S4a_ambiguity,D,egda_mol,0.44595907276379465,160.86660565003763,19.46787061279261,277.286348196674
S4a_ambiguity,D,egda_mol,0.45382757904547744,160.4581147898691,19.699034081569014,275.48659878033266
S4a_ambiguity,D,egda_mol,0.4616960853271602,160.04962392970052,19.930197550345415,273.68684936399137
S4a_ambiguity,D,egda_mol,0.469564591608843,159.64113306953197,20.16136101912182,271.88709994765003
S4a_ambiguity,D,egda_mol,0.4774330978905258,159.2326422093634,19.919377512778265,270.08735053130874
S4a_ambiguity,D,egda_mol,0.4853016041722086,158.82415134919486,18.65373368110319,268.28760111496746
S4a_ambiguity,F,egda_mol,0.025959733552923255,81.08552971546129,59.59201841292184,91.97345528076518
S4a_ambiguity,F,egda_mol,0.03378728627747957,80.11753887389625,58.041774711624214,91.09980060758375
S4a_ambiguity,F,egda_mol,0.04161483900203588,78.93314305673601,56.49153101032658,90.2261459344023
S4a_ambiguity,F,egda_mol,0.04944239172659219,77.09897612955004,54.94128730902895,89.63769406464195
S4a_ambiguity,F,egda_mol,0.057269944451148504,75.04015282374999,53.81758521347123,89.51754977528117
