scenario,mode,nmr_acquisitions,median_param_err_pct,q25,q75
S7_spatial_modes,F-zfixed,11.0,76.55219900566007,55.9566906014974,92.83733344814883
S7_spatial_modes,F-zfixed,23.0,30.37804729008382,20.82319322122338,59.30717689089194
S7_spatial_modes,F-zfixed,35.0,14.460206685780562,8.222942717207292,24.663382136963985
S7_spatial_modes,F-zfixed,48.0,14.318128598531032,9.586511163920864,23.58603563634497
S7_spatial_modes,F-zfixed,60.5,11.512635865825184,6.84053697397321,22.693772797713706
S7_spatial_modes,F-zfixed,73.0,9.816907305028423,6.3618201209821645,16.892744073064225
S7_spatial_modes,F-zfixed,86.0,9.027095630667347,7.317294881284275,16.638486910605277
S7_spatial_modes,F-zfixed,99.0,10.030163455113872,6.598470710423432,19.71356383776679
S7_spatial_modes,F-zbatch,11.0,76.79468896407845,55.56761046132882,92.35524048158217
S7_spatial_modes,F-zbatch,23.0,45.78464316949096,28.690408658163136,72.052350512834
S7_spatial_modes,F-zbatch,35.5,13.964013401148446,7.950987589088393,26.04936257252508
S7_spatial_modes,F-zbatch,46.5,12.396506645937366,6.171977383850202,17.532444706474287
S7_spatial_modes,F-zbatch,60.0,9.633170157109138,5.488888214302401,19.76453921213538
S7_spatial_modes,F-zbatch,72.0,10.396976646379752,5.828130897742162,20.753938824324397
S7_spatial_modes,F-zbatch,83.0,10.401760128343662,5.481567190188796,23.252199780126205
S7_spatial_modes,F-zbatch,94.0,9.04030518510055,6.0023675803162035,20.441582248999968
S7_spatial_modes,F-zadaptive,11.0,76.79468896407845,55.56761046132882,92.35524048158217
S7_spatial_modes,F-zadaptive,22.0,47.092043471040014,23.129584951710758,61.61621627818838
S7_spatial_modes,F-zadaptive,34.0,15.90190515058575,4.74652360581953,26.62776793300229
S7_spatial_modes,F-zadaptive,45.5,13.356981062492324,3.5504412475452107,17.808635190137228
S7_spatial_modes,F-zadaptive,58.0,12.086127901736443,3.1861680350412422,19.476702249693734
S7_spatial_modes,F-zadaptive,69.0,19.130765057090727,10.552795246551195,24.602559615198928
