scenario,strategy,resource_axis,resource,median,q25,q75
S5_inadequacy,D,egda_mol,0.02105973355292326,173.8902447167551,151.88834404733046,208.39835403597243
S5_inadequacy,D,egda_mol,0.026818445454548673,174.05670612882136,151.6013862901287,205.86143363246163
S5_inadequacy,D,egda_mol,0.032577157356174086,174.22316754088763,150.05439134450236,205.25536737673477
S5_inadequacy,D,egda_mol,0.0383358692577995,173.3542117330942,146.8267279019172,204.6493011210079
S5_inadequacy,D,egda_mol,0.04409458115942491,171.45090648947124,143.9426010037693,204.02013206815087
S5_inadequacy,D,egda_mol,0.049853293061050324,172.26074889701619,141.53899049683886,203.38105290330634
S5_inadequacy,D,egda_mol,0.05561200496267573,173.07059130456116,139.07476477647083,201.28392814683036
S5_inadequacy,D,egda_mol,0.06137071686430114,173.4477790951152,136.96641108274795,200.20464578719924
S5_inadequacy,D,egda_mol,0.06712942876592656,173.07368673499008,135.93017608170516,199.00810722986617
S5_inadequacy,D,egda_mol,0.07288814066755198,173.7824477025876,135.45211793988378,198.72991835798445
S5_inadequacy,D,egda_mol,0.07864685256917739,174.30331036492692,135.15310911664503,198.682874685105
S5_inadequacy,D,egda_mol,0.08440556447080279,174.6227081702682,132.63210327881413,199.15661011280142
S5_inadequacy,D,egda_mol,0.0901642763724282,173.1083246033871,129.0519379592394,198.9074987493948
S5_inadequacy,D,egda_mol,0.09592298827405361,173.67331062531915,127.51445898276417,198.26841958455026
S5_inadequacy,D,egda_mol,0.10168170017567903,174.05607494763032,125.97698000628894,197.62934041970576
S5_inadequacy,D,egda_mol,0.10744041207730444,174.43883926994147,125.64035397360333,196.99026125486125
S5_inadequacy,D,egda_mol,0.11319912397892985,174.82160359225264,125.457161077842,196.4895285827091
S5_inadequacy,D,egda_mol,0.11895783588055527,175.20436791456385,125.2739681820807,195.92214612238342
S5_inadequacy,D,egda_mol,0.12471654778218068,175.58713223687502,125.0907752863194,195.43004761032708
S5_inadequacy,D,egda_mol,0.13047525968380608,175.96989655918617,123.06818251728669,194.79952348941106
S5_inadequacy,D,egda_mol,0.1362339715854315,176.35266088149734,120.47245574354899,194.1636027931543
S5_inadequacy,D,egda_mol,0.1419926834870569,176.73542520380855,119.05893949698547,193.52768209689754
S5_inadequacy,D,egda_mol,0.14775139538868232,177.1181895261197,116.55180232521491,192.8917614006408
S5_inadequacy,D,egda_mol,0.15351010729030773,177.45882558555832,114.04466515344436,192.25584070438404
S5_inadequacy,D,egda_mol,0.15926881919193314,177.78920005598235,110.41843088179647,191.5729673344299
S5_inadequacy,D,egda_mol,0.16502753109355855,178.05178001841222,106.329112169509,191.2801160032676
S5_inadequacy,D,egda_mol,0.17078624299518397,173.8247566894567,102.23979345722154,190.5069495902817
S5_inadequacy,D,egda_mol,0.17654495489680938,166.54303919256606,105.80976714600475,189.36169938983238
