scenario,strategy,resource_axis,resource,median,q25,q75
S4b_identifiable,D,egda_mol,0.02105973355292326,344.40372718322106,266.37515680389345,382.8884893419174
S4b_identifiable,D,egda_mol,0.027415715525933297,337.7996448328579,261.9663781904473,370.8463379035127
S4b_identifiable,D,egda_mol,0.033771697498943334,324.6690778466011,255.56427599266127,368.2589876126712
S4b_identifiable,D,egda_mol,0.04012767947195338,308.46762265559596,245.43526607998834,348.92628411547344
S4b_identifiable,D,egda_mol,0.046483661444963416,294.9345846171684,237.86149946779923,346.60380643120845
S4b_identifiable,D,egda_mol,0.05283964341797345,280.9632174836421,238.18312901096294,345.6081422651529
S4b_identifiable,D,egda_mol,0.0591956253909835,280.2582286302085,222.39742640770532,344.6124780990972
S4b_identifiable,D,egda_mol,0.06555160736399354,274.8532570822412,198.74690614904793,343.6168139330416
S4b_identifiable,D,egda_mol,0.07190758933700357,269.059119710455,173.17523594467383,342.6211497669859
S4b_identifiable,D,egda_mol,0.0782635713100136,260.99249930803853,152.08495485098038,335.74494339099357
S4b_identifiable,D,egda_mol,0.08461955328302365,257.8639002353661,135.6216179148124,334.8007158204051
S4b_identifiable,D,egda_mol,0.09097553525603369,252.94697246919503,126.85679727685378,333.8536580661654
S4b_identifiable,D,egda_mol,0.09733151722904373,249.2351714011666,122.600913398051,332.7934205456138
S4b_identifiable,D,egda_mol,0.10368749920205377,242.86005125218884,117.57516661980569,331.7331830250622
S4b_identifiable,D,egda_mol,0.11004348117506381,243.52203375856487,112.54941984156036,330.6729455045106
S4b_identifiable,D,egda_mol,0.11639946314807384,244.1840162649409,109.9986814960344,329.612707983959
S4b_identifiable,D,egda_mol,0.12275544512108388,244.84599877131694,108.85878648182225,328.5524704634074
S4b_identifiable,D,egda_mol,0.12911142709409393,245.50798127769295,107.71889146761012,327.53628304298564
S4b_identifiable,D,egda_mol,0.13546740906710397,246.16996378406898,106.57899645339796,326.69198320309476
S4b_identifiable,D,egda_mol,0.141823391040114,246.831946290445,105.25283958349812,325.8476833632039
S4b_identifiable,D,egda_mol,0.14817937301312403,246.65964126243222,97.90806325599192,325.00338352331306
S4b_identifiable,D,egda_mol,0.15453535498613408,246.35448933632966,93.18908058840263,324.1590836834222
S4b_identifiable,D,egda_mol,0.16089133695914412,246.0493374102271,88.13512461349585,323.3147838435313
S4b_identifiable,D,egda_mol,0.16724731893215417,245.74418548412456,82.88430364435985,322.4704840036404
S4b_identifiable,D,egda_mol,0.1736033009051642,241.14394352485158,78.28447244524386,321.62618416374954
S4b_identifiable,D,egda_mol,0.17995928287817423,234.54753821412356,73.6846412461279,318.9996440548506
S4b_identifiable,D,egda_mol,0.18631526485118427,226.9064009153289,69.0848100470119,317.95009525789135
S4b_identifiable,D,egda_mol,0.19267124682419431,201.5962056246887,64.48497884789592,316.88985773733975
S4b_identifiable,D,egda_mol,0.19902722879720436,200.4489375701609,59.88514764877994,315.82962021678816
S4b_identifiable,D,egda_mol,0.2053832107702144,199.30166951563308,55.28531644966395,314.76938269623656
S4b_identifiable,D,egda_mol,0.21173919274322442,198.15440146110524,46.87474580795056,313.70914517568497
S4b_identifiable,D,egda_mol,0.21809517471623446,197.0071334065774,43.495211048249146,312.64890765513337
S4b_identifiable,D,egda_mol,0.2244511566892445,195.8598653520496,37.169341961742035,311.46828496687453
S4b_identifiable,D,egda_mol,0.23080713866225455,194.71259729752177,32.05656349700726,310.21907644939404
S4b_identifiable,D,egda_mol,0.2371631206352646,193.56532924299393,26.626883784247866,308.96986793191354
S4b_identifiable,D,egda_mol,0.2435191026082746,192.41806118846614,22.65480663944407,307.720659414433
S4b_identifiable,D,egda_mol,0.24987508458128466,191.2707931339383,21.807396539013375,306.4714508969525
S4b_identifiable,D,egda_mol,0.25623106655429473,190.12352507941046,22.890266612320538,305.22224237947194
S4b_identifiable,D,egda_mol,0.26258704852730474,188.97625702488264,24.705805433146043,303.97303386199144
S4b_identifiable,D,egda_mol,0.26894303050031476,187.82898897035483,25.336801347811658,302.72382534451094
S4b_identifiable,D,egda_mol,0.2752990124733248,186.681720915827,25.993713667871166,301.47461682703045
S4b_identifiable,D,egda_mol,0.2816549944463349,185.53445286129914,26.478911666689413,300.2254083095499
S4b_identifiable,D,egda_mol,0.2880109764193449,184.38718480677133,26.913293662240502,298.9761997920694
S4b_identifiable,D,egda_mol,0.29436695839235494,183.23991675224352,25.398931354823908,297.72699127458884
S4b_identifiable,D,egda_mol,0.30072294036536495,182.09264869771567,24.896977459918123,296.3220109053554
S4b_identifiable,D,egda_mol,0.30707892233837497,180.9453806431879,23.343902717614853,294.7790921811818
S4b_identifiable,D,egda_mol,0.3134349043113851,179.79811258866005,22.10118896693462,293.23617345700814
S4b_identifiable,D,egda_mol,0.3197908862843951,178.6508445341322,20.57884809767394,292.7931654443834
S4b_identifiable,D,egda_mol,0.32614686825740513,177.5035764796044,20.078098292212502,291.67126428621634
S4b_identifiable,D,egda_mol,0.33250285023041515,176.35630842507658,19.772207558739968,291.074351537773
S4b_identifiable,D,egda_mol,0.33885883220342516,175.20904037054873,19.80576968643684,291.49868032800737
S4b_identifiable,D,egda_mol,0.3452148141764353,174.0617723160209,19.83933181413371,291.92300911824174
S4b_identifiable,D,egda_mol,0.3515707961494453,172.91450426149308,19.872893941830583,292.33832748728696
S4b_identifiable,D,egda_mol,0.3579267781224553,171.76723620696526,19.906456069527454,291.8359357359737
S4b_identifiable,D,egda_mol,0.36428276009546534,170.61996815243742,20.10206936389728,291.33354398466037
S4b_identifiable,D,egda_mol,0.37063874206847536,169.4727000979096,20.498362088914195,290.83115223334704
S4b_identifiable,D,egda_mol,0.3769947240414855,168.32543204338177,20.89465481393112,290.0006897096433
S4b_identifiable,D,egda_mol,0.3833507060144955,167.17816398885395,21.29094753894804,288.87225755249676
S4b_identifiable,D,egda_mol,0.3897066879875055,166.03089593432614,21.68724026396496,287.7438253953502
S4b_identifiable,D,egda_mol,0.39606266996051553,164.88362787979833,22.066438323888022,286.61539323820364
S4b_identifiable,F,egda_mol,0.02386223355292325,77.50029922957859,47.03266994104642,92.15389794634868
S4b_identifiable,F,egda_mol,0.029333159028758143,77.24663786035173,45.98881529668901,91.77673591436684
S4b_identifiable,F,egda_mol,0.03480408450459303,76.99297649112486,44.92089100845967,91.399573882385
