scenario,strategy,resource_axis,resource,median,q25,q75
S6_resources,D,egda_mol,0.02105973355292326,344.40372718322106,266.37515680389345,382.8884893419174
S6_resources,D,egda_mol,0.027415715525933297,337.7996448328579,261.9663781904473,370.8463379035127
S6_resources,D,egda_mol,0.033771697498943334,324.6690778466011,255.56427599266127,368.2589876126712
S6_resources,D,egda_mol,0.04012767947195338,308.46762265559596,245.43526607998834,348.92628411547344
S6_resources,D,egda_mol,0.046483661444963416,294.9345846171684,237.86149946779923,346.60380643120845
S6_resources,D,egda_mol,0.05283964341797345,280.9632174836421,238.18312901096294,345.6081422651529
S6_resources,D,egda_mol,0.0591956253909835,280.2582286302085,222.39742640770532,344.6124780990972
S6_resources,D,egda_mol,0.06555160736399354,274.8532570822412,198.74690614904793,343.6168139330416
S6_resources,D,egda_mol,0.07190758933700357,269.059119710455,173.17523594467383,342.6211497669859
S6_resources,D,egda_mol,0.0782635713100136,260.99249930803853,152.08495485098038,335.74494339099357
S6_resources,D,egda_mol,0.08461955328302365,257.8639002353661,135.6216179148124,334.8007158204051
S6_resources,D,egda_mol,0.09097553525603369,252.94697246919503,126.85679727685378,333.8536580661654
S6_resources,D,egda_mol,0.09733151722904373,249.2351714011666,122.600913398051,332.7934205456138
S6_resources,D,egda_mol,0.10368749920205377,242.86005125218884,117.57516661980569,331.7331830250622
S6_resources,D,egda_mol,0.11004348117506381,243.52203375856487,112.54941984156036,330.6729455045106
S6_resources,D,egda_mol,0.11639946314807384,244.1840162649409,109.9986814960344,329.612707983959
S6_resources,D,egda_mol,0.12275544512108388,244.84599877131694,108.85878648182225,328.5524704634074
S6_resources,D,egda_mol,0.12911142709409393,245.50798127769295,107.71889146761012,327.53628304298564
S6_resources,D,egda_mol,0.13546740906710397,246.16996378406898,106.57899645339796,326.69198320309476
S6_resources,D,egda_mol,0.141823391040114,246.831946290445,105.25283958349812,325.8476833632039
S6_resources,D,egda_mol,0.14817937301312403,246.65964126243222,97.90806325599192,325.00338352331306
S6_resources,D,egda_mol,0.15453535498613408,246.35448933632966,93.18908058840263,324.1590836834222
S6_resources,D,egda_mol,0.16089133695914412,246.0493374102271,88.13512461349585,323.3147838435313
S6_resources,D,egda_mol,0.16724731893215417,245.74418548412456,82.88430364435985,322.4704840036404
S6_resources,D,egda_mol,0.1736033009051642,241.14394352485158,78.28447244524386,321.62618416374954
S6_resources,D,egda_mol,0.17995928287817423,234.54753821412356,73.6846412461279,318.9996440548506
S6_resources,D,egda_mol,0.18631526485118427,226.9064009153289,69.0848100470119,317.95009525789135
S6_resources,D,egda_mol,0.19267124682419431,201.5962056246887,64.48497884789592,316.88985773733975
S6_resources,D,egda_mol,0.19902722879720436,200.4489375701609,59.88514764877994,315.82962021678816
