x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.46460048e-01,3.52605651e-03,1.38958136e-05,3.55384813e-03,5.39206760e+01,0.00000000e+00,1.41598093e-02,1.41042260e-02,5.55832543e-05
2.00000000e-03,1.50796447e+00,2.42970456e-01,6.97437222e-03,5.51720172e-05,7.08471625e-03,5.39171451e+01,0.00000000e+00,2.81181769e-02,2.78974889e-02,2.20688069e-04
3.00000000e-03,2.26194671e+00,2.39530511e-01,1.03462698e-02,1.23219547e-04,1.05927089e-02,5.39136371e+01,0.00000000e+00,4.18779574e-02,4.13850792e-02,4.92878187e-04
4.00000000e-03,3.01592895e+00,2.36139509e-01,1.36430516e-02,2.17439613e-04,1.40779308e-02,5.39101519e+01,0.00000000e+00,5.54419649e-02,5.45722065e-02,8.69758453e-04
5.00000000e-03,3.76991118e+00,2.32796756e-01,1.68660001e-02,3.37243530e-04,1.75404872e-02,5.39066893e+01,0.00000000e+00,6.88129747e-02,6.74640005e-02,1.34897412e-03
6.00000000e-03,4.52389342e+00,2.29501569e-01,2.00163781e-02,4.82052581e-04,2.09804833e-02,5.39032493e+01,0.00000000e+00,8.19937227e-02,8.00655124e-02,1.92821033e-03
7.00000000e-03,5.27787566e+00,2.26253273e-01,2.30954288e-02,6.51297860e-04,2.43980246e-02,5.38998318e+01,0.00000000e+00,9.49869068e-02,9.23817154e-02,2.60519144e-03
8.00000000e-03,6.03185789e+00,2.23051203e-01,2.61043766e-02,8.44420124e-04,2.77932169e-02,5.38964366e+01,0.00000000e+00,1.07795187e-01,1.04417506e-01,3.37768050e-03
9.00000000e-03,6.78584013e+00,2.19894704e-01,2.90444268e-02,1.06086965e-03,3.11661661e-02,5.38930636e+01,0.00000000e+00,1.20421186e-01,1.16177707e-01,4.24347860e-03
1.00000000e-02,7.53982237e+00,2.16783128e-01,3.19167663e-02,1.30010609e-03,3.45169785e-02,5.38897128e+01,0.00000000e+00,1.32867489e-01,1.27667065e-01,5.20042437e-03
1.10000000e-02,8.29380461e+00,2.13715838e-01,3.47225635e-02,1.56159833e-03,3.78457602e-02,5.38863840e+01,0.00000000e+00,1.45136647e-01,1.38890254e-01,6.24639333e-03
1.20000000e-02,9.04778684e+00,2.10692207e-01,3.74629690e-02,1.84482435e-03,4.11526177e-02,5.38830772e+01,0.00000000e+00,1.57231173e-01,1.49851876e-01,7.37929740e-03
1.30000000e-02,9.80176908e+00,2.07711614e-01,4.01391154e-02,2.14927108e-03,4.44376576e-02,5.38797922e+01,0.00000000e+00,1.69153546e-01,1.60556462e-01,8.59708432e-03
1.40000000e-02,1.05557513e+01,2.04773448e-01,4.27521180e-02,2.47443428e-03,4.77009865e-02,5.38765288e+01,0.00000000e+00,1.80906209e-01,1.71008472e-01,9.89773711e-03
1.50000000e-02,1.13097336e+01,2.01877107e-01,4.53030746e-02,2.81981839e-03,5.09427114e-02,5.38732871e+01,0.00000000e+00,1.92491572e-01,1.81212298e-01,1.12792735e-02
