x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
5.64000000e-02,1.57147527e-04,5.55188672e-04,1.67936175e-03,4.37825913e-03,9.69643634e-03,2.10927033e-02,2.01707392e-02
5.67000000e-02,1.57981479e-04,5.58117103e-04,1.68806152e-03,4.39987179e-03,9.73879274e-03,2.11385380e-02,2.01023218e-02
5.70000000e-02,1.58815411e-04,5.61045274e-04,1.69675886e-03,4.42146737e-03,9.78106060e-03,2.11838851e-02,2.00336209e-02
5.73000000e-02,1.59649323e-04,5.63973185e-04,1.70545377e-03,4.44304590e-03,9.82324006e-03,2.12287473e-02,1.99646468e-02
5.76000000e-02,1.60483214e-04,5.66900835e-04,1.71414624e-03,4.46460737e-03,9.86533124e-03,2.12731272e-02,1.98954099e-02
5.79000000e-02,1.61317084e-04,5.69828225e-04,1.72283628e-03,4.48615180e-03,9.90733429e-03,2.13170276e-02,1.98259202e-02
5.82000000e-02,1.62150934e-04,5.72755356e-04,1.73152390e-03,4.50767920e-03,9.94924934e-03,2.13604511e-02,1.97561876e-02
5.85000000e-02,1.62984764e-04,5.75682226e-04,1.74020908e-03,4.52918958e-03,9.99107651e-03,2.14034002e-02,1.96862219e-02
5.88000000e-02,1.63818573e-04,5.78608836e-04,1.74889184e-03,4.55068294e-03,1.00328159e-02,2.14458776e-02,1.96160327e-02
5.91000000e-02,1.64652362e-04,5.81535186e-04,1.75757216e-03,4.57215931e-03,1.00744678e-02,2.14878860e-02,1.95456295e-02
5.94000000e-02,1.65486130e-04,5.84461275e-04,1.76625006e-03,4.59361868e-03,1.01160321e-02,2.15294278e-02,1.94750215e-02
5.97000000e-02,1.66319877e-04,5.87387105e-04,1.77492553e-03,4.61506107e-03,1.01575091e-02,2.15705057e-02,1.94042179e-02
6.00000000e-02,1.67153605e-04,5.90312675e-04,1.78359858e-03,4.63648650e-03,1.01988990e-02,2.16111223e-02,1.93332277e-02
