x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
1.11000000e-02,3.09853328e-05,1.09998569e-04,3.37475933e-04,9.12732851e-04,2.20216066e-03,6.68476391e-03,1.51408863e-02
1.14000000e-02,3.18223837e-05,1.12966502e-04,3.46549033e-04,9.37043707e-04,2.25953006e-03,6.84366780e-03,1.54104905e-02
1.17000000e-02,3.26594141e-05,1.15934173e-04,3.55619622e-04,9.61335887e-04,2.31678853e-03,7.00149882e-03,1.56740639e-02
1.20000000e-02,3.34964239e-05,1.18901581e-04,3.64687698e-04,9.85609401e-04,2.37393625e-03,7.15826231e-03,1.59316950e-02
1.23000000e-02,3.43334132e-05,1.21868725e-04,3.73753263e-04,1.00986426e-03,2.43097338e-03,7.31396358e-03,1.61834714e-02
1.26000000e-02,3.51703819e-05,1.24835607e-04,3.82816317e-04,1.03410048e-03,2.48790007e-03,7.46860793e-03,1.64294794e-02
1.29000000e-02,3.60073300e-05,1.27802226e-04,3.91876861e-04,1.05831806e-03,2.54471650e-03,7.62220064e-03,1.66698042e-02
1.32000000e-02,3.68442577e-05,1.30768582e-04,4.00934895e-04,1.08251702e-03,2.60142282e-03,7.77474695e-03,1.69045301e-02
1.35000000e-02,3.76811647e-05,1.33734675e-04,4.09990419e-04,1.10669738e-03,2.65801921e-03,7.92625208e-03,1.71337402e-02
1.38000000e-02,3.85180512e-05,1.36700505e-04,4.19043436e-04,1.13085913e-03,2.71450581e-03,8.07672124e-03,1.73575163e-02
1.41000000e-02,3.93549172e-05,1.39666073e-04,4.28093943e-04,1.15500229e-03,2.77088280e-03,8.22615959e-03,1.75759394e-02
1.44000000e-02,4.01917626e-05,1.42631378e-04,4.37141944e-04,1.17912688e-03,2.82715033e-03,8.37457230e-03,1.77890894e-02
1.47000000e-02,4.10285875e-05,1.45596419e-04,4.46187437e-04,1.20323290e-03,2.88330857e-03,8.52196450e-03,1.79970452e-02
1.50000000e-02,4.18653919e-05,1.48561199e-04,4.55230424e-04,1.22732037e-03,2.93935768e-03,8.66834130e-03,1.81998846e-02
1.53000000e-02,4.27021757e-05,1.51525715e-04,4.64270904e-04,1.25138929e-03,2.99529782e-03,8.81370777e-03,1.83976844e-02
1.56000000e-02,4.35389390e-05,1.54489969e-04,4.73308880e-04,1.27543968e-03,3.05112914e-03,8.95806898e-03,1.85905204e-02
1.59000000e-02,4.43756817e-05,1.57453960e-04,4.82344350e-04,1.29947155e-03,3.10685182e-03,9.10142997e-03,1.87784674e-02
1.62000000e-02,4.52124039e-05,1.60417688e-04,4.91377316e-04,1.32348491e-03,3.16246601e-03,9.24379576e-03,1.89615992e-02
1.65000000e-02,4.60491055e-05,1.63381154e-04,5.00407778e-04,1.34747976e-03,3.21797188e-03,9.38517134e-03,1.91399889e-02
1.68000000e-02,4.68857866e-05,1.66344357e-04,5.09435737e-04,1.37145613e-03,3.27336957e-03,9.52556169e-03,1.93137083e-02
1.71000000e-02,4.77224472e-05,1.69307297e-04,5.18461193e-04,1.39541402e-03,3.32865926e-03,9.66497175e-03,1.94828284e-02
1.74000000e-02,4.85590872e-05,1.72269975e-04,5.27484146e-04,1.41935344e-03,3.38384111e-03,9.80340644e-03,1.96474192e-02
1.77000000e-02,4.93957067e-05,1.75232390e-04,5.36504599e-04,1.44327440e-03,3.43891526e-03,9.94087069e-03,1.98075501e-02
1.80000000e-02,5.02323056e-05,1.78194542e-04,5.45522549e-04,1.46717692e-03,3.49388188e-03,1.00773694e-02,1.99632891e-02
1.83000000e-02,5.10688840e-05,1.81156432e-04,5.54538000e-04,1.49106100e-03,3.54874114e-03,1.02129073e-02,2.01147036e-02
1.86000000e-02,5.19054418e-05,1.84118060e-04,5.63550950e-04,1.51492666e-03,3.60349318e-03,1.03474894e-02,2.02618602e-02
1.89000000e-02,5.27419791e-05,1.87079424e-04,5.72561401e-04,1.53877391e-03,3.65813818e-03,1.04811204e-02,2.04048244e-02
1.92000000e-02,5.35784959e-05,1.90040527e-04,5.81569352e-04,1.56260276e-03,3.71267628e-03,1.06138052e-02,2.05436610e-02
1.95000000e-02,5.44149921e-05,1.93001367e-04,5.90574805e-04,1.58641321e-03,3.76710764e-03,1.07455485e-02,2.06784338e-02
1.98000000e-02,5.52514678e-05,1.95961944e-04,5.99577761e-04,1.61020529e-03,3.82143243e-03,1.08763551e-02,2.08092059e-02
2.01000000e-02,5.60879230e-05,1.98922259e-04,6.08578218e-04,1.63397900e-03,3.87565080e-03,1.10062296e-02,2.09360395e-02
2.04000000e-02,5.69243576e-05,2.01882312e-04,6.17576179e-04,1.65773434e-03,3.92976290e-03,1.11351769e-02,2.10589961e-02
2.07000000e-02,5.77607716e-05,2.04842102e-04,6.26571644e-04,1.68147134e-03,3.98376891e-03,1.12632015e-02,2.11781361e-02
2.10000000e-02,5.85971651e-05,2.07801630e-04,6.35564613e-04,1.70519001e-03,4.03766896e-03,1.13903083e-02,2.12935195e-02
2.13000000e-02,5.94335381e-05,2.10760895e-04,6.44555087e-04,1.72889035e-03,4.09146323e-03,1.15165017e-02,2.14052051e-02
2.16000000e-02,6.02698906e-05,2.13719898e-04,6.53543065e-04,1.75257237e-03,4.14515186e-03,1.16417865e-02,2.15132512e-02
2.19000000e-02,6.11062225e-05,2.16678638e-04,6.62528550e-04,1.77623609e-03,4.19873502e-03,1.17661672e-02,2.16177153e-02
2.22000000e-02,6.19425339e-05,2.19637117e-04,6.71511541e-04,1.79988152e-03,4.25221286e-03,1.18896485e-02,2.17186540e-02
2.25000000e-02,6.27788247e-05,2.22595333e-04,6.80492039e-04,1.82350867e-03,4.30558553e-03,1.20122348e-02,2.18161233e-02
2.28000000e-02,6.36150950e-05,2.25553286e-04,6.89470045e-04,1.84711754e-03,4.35885319e-03,1.21339308e-02,2.19101783e-02
2.31000000e-02,6.44513448e-05,2.28510978e-04,6.98445558e-04,1.87070815e-03,4.41201600e-03,1.22547409e-02,2.20008735e-02
2.34000000e-02,6.52875741e-05,2.31468407e-04,7.07418580e-04,1.89428052e-03,4.46507412e-03,1.23746697e-02,2.20882627e-02
2.37000000e-02,6.61237828e-05,2.34425574e-04,7.16389111e-04,1.91783464e-03,4.51802769e-03,1.24937216e-02,2.21723988e-02
2.40000000e-02,6.69599710e-05,2.37382479e-04,7.25357151e-04,1.94137054e-03,4.57087688e-03,1.26119011e-02,2.22533342e-02
2.43000000e-02,6.77961386e-05,2.40339121e-04,7.34322702e-04,1.96488822e-03,4.62362184e-03,1.27292127e-02,2.23311204e-02
2.46000000e-02,6.86322857e-05,2.43295502e-04,7.43285763e-04,1.98838769e-03,4.67626272e-03,1.28456607e-02,2.24058084e-02
2.49000000e-02,6.94684123e-05,2.46251620e-04,7.52246335e-04,2.01186897e-03,4.72879968e-03,1.29612495e-02,2.24774485e-02
2.52000000e-02,7.03045184e-05,2.49207476e-04,7.61204419e-04,2.03533207e-03,4.78123287e-03,1.30759837e-02,2.25460901e-02
2.55000000e-02,7.11406039e-05,2.52163070e-04,7.70160016e-04,2.05877699e-03,4.83356244e-03,1.31898674e-02,2.26117822e-02
2.58000000e-02,7.19766689e-05,2.55118401e-04,7.79113125e-04,2.08220374e-03,4.88578856e-03,1.33029051e-02,2.26745731e-02
2.61000000e-02,7.28127134e-05,2.58073471e-04,7.88063747e-04,2.10561235e-03,4.93791137e-03,1.34151010e-02,2.27345102e-02
2.64000000e-02,7.36487373e-05,2.61028279e-04,7.97011883e-04,2.12900281e-03,4.98993103e-03,1.35264595e-02,2.27916407e-02
2.67000000e-02,7.44847407e-05,2.63982824e-04,8.05957534e-04,2.15237514e-03,5.04184769e-03,1.36369849e-02,2.28460108e-02
2.70000000e-02,7.53207236e-05,2.66937108e-04,8.14900699e-04,2.17572936e-03,5.09366150e-03,1.37466813e-02,2.28976662e-02
2.73000000e-02,7.61566860e-05,2.69891129e-04,8.23841380e-04,2.19906546e-03,5.14537262e-03,1.38555532e-02,2.29466520e-02
2.76000000e-02,7.69926278e-05,2.72844889e-04,8.32779577e-04,2.22238346e-03,5.19698120e-03,1.39636046e-02,2.29930127e-02
2.79000000e-02,7.78285491e-05,2.75798386e-04,8.41715291e-04,2.24568338e-03,5.24848738e-03,1.40708398e-02,2.30367922e-02
2.82000000e-02,7.86644499e-05,2.78751622e-04,8.50648522e-04,2.26896522e-03,5.29989134e-03,1.41772630e-02,2.30780336e-02
2.85000000e-02,7.95003301e-05,2.81704596e-04,8.59579270e-04,2.29222899e-03,5.35119321e-03,1.42828783e-02,2.31167798e-02
2.88000000e-02,8.03361899e-05,2.84657307e-04,8.68507536e-04,2.31547471e-03,5.40239314e-03,1.43876899e-02,2.31530729e-02
2.91000000e-02,8.11720291e-05,2.87609757e-04,8.77433321e-04,2.33870239e-03,5.45349130e-03,1.44917020e-02,2.31869543e-02
2.94000000e-02,8.20078477e-05,2.90561945e-04,8.86356625e-04,2.36191202e-03,5.50448782e-03,1.45949186e-02,2.32184651e-02
2.97000000e-02,8.28436459e-05,2.93513871e-04,8.95277449e-04,2.38510364e-03,5.55538287e-03,1.46973438e-02,2.32476457e-02
3.00000000e-02,8.36794235e-05,2.96465535e-04,9.04195793e-04,2.40827724e-03,5.60617659e-03,1.47989817e-02,2.32745359e-02
3.03000000e-02,8.45151806e-05,2.99416937e-04,9.13111658e-04,2.43143284e-03,5.65686914e-03,1.48998364e-02,2.32991752e-02
3.06000000e-02,8.53509172e-05,3.02368078e-04,9.22025044e-04,2.45457045e-03,5.70746065e-03,1.49999118e-02,2.33216022e-02
3.09000000e-02,8.61866332e-05,3.05318957e-04,9.30935952e-04,2.47769008e-03,5.75795130e-03,1.50992121e-02,2.33418552e-02
3.12000000e-02,8.70223288e-05,3.08269573e-04,9.39844382e-04,2.50079174e-03,5.80834122e-03,1.51977412e-02,2.33599720e-02
3.15000000e-02,8.78580038e-05,3.11219929e-04,9.48750336e-04,2.52387544e-03,5.85863056e-03,1.52955031e-02,2.33759898e-02
3.18000000e-02,8.86936582e-05,3.14170022e-04,9.57653812e-04,2.54694119e-03,5.90881948e-03,1.53925017e-02,2.33899453e-02
3.21000000e-02,8.95292922e-05,3.17119854e-04,9.66554813e-04,2.56998901e-03,5.95890812e-03,1.54887411e-02,2.34018747e-02
3.24000000e-02,9.03649057e-05,3.20069424e-04,9.75453339e-04,2.59301889e-03,6.00889663e-03,1.55842250e-02,2.34118137e-02
3.27000000e-02,9.12004986e-05,3.23018732e-04,9.84349389e-04,2.61603086e-03,6.05878517e-03,1.56789576e-02,2.34197975e-02
3.30000000e-02,9.20360710e-05,3.25967778e-04,9.93242965e-04,2.63902493e-03,6.10857388e-03,1.57729425e-02,2.34258609e-02
3.33000000e-02,9.28716229e-05,3.28916563e-04,1.00213407e-03,2.66200110e-03,6.15826291e-03,1.58661838e-02,2.34300380e-02
3.36000000e-02,9.37071542e-05,3.31865087e-04,1.01102270e-03,2.68495938e-03,6.20785241e-03,1.59586852e-02,2.34323627e-02
3.39000000e-02,9.45426651e-05,3.34813348e-04,1.01990885e-03,2.70789979e-03,6.25734253e-03,1.60504507e-02,2.34328683e-02
3.42000000e-02,9.53781554e-05,3.37761348e-04,1.02879253e-03,2.73082234e-03,6.30673341e-03,1.61414840e-02,2.34315876e-02
3.45000000e-02,9.62136252e-05,3.40709087e-04,1.03767375e-03,2.75372703e-03,6.35602521e-03,1.62317889e-02,2.34285530e-02
3.48000000e-02,9.70490745e-05,3.43656564e-04,1.04655249e-03,2.77661388e-03,6.40521807e-03,1.63213692e-02,2.34237964e-02
