x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,9.57600418e-06,6.06960471e-05,2.85719271e-04,1.06605926e-03,2.30602629e-03
6.00000000e-04,1.91514698e-05,1.21369978e-04,5.70938902e-04,2.12503756e-03,4.57852274e-03
9.00000000e-04,2.87263967e-05,1.82021798e-04,8.55659568e-04,3.17697119e-03,6.81786482e-03
1.20000000e-03,3.83007851e-05,2.42651513e-04,1.13988195e-03,4.22189629e-03,9.02442421e-03
1.50000000e-03,4.78746348e-05,3.03259131e-04,1.42360671e-03,5.25984882e-03,1.11985688e-02
1.80000000e-03,5.74479459e-05,3.63844657e-04,1.70683454e-03,6.29086456e-03,1.33406630e-02
2.10000000e-03,6.70207186e-05,4.24408098e-04,1.98956610e-03,7.31497914e-03,1.54510671e-02
2.40000000e-03,7.65929527e-05,4.84949460e-04,2.27180206e-03,8.33222804e-03,1.75301382e-02
2.70000000e-03,8.61646484e-05,5.45468749e-04,2.55354311e-03,9.34264654e-03,1.95782296e-02
3.00000000e-03,9.57358056e-05,6.05965972e-04,2.83478990e-03,1.03462698e-02,2.15956909e-02
3.30000000e-03,1.05306424e-04,6.66441134e-04,3.11554311e-03,1.13431328e-02,2.35828685e-02
3.60000000e-03,1.14876505e-04,7.26894243e-04,3.39580341e-03,1.23332703e-02,2.55401049e-02
3.90000000e-03,1.24446047e-04,7.87325303e-04,3.67557147e-03,1.33167169e-02,2.74677394e-02
4.20000000e-03,1.34015050e-04,8.47734322e-04,3.95484795e-03,1.42935073e-02,2.93661078e-02
4.50000000e-03,1.43583515e-04,9.08121306e-04,4.23363352e-03,1.52636757e-02,3.12355425e-02
4.80000000e-03,1.53151442e-04,9.68486261e-04,4.51192884e-03,1.62272562e-02,3.30763724e-02
5.10000000e-03,1.62718831e-04,1.02882919e-03,4.78973459e-03,1.71842829e-02,3.48889233e-02
5.40000000e-03,1.72285681e-04,1.08915011e-03,5.06705143e-03,1.81347897e-02,3.66735175e-02
5.70000000e-03,1.81851993e-04,1.14944901e-03,5.34388001e-03,1.90788103e-02,3.84304740e-02
6.00000000e-03,1.91417767e-04,1.20972591e-03,5.62022101e-03,2.00163781e-02,4.01601086e-02
6.30000000e-03,2.00983002e-04,1.26998082e-03,5.89607507e-03,2.09475266e-02,4.18627341e-02
6.60000000e-03,2.10547700e-04,1.33021373e-03,6.17144288e-03,2.18722890e-02,4.35386598e-02
6.90000000e-03,2.20111859e-04,1.39042466e-03,6.44632508e-03,2.27906985e-02,4.51881920e-02
7.20000000e-03,2.29675480e-04,1.45061360e-03,6.72072233e-03,2.37027878e-02,4.68116339e-02
7.50000000e-03,2.39238563e-04,1.51078058e-03,6.99463530e-03,2.46085898e-02,4.84092854e-02
7.80000000e-03,2.48801108e-04,1.57092558e-03,7.26806463e-03,2.55081372e-02,4.99814436e-02
8.10000000e-03,2.58363115e-04,1.63104863e-03,7.54101100e-03,2.64014623e-02,5.15284024e-02
8.40000000e-03,2.67924583e-04,1.69114972e-03,7.81347505e-03,2.72885975e-02,5.30504527e-02
8.70000000e-03,2.77485514e-04,1.75122887e-03,8.08545743e-03,2.81695750e-02,5.45478826e-02
9.00000000e-03,2.87045907e-04,1.81128607e-03,8.35695881e-03,2.90444268e-02,5.60209771e-02
9.30000000e-03,2.96605762e-04,1.87132134e-03,8.62797984e-03,2.99131848e-02,5.74700182e-02
9.60000000e-03,3.06165079e-04,1.93133468e-03,8.89852117e-03,3.07758806e-02,5.88952851e-02
9.90000000e-03,3.15723857e-04,1.99132609e-03,9.16858346e-03,3.16325459e-02,6.02970541e-02
1.02000000e-02,3.25282099e-04,2.05129559e-03,9.43816734e-03,3.24832120e-02,6.16755989e-02
1.05000000e-02,3.34839802e-04,2.11124318e-03,9.70727348e-03,3.33279103e-02,6.30311899e-02
1.08000000e-02,3.44396967e-04,2.17116886e-03,9.97590253e-03,3.41666719e-02,6.43640952e-02
1.11000000e-02,3.53953594e-04,2.23107265e-03,1.02440551e-02,3.49995278e-02,6.56745799e-02
1.14000000e-02,3.63509684e-04,2.29095454e-03,1.05117319e-02,3.58265089e-02,6.69629063e-02
1.17000000e-02,3.73065236e-04,2.35081455e-03,1.07789336e-02,3.66476457e-02,6.82293342e-02
1.20000000e-02,3.82620250e-04,2.41065267e-03,1.10456607e-02,3.74629690e-02,6.94741207e-02
1.23000000e-02,3.92174727e-04,2.47046893e-03,1.13119140e-02,3.82725090e-02,7.06975200e-02
1.26000000e-02,4.01728665e-04,2.53026331e-03,1.15776941e-02,3.90762961e-02,7.18997839e-02
1.29000000e-02,4.11282066e-04,2.59003584e-03,1.18430016e-02,3.98743605e-02,7.30811616e-02
1.32000000e-02,4.20834930e-04,2.64978651e-03,1.21078372e-02,4.06667320e-02,7.42418997e-02
1.35000000e-02,4.30387256e-04,2.70951533e-03,1.23722015e-02,4.14534406e-02,7.53822421e-02
1.38000000e-02,4.39939044e-04,2.76922231e-03,1.26360951e-02,4.22345160e-02,7.65024303e-02
1.41000000e-02,4.49490294e-04,2.82890746e-03,1.28995188e-02,4.30099877e-02,7.76027033e-02
