T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,7.63161191e-03,7.61805055e-03,1.35613603e-05
4.50000000e+01,1.06203065e-02,1.05936840e-02,2.66224604e-05
5.00000000e+01,1.46207997e-02,1.45696456e-02,5.11540542e-05
5.50000000e+01,1.99185088e-02,1.98222265e-02,9.62822955e-05
6.00000000e+01,2.68599100e-02,2.66822649e-02,1.77645112e-04
6.50000000e+01,3.58587331e-02,3.55372460e-02,3.21487069e-04
7.00000000e+01,4.73998101e-02,4.68288638e-02,5.70946313e-04
7.50000000e+01,6.20388400e-02,6.10433902e-02,9.95449785e-04
8.00000000e+01,8.03957635e-02,7.86914232e-02,1.70434029e-03
8.50000000e+01,1.03138869e-01,1.00272889e-01,2.86597976e-03
9.00000000e+01,1.30956302e-01,1.26222833e-01,4.73346874e-03
9.50000000e+01,1.64511563e-01,1.56833987e-01,7.67757600e-03
1.00000000e+02,2.04380166e-01,1.92153989e-01,1.22261772e-02
1.05000000e+02,2.50966405e-01,2.31859313e-01,1.91070923e-02
1.10000000e+02,3.04402492e-01,2.75115127e-01,2.92873646e-02
1.15000000e+02,3.64437735e-01,3.20441053e-01,4.39966818e-02
1.20000000e+02,4.30332580e-01,3.65616190e-01,6.47163901e-02
1.25000000e+02,5.00780522e-01,4.07670405e-01,9.31101172e-02
1.30000000e+02,5.73887555e-01,4.43016831e-01,1.30870724e-01
1.35000000e+02,6.47240390e-01,4.67774430e-01,1.79465960e-01
1.40000000e+02,7.18086257e-01,4.78299291e-01,2.39786966e-01
1.45000000e+02,7.83625239e-01,4.71883318e-01,3.11741921e-01
1.50000000e+02,8.41381366e-01,4.47494838e-01,3.93886528e-01
