ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.510943,0.4848,0.0261436,0.00629339,0.00332952,0.00283563,0.0108089,0.445882,0.0156504
0.00586224,0.482285,0.48566,-0.00337426,0.00631002,0.00333766,0.00284045,0.0108426,0.4467,0.0156291
0.0117245,0.495088,0.486523,0.0085655,0.00632675,0.00334585,0.0028453,0.0108765,0.44752,0.0156079
0.0175867,0.550062,0.487389,0.0626729,0.00634357,0.00335408,0.00285016,0.0109106,0.448344,0.0155867
0.0234489,0.602901,0.488258,0.114643,0.00636048,0.00336236,0.00285504,0.010945,0.44917,0.0155656
0.0293112,0.516329,0.48913,0.0271984,0.00637749,0.00337068,0.00285993,0.0109795,0.449998,0.0155445
0.0351734,0.525753,0.490006,0.0357476,0.0063946,0.00337904,0.00286484,0.0110143,0.45083,0.0155234
0.0410357,0.441255,0.490884,-0.049629,0.0064118,0.00338745,0.00286977,0.0110493,0.451664,0.0155024
0.0468979,0.515561,0.491766,0.0237943,0.00642911,0.00339591,0.00287472,0.0110845,0.452501,0.0154815
0.0527601,0.42038,0.492651,-0.0722708,0.00644651,0.00340441,0.00287968,0.0111199,0.45334,0.0154605
0.0586224,0.449792,0.493539,-0.0437472,0.00646401,0.00341296,0.00288466,0.0111556,0.454182,0.0154396
0.0644846,0.463221,0.494431,-0.0312099,0.00648161,0.00342155,0.00288965,0.0111914,0.455028,0.0154188
0.0703468,0.431053,0.495325,-0.0642719,0.00649932,0.00343019,0.00289467,0.0112276,0.455876,0.015398
0.0762091,0.403162,0.496223,-0.0930616,0.00651712,0.00343888,0.0028997,0.0112639,0.456726,0.0153772
0.0820713,0.53178,0.497124,0.0346558,0.00653503,0.00344762,0.00290475,0.0113005,0.45758,0.0153565
0.0879336,0.661672,0.498029,0.163643,0.00655305,0.0034564,0.00290981,0.0113373,0.458436,0.0153358
0.0937958,0.594947,0.498936,0.0960107,0.00657117,0.00346523,0.0029149,0.0113743,0.459296,0.0153151
0.099658,0.562134,0.499847,0.0622869,0.0065894,0.00347412,0.00292,0.0114116,0.460158,0.0152945
0.10552,0.529418,0.500762,0.0286567,0.00660773,0.00348305,0.00292512,0.0114492,0.461023,0.0152739
0.111383,0.626195,0.501679,0.124515,0.00662617,0.00349203,0.00293025,0.0114869,0.46189,0.0152534
0.117245,0.693047,0.5026,0.190447,0.00664473,0.00350106,0.00293541,0.011525,0.462761,0.0152329
0.123107,0.699643,0.503525,0.196118,0.00666339,0.00351015,0.00294058,0.0115633,0.463635,0.0152125
0.128969,0.541612,0.504453,0.037159,0.00668216,0.00351928,0.00294577,0.0116018,0.464512,0.0151921
0.134831,0.455085,0.505384,-0.0502987,0.00670105,0.00352847,0.00295098,0.0116406,0.465391,0.0151717
0.140694,0.487089,0.506319,-0.0192295,0.00672005,0.00353771,0.00295621,0.0116796,0.466274,0.0151514
0.146556,0.548146,0.507257,0.0408892,0.00673917,0.003547,0.00296146,0.0117189,0.467159,0.0151311
0.152418,0.459856,0.508198,-0.0483423,0.0067584,0.00355634,0.00296672,0.0117585,0.468048,0.0151108
0.15828,0.488245,0.509143,-0.020899,0.00677774,0.00356574,0.00297201,0.0117983,0.468939,0.0150906
0.164143,0.550628,0.510092,0.0405357,0.00679721,0.00357519,0.00297731,0.0118384,0.469834,0.0150704
0.170005,0.541593,0.511044,0.0305489,0.00681679,0.0035847,0.00298263,0.0118788,0.470731,0.0150503
0.175867,0.756955,0.512,0.244955,0.0068365,0.00359426,0.00298797,0.0119194,0.471632,0.0150302
0.181729,0.610941,0.512959,0.0979815,0.00685632,0.00360388,0.00299333,0.0119604,0.472535,0.0150102
0.187592,0.643795,0.513922,0.129873,0.00687627,0.00361355,0.00299871,0.0120016,0.473442,0.0149902
