scenario,strategy,seed,acquisition_index,z_m,z_over_L,reacquisition,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,qc_state,qc_flags,residual_rms,fit_condition_number,hardware_fault,spectrum_csv,c_EGDA_M,sigma_EGDA_M,c_EGMA_M,sigma_EGMA_M,c_EG_M,sigma_EG_M,c_AcOH_M,sigma_AcOH_M
S3_transport,D,7,1,0.02,0.09999999999999999,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,"WARN nonnegativity active: EGMA,AcOH",0.23783279422110487,2.5749162381125092,0,spectrum_D_acq0001_z0.0200m.csv,0.49547810636093464,0.01052312496664918,0.001564193528995341,0.011309616208186856,0.0004212463159934542,0.0021091280894067043,-0.00022445737519570042,0.006130496395996001
S3_transport,D,7,8,0.16,0.7999999999999999,0,40.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.38523142561356466,2.581312041045078,0,spectrum_D_acq0008_z0.1600m.csv,0.4798134443663225,0.010284735863313327,0.012252268275875545,0.011642516488391062,0.0005094949188591039,0.002498294395407897,-0.00013269782982957797,0.006387623106131599
S3_transport,D,7,15,0.1,0.5,0,140.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.23015635204737608,2.5855183308882688,0,spectrum_D_acq0015_z0.1000m.csv,0.35635130070793564,0.008175959928822646,0.10917235913664415,0.020263487802669195,0.028489068340466786,0.0021211589768501482,0.17055353134792692,0.006816421349223585
S3_transport,D,7,23,0.06000000000000001,0.30000000000000004,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.23916562161641244,2.59461857859168,0,spectrum_D_acq0023_z0.0600m.csv,0.12086467629939567,0.005026664340774938,0.14635399193255721,0.025218679339281347,0.2266081387996691,0.0032419708281110128,0.604143860571445,0.0122540018337418
S3_transport,D,7,30,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.23722995223108945,2.619245665804514,0,spectrum_D_acq0030_z0.2000m.csv,0.005798504309421404,0.004458981909493334,0.07211281506594772,0.015845941010261596,0.4170437609152167,0.00498728102266955,0.9174515983405171,0.017237590677014487
S3_transport,D,7,37,0.14,0.7000000000000001,0,100.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.21480027947253638,2.6285004289090605,0,spectrum_D_acq0037_z0.1400m.csv,0.28407055264748604,0.0070498519723700475,0.15805341294909067,0.02684255258220188,0.05228436753376146,0.002158000839844331,0.26173604836456593,0.007648158888072606
S3_transport,D,7,44,0.08,0.39999999999999997,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.28015214229862584,2.5431855505484853,0,spectrum_D_acq0044_z0.0800m.csv,0.07776659126717833,0.004709021073262928,0.12344153075168696,0.022128395904276718,0.29096365643811356,0.0038314362673184986,0.7163057199556714,0.014010322287491397
S3_transport,D,7,51,0.02,0.09999999999999999,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.278518237877586,2.6015579000912874,0,spectrum_D_acq0051_z0.0200m.csv,0.2984817375159386,0.007281884927340523,0.10685283446530904,0.01999698613550702,0.06919743444263259,0.0023419350330886072,0.26783004552768735,0.007781344904139091
S3_transport,D,7,58,0.16,0.7999999999999999,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.20579596164829703,2.6439623949400626,0,spectrum_D_acq0058_z0.1600m.csv,0.01190295476176883,0.00445320163931587,0.08212481405067694,0.016949023133688276,0.4012919030230148,0.004807124377450066,0.8875474940450228,0.01673417049908079
S3_transport,D,7,66,0.12000000000000002,0.6000000000000001,0,100.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.19773452077571016,2.5877139229096873,0,spectrum_D_acq0066_z0.1200m.csv,0.30333796483150094,0.007334650772966858,0.16102512257379528,0.027248734725953117,0.03918515972320588,0.0020765629176485233,0.23094340826912105,0.007311145271944509
