ppm,observed,fitted,residual,component_EGDA,component_EGMA,component_EG,component_AcOH,component_exchange_pool,component_baseline
0,0.195054,-0.0225516,0.217606,-0.000344895,-0.00207644,-0.00616992,-0.016937,-0.0174359,0.0204126
0.00586224,-0.00308381,-0.0223276,0.0192438,-0.00034563,-0.00208057,-0.00617917,-0.0169791,-0.0171301,0.0203869
0.0117245,-0.0589975,-0.0221022,-0.0368953,-0.000346367,-0.00208472,-0.00618845,-0.0170214,-0.0168226,0.0203613
0.0175867,0.103677,-0.0218755,0.125552,-0.000347108,-0.00208888,-0.00619776,-0.0170639,-0.0165137,0.0203358
0.0234489,0.141121,-0.0216474,0.162768,-0.000347852,-0.00209306,-0.0062071,-0.0171065,-0.0162031,0.0203103
0.0293112,0.124661,-0.0214179,0.146079,-0.0003486,-0.00209726,-0.00621646,-0.0171495,-0.015891,0.0202849
0.0351734,0.0081328,-0.0211871,0.0293199,-0.00034935,-0.00210148,-0.00622586,-0.0171926,-0.0155773,0.0202595
0.0410357,-0.032349,-0.0209549,-0.0113941,-0.000350105,-0.00210571,-0.00623528,-0.0172359,-0.0152621,0.0202341
0.0468979,-0.116928,-0.0207213,-0.096207,-0.000350862,-0.00210996,-0.00624473,-0.0172794,-0.0149452,0.0202089
0.0527601,0.0275069,-0.0204864,0.0479933,-0.000351623,-0.00211423,-0.00625421,-0.0173232,-0.0146267,0.0201836
0.0586224,-0.018187,-0.02025,0.00206303,-0.000352388,-0.00211852,-0.00626371,-0.0173672,-0.0143066,0.0201585
0.0644846,-0.0148207,-0.0200122,0.00519153,-0.000353155,-0.00212283,-0.00627325,-0.0174114,-0.0139849,0.0201333
0.0703468,-0.014892,-0.019773,0.00488103,-0.000353927,-0.00212716,-0.00628281,-0.0174558,-0.0136616,0.0201083
0.0762091,-0.00604138,-0.0195324,0.013491,-0.000354702,-0.0021315,-0.00629241,-0.0175004,-0.0133366,0.0200833
0.0820713,-0.0384512,-0.0192903,-0.0191609,-0.00035548,-0.00213586,-0.00630203,-0.0175453,-0.0130099,0.0200583
0.0879336,-0.115457,-0.0190468,-0.0964103,-0.000356262,-0.00214025,-0.00631168,-0.0175904,-0.0126816,0.0200334
0.0937958,-0.0572159,-0.0188019,-0.0384139,-0.000357047,-0.00214465,-0.00632136,-0.0176357,-0.0123517,0.0200085
0.099658,0.0557904,-0.0185555,0.0743459,-0.000357836,-0.00214907,-0.00633108,-0.0176813,-0.01202,0.0199837
0.10552,0.211584,-0.0183077,0.229891,-0.000358629,-0.00215351,-0.00634082,-0.017727,-0.0116867,0.019959
0.111383,0.197134,-0.0180584,0.215193,-0.000359425,-0.00215797,-0.00635059,-0.0177731,-0.0113516,0.0199343
0.117245,-0.00192148,-0.0178076,0.0158862,-0.000360225,-0.00216244,-0.00636039,-0.0178193,-0.0110149,0.0199096
0.123107,0.0346014,-0.0175554,0.0521568,-0.000361029,-0.00216694,-0.00637022,-0.0178658,-0.0106764,0.019885
0.128969,-0.0574428,-0.0173016,-0.0401412,-0.000361837,-0.00217146,-0.00638008,-0.0179125,-0.0103362,0.0198605
0.134831,0.0300153,-0.0170464,0.0470617,-0.000362648,-0.002176,-0.00638997,-0.0179595,-0.00999428,0.019836
0.140694,0.0718916,-0.0167896,0.0886813,-0.000363463,-0.00218055,-0.0063999,-0.0180067,-0.00965059,0.0198115
0.146556,-0.083544,-0.0165314,-0.0670126,-0.000364282,-0.00218513,-0.00640985,-0.0180541,-0.00930515,0.0197871
0.152418,0.0485023,-0.0162716,0.0647739,-0.000365104,-0.00218973,-0.00641983,-0.0181018,-0.00895795,0.0197628
0.15828,-0.0710899,-0.0160103,-0.0550796,-0.000365931,-0.00219435,-0.00642985,-0.0181497,-0.00860896,0.0197385
0.164143,-0.0199431,-0.0157475,-0.00419568,-0.000366761,-0.00219899,-0.00643989,-0.0181979,-0.00825819,0.0197143
0.170005,-0.109499,-0.0154831,-0.094016,-0.000367595,-0.00220365,-0.00644997,-0.0182463,-0.00790562,0.0196901
0.175867,-0.101134,-0.0152171,-0.0859173,-0.000368434,-0.00220833,-0.00646008,-0.018295,-0.00755124,0.019666
0.181729,-0.236163,-0.0149496,-0.221213,-0.000369276,-0.00221303,-0.00647022,-0.0183439,-0.00719505,0.0196419
0.187592,-0.0828237,-0.0146806,-0.0681431,-0.000370122,-0.00221775,-0.00648039,-0.0183931,-0.00683702,0.0196179
0.193454,-0.0557637,-0.0144099,-0.0413538,-0.000370972,-0.0022225,-0.0064906,-0.0184426,-0.00647715,0.0195939
0.199316,0.044235,-0.0141377,0.0583727,-0.000371827,-0.00222726,-0.00650083,-0.0184923,-0.00611544,0.01957
0.205178,0.02148,-0.0138639,0.0353439,-0.000372685,-0.00223205,-0.0065111,-0.0185423,-0.00575186,0.0195461
0.211041,-0.0172121,-0.0135884,-0.00362366,-0.000373548,-0.00223686,-0.0065214,-0.0185925,-0.00538642,0.0195223
0.216903,0.0482404,-0.0133114,0.0615518,-0.000374414,-0.00224169,-0.00653173,-0.018643,-0.00501909,0.0194985
