variant,D_blind_rmse_M,F_blind_rmse_M
delay + reaction (plug),0.01307547519471822,0.0009608977444815083
+ RTD dispersion,0.011908166687394315,0.0010651421739501358
+ carryover (full),0.01073961607693997,0.001262238789471101
