strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
F-zadaptive,2427.7448602330987,73.70186377562001,1509.445093216175,nan,0.09562858691778083
F-zadaptive,6962.782290349647,37.84121788028388,829.8445810603127,nan,0.013696317490110027
F-zadaptive,12228.880760815846,12.635935960249409,557.4955915412477,nan,0.002455681659582242
F-zadaptive,17326.18824443994,14.173662649796833,457.0569307171547,nan,0.001297044016043073
F-zadaptive,22324.718505934237,15.630400946357362,434.45719488614077,nan,0.0011984344765838752
F-zadaptive,27307.742992667158,16.783036356083404,417.54479571543726,nan,0.0011533447401193809
F-zadaptive,31759.814939357126,17.992155474772716,410.4819063193227,nan,0.0011016101452583705
F-zadaptive,36208.770493433905,19.039238141395728,397.9021517284669,nan,0.001072367601357936
F-zbatch,2427.7448602330987,73.70186377562001,1509.445093216175,nan,0.09562858691778083
F-zbatch,6609.231040349647,39.5731145374757,854.267746681385,nan,0.014266984709953783
F-zbatch,11424.06576081585,14.715654957515634,551.8761641345955,nan,0.002171024896364767
F-zbatch,16197.504231282053,14.28925324349548,466.0845988136978,nan,0.0013080033182660401
F-zbatch,21102.152406719117,14.833484732174835,425.50406071877023,nan,0.0011662234324922463
F-zbatch,25561.725139612478,16.09762688926686,414.37535839930143,nan,0.001156184349943462
F-zbatch,29245.300884933,16.988361554098216,401.8651484561762,nan,0.0011161153919172432
F-zbatch,33114.62889577972,17.8898061602084,390.6024309759649,nan,0.0010566326156519555
F-zfixed,2476.942360233099,74.86230672490122,1921.3933712306723,nan,0.09416048488295767
F-zfixed,6662.083195239946,35.57111493869297,909.6052839385409,nan,0.014332940755155493
F-zfixed,11328.05973868866,14.61547205946008,564.2281225025345,nan,0.0025878887068044977
F-zfixed,16173.194459154858,13.639320616940205,460.0351592283306,nan,0.0013790322751555193
F-zfixed,20972.14888459192,15.515223744445866,434.9865434862457,nan,0.001276508052254603
F-zfixed,26124.783605058117,17.654951933381685,429.6248816507424,nan,0.0012096233808633514
F-zfixed,30388.423351928162,19.41488587531206,426.7257927486824,nan,0.001184062087543444
F-zfixed,34554.85901028947,20.506946486107328,423.5063972518983,nan,0.0011563975459747066
