strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
B,1,326.247113755998,10000.0,nan,0.14234461034560608
B,2,237.1475009984759,10000.0,nan,0.06233584384945142
B,3,180.96507444620687,10000.0,nan,0.05160873213494166
B,4,177.30633955110315,10000.0,nan,0.04990415782683169
B,5,147.682228229014,10000.0,nan,0.03827108076477097
B,6,105.69627761117322,10000.0,nan,0.022873864481835333
B,7,59.426689521837204,8531.89564691868,nan,0.010568723095800073
B,8,44.974146773067524,6800.581737314387,nan,0.008695954880523618
D,1,326.247113755998,10000.0,nan,0.14234461034560608
D,2,217.48565433127322,9837.336732290902,nan,0.035958829217294784
D,3,46.10409125386843,8555.085794432223,nan,0.006995705905955973
D,4,39.307734602522885,8832.55691417639,nan,0.00391076982906306
D,5,36.441413350776784,8127.205142357578,nan,0.0037328278397925235
D,6,34.22113949694383,7298.854616898898,nan,0.0036243368888319053
D,7,34.14333019715387,7394.4269764798755,nan,0.0034601340757787315
D,8,32.52988304749971,7019.075549110128,nan,0.003436193213193409
F,1,73.70186377562001,1509.445093216175,nan,0.09562858691778083
F,2,39.5731145374757,854.267746681385,nan,0.014266984709953783
F,3,14.715654957515634,551.8761641345955,nan,0.002171024896364767
F,4,14.28925324349548,466.0845988136978,nan,0.0013080033182660401
F,5,14.833484732174835,425.50406071877023,nan,0.0011662234324922463
F,6,16.09762688926686,414.37535839930143,nan,0.001156184349943462
F,7,16.988361554098216,401.8651484561762,nan,0.0011161153919172432
F,8,17.8898061602084,390.6024309759649,nan,0.0010566326156519555
