strategy,round,p_correct,model_entropy,param_err_pct,blind_rmse_M
D,1,nan,nan,326.247113755998,0.14234461034560608
D,2,nan,nan,217.48565433127322,0.035958829217294784
D,3,nan,nan,46.10409125386843,0.006995705905955973
D,4,nan,nan,39.307734602522885,0.00391076982906306
D,5,nan,nan,36.441413350776784,0.0037328278397925235
D,6,nan,nan,34.22113949694383,0.0036243368888319053
D,7,nan,nan,34.14333019715387,0.0034601340757787315
D,8,nan,nan,32.52988304749971,0.003436193213193409
F,1,0.4990805613355017,0.6931364867063403,69.34418742644661,0.1055943396744877
F,2,0.6744524391165866,0.47236536310612093,47.61515146859385,0.017582362018381224
F,3,0.853180477211567,0.04080514646914331,12.555409034859371,0.005264200636411257
F,4,0.9656670238194398,0.016888842344259664,13.972343538041304,0.001900052093299642
F,5,0.9755148963948524,0.0025087276631740206,14.619586772589098,0.001671680944189509
F,6,0.9893737241901178,0.017046750737981946,16.743905154183217,0.0011978202416645482
F,7,1.0,0.0,17.66779279120042,0.0010163792450659584
F,8,1.0,0.0,18.12985311052712,0.0010080730177277545
