strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,10.0,325.624025901673,10000.0,nan,0.1334840577622401
D,20.0,240.1976458928663,10000.0,nan,0.04018639550424734
D,30.0,63.55024146906417,1117.0966279072732,nan,0.022152301549930108
D,40.0,54.38096123823584,311.5888508351679,nan,0.018580190690466392
D,50.0,46.474623539504464,44.59403898980408,nan,0.017036165403501426
D,60.0,44.42221294798935,36.36597585380001,nan,0.01485487780257141
D,70.0,41.380941976424744,35.937691111092995,nan,0.01369290706218874
D,80.0,39.745041629460616,30.676714071025486,nan,0.013572536772085966
F,10.725,72.3862216758969,1384.8651255674902,nan,0.09604211484532799
F,20.925,39.93937753859916,800.4256359717452,nan,0.0136292966311326
F,31.0,15.068884571322403,556.7467216501384,nan,0.0025498906119310128
F,41.35,13.785355396832013,458.8233275736875,nan,0.0012478757231049991
F,51.475,14.304538784369537,426.66560819184843,nan,0.001158891382119018
F,61.5,15.51482092103819,412.9176286024447,nan,0.001110886511419765
F,71.65,16.59485791898006,391.66872222620924,nan,0.001076481671158121
F,81.8,18.17002052782857,383.2129291311809,nan,0.0010624926343082795
