strategy,nmr_acquisitions,param_err_pct,blind_rmse_M,spatial_samples,time_s
F-zadaptive,10.725,73.70186377562001,0.09562858691778083,10.0,2427.7448602330987
F-zadaptive,20.875,37.84121788028388,0.013696317490110027,20.0,6962.782290349647
F-zadaptive,30.9,12.635935960249409,0.002455681659582242,30.0,12228.880760815846
F-zadaptive,41.18421052631579,14.173662649796833,0.001297044016043073,40.0,17326.18824443994
F-zadaptive,51.31578947368421,15.630400946357362,0.0011984344765838752,50.0,22324.718505934237
F-zadaptive,61.39473684210526,16.783036356083404,0.0011533447401193809,60.0,27307.742992667158
F-zadaptive,71.42105263157895,17.992155474772716,0.0011016101452583705,70.0,31759.814939357126
F-zadaptive,81.5,19.039238141395728,0.001072367601357936,80.0,36208.770493433905
F-zbatch,10.725,73.70186377562001,0.09562858691778083,10.0,2427.7448602330987
F-zbatch,20.9,39.5731145374757,0.014266984709953783,20.0,6609.231040349647
F-zbatch,31.0,14.715654957515634,0.002171024896364767,30.0,11424.06576081585
F-zbatch,41.175,14.28925324349548,0.0013080033182660401,40.0,16197.504231282053
F-zbatch,51.45,14.833484732174835,0.0011662234324922463,50.0,21102.152406719117
F-zbatch,61.525,16.09762688926686,0.001156184349943462,60.0,25561.725139612478
F-zbatch,71.575,16.988361554098216,0.0011161153919172432,70.0,29245.300884933
F-zbatch,81.75,17.8898061602084,0.0010566326156519555,80.0,33114.62889577972
F-zfixed,10.75,74.86230672490122,0.09416048488295767,10.0,2476.942360233099
F-zfixed,20.9,35.57111493869297,0.014332940755155493,20.0,6662.083195239946
F-zfixed,31.0,14.61547205946008,0.0025878887068044977,30.0,11328.05973868866
F-zfixed,41.5,13.639320616940205,0.0013790322751555193,40.0,16173.194459154858
F-zfixed,51.775,15.515223744445866,0.001276508052254603,50.0,20972.14888459192
F-zfixed,61.925,17.654951933381685,0.0012096233808633514,60.0,26124.783605058117
F-zfixed,72.125,19.41488587531206,0.001184062087543444,70.0,30388.423351928162
F-zfixed,82.3,20.506946486107328,0.0011563975459747066,80.0,34554.85901028947
