strategy,round,p_correct,model_entropy,param_err_pct,blind_rmse_M
D,1,nan,nan,326.247113755998,0.14234461034560608
D,2,nan,nan,217.48565433127322,0.035958829217294784
D,3,nan,nan,46.10409125386843,0.006995705905955973
D,4,nan,nan,39.307734602522885,0.00391076982906306
D,5,nan,nan,36.441413350776784,0.0037328278397925235
D,6,nan,nan,34.22113949694383,0.0036243368888319053
D,7,nan,nan,34.14333019715387,0.0034601340757787315
D,8,nan,nan,32.52988304749971,0.003436193213193409
D,9,nan,nan,30.486580393196483,0.003403498836237178
D,10,nan,nan,32.4743965810004,0.003255669229794279
F,1,0.331783988327074,1.0985414236562778,75.74193612659558,0.09854835329945397
F,2,0.44604118267409465,0.8654314542384978,39.88180232674184,0.015178944289060109
F,3,0.14618419223369167,0.4323895016176508,15.51677167658768,0.004555806565240274
F,4,0.15663171192980238,0.40111896339666275,14.546970742720152,0.0015937396859581285
F,5,0.23896175950240525,0.413115204553747,15.706812711628661,0.0012503487459187732
F,6,0.2889348641837862,0.3780903663300951,16.008617098370998,0.0011706390024972626
F,7,0.3247157205375752,0.3731562948651691,17.213445346526203,0.0011090160645838242
F,8,0.32640195758975044,0.3876931053109586,18.247628934558612,0.0010800177575778854
F,9,0.3462295087597987,0.3854918353689397,19.05275474420398,0.0010655013573952136
F,10,0.3527518765380317,0.36763094136309127,19.261198351382323,0.0010556907936022162
