strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
A,1.0,219.6062760575785,10000.0,nan,0.1127114140359164
A,2.0,180.98086243983477,10000.0,nan,0.08473184037353657
A,3.0,160.62162056332213,10000.0,nan,0.0612398033314271
A,4.0,160.7219095358683,10000.0,nan,0.04400825410962029
A,5.0,130.5304180792583,10000.0,nan,0.030850605643057305
A,6.0,105.2902131673505,9903.54839685087,nan,0.02224720060553537
A,7.0,66.65422356256161,7211.650666130355,nan,0.010160467730763576
A,8.0,46.6078007080979,6122.671179264666,nan,0.004643812314231171
B,10.0,280.66009658523205,10000.0,nan,0.13492512840190693
B,20.0,188.3482942649735,10000.0,nan,0.06678751915105732
B,30.0,169.0081492628535,10000.0,nan,0.05474421916488642
B,40.0,141.7737908344355,10000.0,nan,0.032793301498897115
B,50.0,107.37122047323987,10000.0,nan,0.025143976195920063
B,60.0,71.14809697285766,8072.5985742946605,nan,0.014350288794101967
B,70.0,36.866806417600365,6713.113202893086,nan,0.005275644259373567
B,80.0,28.074769496362013,6086.719158575657,nan,0.0016768325492518767
C,1.0,219.6062760575785,10000.0,nan,0.1127114140359164
C,2.0,154.38939342397833,10000.0,nan,0.03488537795979825
C,3.0,118.82506998237389,8883.842937681044,nan,0.019379427877540746
C,4.0,34.59904757782307,5655.046486791823,nan,0.00818409132725079
C,5.0,28.044695527300018,5542.390621885223,nan,0.0033385498485575364
C,6.0,23.05562385747129,6022.111457752342,nan,0.002491390063833705
C,7.0,20.712076585106626,4587.359248421041,nan,0.0022072844280340695
C,8.0,20.940016592357097,4870.082075681307,nan,0.00205278080304355
D,10.0,280.66009658523205,10000.0,nan,0.13492512840190693
D,20.0,154.7910837065434,9755.492202801881,nan,0.026193108245211306
D,30.0,24.34526769806611,4873.772083435881,nan,0.0018349510266345195
D,40.0,20.128421785323447,4365.065458160515,nan,0.0013195569928670706
D,50.0,16.92321864596021,4007.2587253636375,nan,0.000954326704514649
D,60.0,16.142066518862514,3373.8139754020353,nan,0.0008712664304140738
D,70.0,15.245988092913507,3226.284345649895,nan,0.0008175765855898128
D,80.0,14.018165822041663,2853.372957465491,nan,0.0007803378793925551
E,10.0,283.62227982784214,10000.0,nan,0.14312460945449504
E,20.0,169.76783313912753,8909.48655817033,nan,0.0312486419291848
E,30.0,24.315212246368354,4850.512108194797,nan,0.002505385475631291
E,40.0,17.59689305282356,3886.9017387077183,nan,0.0013409993173162126
E,50.0,16.021625355475567,3439.516014744793,nan,0.0009173252071592527
E,60.0,12.286777332143592,2130.8324818283813,nan,0.0007522997052852076
E,70.0,11.040178199673035,1734.5889176029546,nan,0.0007098450319827877
E,80.0,10.653702221044076,1808.094935020429,nan,0.0006227605222661403
F,10.0,62.1058248656723,3931.338596316481,nan,0.10394991337723754
F,20.0,29.013266191498655,1052.479773762048,nan,0.006916150176212457
F,30.0,9.073720540319496,426.3720686051905,nan,0.0019006027548879034
F,40.0,6.794356754402282,315.770065268072,nan,0.001137654452437215
F,50.0,6.285796543151562,275.3210913242985,nan,0.000914345514910647
F,60.0,6.899890803324491,246.91974782266797,nan,0.0008420302809564889
F,70.0,6.780584822400405,222.4007471762677,nan,0.0007338064473224257
F,80.0,6.478131831911632,201.29234071600374,nan,0.0006780100616227854
