strategy,egda_mol,time_s,nmr_acquisitions,energy_kJ,blind_rmse_M
D,0.3714461573488733,33315.53788025348,80.0,537.3471708769915,0.0030847212244662276
F,0.21795876151553983,33171.5833227972,82.0,400.2919043857707,0.0009650297663195253
F-res-0.5x,0.08444376733916066,17475.611801165527,82.0,107.03591251639574,0.0014011006439730647
F-res-1x,0.084687413172494,17285.41180116553,81.0,107.49161089139574,0.001664484394730846
F-res-2x,0.07805230900582737,16260.66180116553,81.0,65.71649886728804,0.0035648840604281078
F-res-4x,0.16752424767055163,11310.513540349662,81.0,124.98658559866176,0.024594942389459896
