x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.49048592e-01,9.50455693e-04,9.51955147e-07,9.52359603e-04,5.39232774e+01,0.00000000e+00,3.80563059e-03,3.80182277e-03,3.80782059e-06
2.00000000e-03,1.50796447e+00,2.48100822e-01,1.89537734e-03,3.80038506e-06,1.90297811e-03,5.39223268e+01,0.00000000e+00,7.59671091e-03,7.58150937e-03,1.52015403e-05
3.00000000e-03,2.26194671e+00,2.47156676e-01,2.83478990e-03,8.53417153e-06,2.85185824e-03,5.39213780e+01,0.00000000e+00,1.13732963e-02,1.13391596e-02,3.41366861e-05
4.00000000e-03,3.01592895e+00,2.46216140e-01,3.76871821e-03,1.51422463e-05,3.79900271e-03,5.39204308e+01,0.00000000e+00,1.51354418e-02,1.50748729e-02,6.05689850e-05
5.00000000e-03,3.76991118e+00,2.45279199e-01,4.69718703e-03,2.36135903e-05,4.74441421e-03,5.39194854e+01,0.00000000e+00,1.88832025e-02,1.87887481e-02,9.44543613e-05
6.00000000e-03,4.52389342e+00,2.44345842e-01,5.62022101e-03,3.39372339e-05,5.68809547e-03,5.39185417e+01,0.00000000e+00,2.26166330e-02,2.24808840e-02,1.35748936e-04
7.00000000e-03,5.27787566e+00,2.43416053e-01,6.53784468e-03,4.61022561e-05,6.63004919e-03,5.39175998e+01,0.00000000e+00,2.63357877e-02,2.61513787e-02,1.84409024e-04
8.00000000e-03,6.03185789e+00,2.42489820e-01,7.45008250e-03,6.00977845e-05,7.57027807e-03,5.39166595e+01,0.00000000e+00,3.00407211e-02,2.98003300e-02,2.40391138e-04
9.00000000e-03,6.78584013e+00,2.41567128e-01,8.35695881e-03,7.59129957e-05,8.50878481e-03,5.39157210e+01,0.00000000e+00,3.37314872e-02,3.34278353e-02,3.03651983e-04
1.00000000e-02,7.53982237e+00,2.40647965e-01,9.25849787e-03,9.35371149e-05,9.44557210e-03,5.39147842e+01,0.00000000e+00,3.74081400e-02,3.70339915e-02,3.74148459e-04
