x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,3.80563059e-03,3.80182277e-03,3.80782059e-06
2.00000000e-03,1.50796447e+00,7.59671091e-03,7.58150937e-03,1.52015403e-05
3.00000000e-03,2.26194671e+00,1.13732963e-02,1.13391596e-02,3.41366861e-05
4.00000000e-03,3.01592895e+00,1.51354418e-02,1.50748729e-02,6.05689850e-05
5.00000000e-03,3.76991118e+00,1.88832025e-02,1.87887481e-02,9.44543613e-05
6.00000000e-03,4.52389342e+00,2.26166330e-02,2.24808840e-02,1.35748936e-04
7.00000000e-03,5.27787566e+00,2.63357877e-02,2.61513787e-02,1.84409024e-04
8.00000000e-03,6.03185789e+00,3.00407211e-02,2.98003300e-02,2.40391138e-04
9.00000000e-03,6.78584013e+00,3.37314872e-02,3.34278353e-02,3.03651983e-04
1.00000000e-02,7.53982237e+00,3.74081400e-02,3.70339915e-02,3.74148459e-04
1.10000000e-02,8.29380461e+00,4.10707330e-02,4.06188953e-02,4.51837662e-04
1.20000000e-02,9.04778684e+00,4.47193198e-02,4.41826429e-02,5.36676874e-04
1.30000000e-02,9.80176908e+00,4.83539537e-02,4.77253301e-02,6.28623570e-04
1.40000000e-02,1.05557513e+01,5.19746877e-02,5.12470523e-02,7.27635415e-04
1.50000000e-02,1.13097336e+01,5.55815749e-02,5.47479046e-02,8.33670265e-04
1.60000000e-02,1.20637158e+01,5.91746678e-02,5.82279816e-02,9.46686161e-04
1.70000000e-02,1.28176980e+01,6.27540189e-02,6.16873776e-02,1.06664134e-03
1.80000000e-02,1.35716803e+01,6.63196806e-02,6.51261864e-02,1.19349421e-03
1.90000000e-02,1.43256625e+01,6.98717050e-02,6.85445016e-02,1.32720340e-03
2.00000000e-02,1.50796447e+01,7.34101439e-02,7.19424162e-02,1.46772768e-03
2.10000000e-02,1.58336270e+01,7.69350491e-02,7.53200231e-02,1.61502604e-03
2.20000000e-02,1.65876092e+01,8.04464721e-02,7.86774145e-02,1.76905764e-03
2.30000000e-02,1.73415914e+01,8.39444642e-02,8.20146824e-02,1.92978182e-03
2.40000000e-02,1.80955737e+01,8.74290766e-02,8.53319185e-02,2.09715812e-03
2.50000000e-02,1.88495559e+01,9.09003602e-02,8.86292139e-02,2.27114624e-03
2.60000000e-02,1.96035382e+01,9.43583657e-02,9.19066596e-02,2.45170608e-03
2.70000000e-02,2.03575204e+01,9.78031437e-02,9.51643460e-02,2.63879772e-03
2.80000000e-02,2.11115026e+01,1.01234745e-01,9.84023632e-02,2.83238139e-03
2.90000000e-02,2.18654849e+01,1.04653218e-01,1.01620801e-01,3.03241754e-03
3.00000000e-02,2.26194671e+01,1.08058615e-01,1.04819749e-01,3.23886678e-03
3.10000000e-02,2.33734493e+01,1.11450985e-01,1.07999295e-01,3.45168990e-03
3.20000000e-02,2.41274316e+01,1.14830377e-01,1.11159530e-01,3.67084786e-03
3.30000000e-02,2.48814138e+01,1.18196842e-01,1.14300540e-01,3.89630180e-03
3.40000000e-02,2.56353961e+01,1.21550427e-01,1.17422414e-01,4.12801306e-03
3.50000000e-02,2.63893783e+01,1.24891182e-01,1.20525239e-01,4.36594311e-03
3.60000000e-02,2.71433605e+01,1.28219157e-01,1.23609103e-01,4.61005363e-03
3.70000000e-02,2.78973428e+01,1.31534399e-01,1.26674093e-01,4.86030646e-03
3.80000000e-02,2.86513250e+01,1.34836958e-01,1.29720294e-01,5.11666362e-03
