bias_M,corr_with_AcOH,corr_with_EG,corr_with_EGDA,corr_with_EGMA,interval_scale,meta_engine,meta_level,meta_n_check_used,meta_n_obs_fit,meta_n_points,meta_n_rep_check,meta_n_rep_fit,rel_variance_term,response_factor,scenario,seed,species,strategy,var_const_M2
-0.00011091687624247373,0.1699670323794178,0.18099091170036258,1.0,-0.22297255991607717,1.1417728984954343,analytic,0.95,"{'EGDA': 42, 'EGMA': 42, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.008308998953831944,1.0628380840768599,S2_nmr,1,EGDA,B,4.417392098076131e-06
-0.003002119418408343,0.22119450328550908,0.05654769883665843,-0.22297255991607717,1.0,1.6627601605095625,analytic,0.95,"{'EGDA': 42, 'EGMA': 42, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.040289650294195095,1.0348060380465318,S2_nmr,1,EGMA,B,7.689297657512415e-05
0.00038538256093846666,0.6306109914851226,1.0,0.1809909117003626,0.056547698836658424,1.0,analytic,0.95,"{'EGDA': 42, 'EGMA': 42, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.014162024404886595,1.0541363478557355,S2_nmr,1,EG,B,1.8251538095606299e-06
-0.0008432362850640971,1.0,0.6306109914851226,0.1699670323794178,0.22119450328550905,1.4692114044285256,analytic,0.95,"{'EGDA': 42, 'EGMA': 42, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.014668381428493662,1.0600379803997302,S2_nmr,1,AcOH,B,6.76614004517923e-06
-0.0014262977159855816,0.5912042561797487,0.3019923304072113,1.0,-0.18626484961676348,1.2805294253762884,analytic,0.95,"{'EGDA': 43, 'EGMA': 43, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.008683690731326965,1.0578344685662737,S2_nmr,2,EGDA,B,5.425867327583035e-06
0.0008973810800621332,0.19441536987765098,0.24528890583156715,-0.18626484961676348,1.0,1.1650332901386709,analytic,0.95,"{'EGDA': 43, 'EGMA': 43, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.0,1.051518587763595,S2_nmr,2,EGMA,B,5.2637939367936496e-05
-0.00010457667600569966,0.6051431346634526,1.0,0.30199233040721135,0.24528890583156715,1.0,analytic,0.95,"{'EGDA': 43, 'EGMA': 43, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.014364866928728388,1.0606638540577067,S2_nmr,2,EG,B,1.5534679301908625e-06
-0.0029815607514228136,1.0,0.6051431346634526,0.5912042561797487,0.19441536987765096,1.317734438972629,analytic,0.95,"{'EGDA': 43, 'EGMA': 43, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.006731940632872629,1.067201943395677,S2_nmr,2,AcOH,B,9.35297171613606e-06
0.0005215730962830543,-0.05098929831845866,0.15239861431629773,1.0,-0.7218862636996013,1.139366120294851,analytic,0.95,"{'EGDA': 45, 'EGMA': 44, 'EG': 48, 'AcOH': 42}",32,2048,6,4,0.011898388671106496,1.0571443083124648,S2_nmr,3,EGDA,B,6.526246478337865e-06
-0.003592724204972314,0.34363091335710566,0.1661878379681151,-0.7218862636996013,1.0,1.2121702502208223,analytic,0.95,"{'EGDA': 45, 'EGMA': 44, 'EG': 48, 'AcOH': 42}",32,2048,6,4,0.0,1.064436978035057,S2_nmr,3,EGMA,B,8.977020516225316e-05
-0.00015510131023681198,0.34632743357003015,1.0,0.15239861431629773,0.1661878379681151,1.0,analytic,0.95,"{'EGDA': 45, 'EGMA': 44, 'EG': 48, 'AcOH': 42}",32,2048,6,4,0.014416878623164922,1.0594640039175722,S2_nmr,3,EG,B,1.3146543216776023e-06
-0.0016537499051335297,1.0,0.34632743357003015,-0.05098929831845865,0.34363091335710566,1.2288772919689626,analytic,0.95,"{'EGDA': 45, 'EGMA': 44, 'EG': 48, 'AcOH': 42}",32,2048,6,4,0.005952402400280041,1.0560696603061177,S2_nmr,3,AcOH,B,1.1518538186121159e-05
-0.0008683954672043119,0.0315050299618047,-0.14751878465579976,1.0,0.008225050129730956,1.6892702964667337,analytic,0.95,"{'EGDA': 46, 'EGMA': 41, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.012081937941821249,1.0733868286089394,S2_nmr,4,EGDA,B,1.8280631726566862e-06
-0.004039477586950337,0.4186971185630127,-0.054702473342252554,0.008225050129730958,1.0,1.5893337214142387,analytic,0.95,"{'EGDA': 46, 'EGMA': 41, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.05473996343764182,1.018879864935358,S2_nmr,4,EGMA,B,8.923332651125772e-05
0.0001925114268252779,0.2659057912023472,1.0,-0.14751878465579976,-0.054702473342252554,1.0904757458113394,analytic,0.95,"{'EGDA': 46, 'EGMA': 41, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.005695511712403579,1.0612930903031597,S2_nmr,4,EG,B,2.394683009116547e-07
3.6711287409104364e-05,1.0,0.2659057912023472,0.0315050299618047,0.41869711856301267,1.5484766135880674,analytic,0.95,"{'EGDA': 46, 'EGMA': 41, 'EG': 46, 'AcOH': 42}",32,2048,6,4,0.010738546401402321,1.0564540023468487,S2_nmr,4,AcOH,B,5.769865179384685e-06
-0.0009338372882565186,0.11532061074653985,0.12052246180829154,1.0,-0.8031586860549494,1.1208856103773424,analytic,0.95,"{'EGDA': 45, 'EGMA': 48, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.01958626567523643,1.05689791546201,S2_nmr,5,EGDA,B,4.680306465002531e-06
0.002714660913427297,-0.4338682548130284,-0.21516355444621416,-0.8031586860549494,1.0,1.1859698197680146,analytic,0.95,"{'EGDA': 45, 'EGMA': 48, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.0,1.0824453637296656,S2_nmr,5,EGMA,B,0.00010523780586777997
0.0009889911600853684,0.5261723972703137,1.0,0.12052246180829154,-0.21516355444621416,1.1863452697003418,analytic,0.95,"{'EGDA': 45, 'EGMA': 48, 'EG': 47, 'AcOH': 42}",32,2048,6,4,0.007788320736024693,1.0633355358046765,S2_nmr,5,EG,B,4.787347265835713e-07
