x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.49437864e-01,5.61822360e-04,3.13882067e-07,5.62450124e-04,5.12014914e+01,0.00000000e+00,2.24854497e-03,2.24728944e-03,1.25552827e-06
2.00000000e-03,1.50796447e+00,2.48876998e-01,1.12174819e-03,1.25410730e-06,1.12425641e-03,5.12009296e+01,0.00000000e+00,4.49200920e-03,4.48699278e-03,5.01642921e-06
3.00000000e-03,2.26194671e+00,2.48317399e-01,1.67978248e-03,2.81854626e-06,1.68541957e-03,5.12003684e+01,0.00000000e+00,6.73040411e-03,6.71912992e-03,1.12741850e-05
4.00000000e-03,3.01592895e+00,2.47759065e-01,2.23593019e-03,5.00507540e-06,2.24594034e-03,5.11998079e+01,0.00000000e+00,8.96374105e-03,8.94372075e-03,2.00203016e-05
5.00000000e-03,3.76991118e+00,2.47201992e-01,2.79019626e-03,7.81157665e-06,2.80581942e-03,5.11992480e+01,0.00000000e+00,1.11920314e-02,1.11607851e-02,3.12463066e-05
6.00000000e-03,4.52389342e+00,2.46646178e-01,3.34258566e-03,1.12359375e-05,3.36505753e-03,5.11986888e+01,0.00000000e+00,1.34152864e-02,1.33703426e-02,4.49437498e-05
7.00000000e-03,5.27787566e+00,2.46091621e-01,3.89310330e-03,1.52760507e-05,3.92365540e-03,5.11981302e+01,0.00000000e+00,1.56335174e-02,1.55724132e-02,6.11042027e-05
8.00000000e-03,6.03185789e+00,2.45538316e-01,4.44175410e-03,1.99298147e-05,4.48161373e-03,5.11975722e+01,0.00000000e+00,1.78467357e-02,1.77670164e-02,7.97192588e-05
9.00000000e-03,6.78584013e+00,2.44986262e-01,4.98854298e-03,2.51951333e-05,5.03893324e-03,5.11970149e+01,0.00000000e+00,2.00549524e-02,1.99541719e-02,1.00780533e-04
1.00000000e-02,7.53982237e+00,2.44435455e-01,5.53347482e-03,3.10699156e-05,5.59561465e-03,5.11964582e+01,0.00000000e+00,2.22581789e-02,2.21338993e-02,1.24279662e-04
1.10000000e-02,8.29380461e+00,2.43885893e-01,6.07655451e-03,3.75520764e-05,6.15165866e-03,5.11959022e+01,0.00000000e+00,2.44564264e-02,2.43062180e-02,1.50208305e-04
1.20000000e-02,9.04778684e+00,2.43337574e-01,6.61778693e-03,4.46395355e-05,6.70706600e-03,5.11953468e+01,0.00000000e+00,2.66497059e-02,2.64711477e-02,1.78558142e-04
1.30000000e-02,9.80176908e+00,2.42790493e-01,7.15717693e-03,5.23302183e-05,7.26183737e-03,5.11947920e+01,0.00000000e+00,2.88380286e-02,2.86287077e-02,2.09320873e-04
1.40000000e-02,1.05557513e+01,2.42244649e-01,7.69472937e-03,6.06220558e-05,7.81597348e-03,5.11942379e+01,0.00000000e+00,3.10214057e-02,3.07789175e-02,2.42488223e-04
1.50000000e-02,1.13097336e+01,2.41700038e-01,8.23044908e-03,6.95129840e-05,8.36947505e-03,5.11936844e+01,0.00000000e+00,3.31998483e-02,3.29217963e-02,2.78051936e-04
1.60000000e-02,1.20637158e+01,2.41156658e-01,8.76434089e-03,7.90009446e-05,8.92234278e-03,5.11931315e+01,0.00000000e+00,3.53733673e-02,3.50573636e-02,3.16003778e-04
1.70000000e-02,1.28176980e+01,2.40614507e-01,9.29640961e-03,8.90838845e-05,9.47457738e-03,5.11925793e+01,0.00000000e+00,3.75419740e-02,3.71856385e-02,3.56335538e-04
1.80000000e-02,1.35716803e+01,2.40073580e-01,9.82666005e-03,9.97597560e-05,1.00261796e-02,5.11920277e+01,0.00000000e+00,3.97056792e-02,3.93066402e-02,3.99039024e-04
